,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,7263000000.0,7852000000.0,7669000000.0,7517000000.0,7447000000.0,7785000000.0,7769000000.0,7607000000.0,5783000000.0,7902000000.0,8312000000.0,8462000000.0,,,,,7263000000.0,7669000000.0,7447000000.0,7769000000.0,5783000000.0,8312000000.0,,,7263000000.0,7517000000.0,7769000000.0,7902000000.0,,,7263000000.0,7447000000.0,5783000000.0,,,7669000000.0,7607000000.0,,7669000000.0,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,1057000000.0,920000000.0,1235000000.0,1946000000.0,1837000000.0,1944000000.0,2161000000.0,863000000.0,791000000.0,759000000.0,799000000.0,709000000.0,632000000.0,710000000.0,931000000.0,733000000.0,783000000.0,,,920000000.0,1946000000.0,1944000000.0,863000000.0,759000000.0,709000000.0,710000000.0,733000000.0,,1235000000.0,1944000000.0,791000000.0,709000000.0,931000000.0,,920000000.0,1944000000.0,759000000.0,710000000.0,,1235000000.0,863000000.0,632000000.0,,863000000.0,1235000000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,1703000000.0,896000000.0,1866000000.0,3101000000.0,3109000000.0,2561000000.0,3272000000.0,2831000000.0,3048000000.0,3068000000.0,2852000000.0,2840000000.0,2803000000.0,1424000000.0,1374000000.0,1630000000.0,1740000000.0,,,896000000.0,3101000000.0,2561000000.0,2831000000.0,3068000000.0,2840000000.0,1424000000.0,1630000000.0,,1866000000.0,2561000000.0,3048000000.0,2840000000.0,1374000000.0,,896000000.0,2561000000.0,3068000000.0,1424000000.0,,1866000000.0,2831000000.0,2803000000.0,,2831000000.0,1866000000.0,,CommonMetricExtracted
Interest,,,,447000000.0,387000000.0,593000000.0,898000000.0,961000000.0,1006000000.0,1024000000.0,871000000.0,888000000.0,901000000.0,963000000.0,994000000.0,1001000000.0,918000000.0,513000000.0,666000000.0,738000000.0,,,387000000.0,898000000.0,1006000000.0,871000000.0,901000000.0,994000000.0,918000000.0,666000000.0,,593000000.0,1006000000.0,888000000.0,994000000.0,513000000.0,,387000000.0,1006000000.0,901000000.0,918000000.0,,593000000.0,871000000.0,1001000000.0,,871000000.0,593000000.0,,CommonMetricExtracted
Taxes,,,,288000000.0,280000000.0,238000000.0,326000000.0,366000000.0,364000000.0,374000000.0,299000000.0,301000000.0,292000000.0,312000000.0,313000000.0,307000000.0,207000000.0,332000000.0,392000000.0,374000000.0,,,280000000.0,326000000.0,364000000.0,299000000.0,292000000.0,313000000.0,207000000.0,392000000.0,,238000000.0,364000000.0,301000000.0,313000000.0,332000000.0,,280000000.0,364000000.0,292000000.0,207000000.0,,238000000.0,299000000.0,307000000.0,,299000000.0,238000000.0,,CommonMetricExtracted
NetIncome,,,,930000000.0,407000000.0,938000000.0,1495000000.0,1526000000.0,1130000000.0,1737000000.0,,1902000000.0,1128000000.0,1827000000.0,1746000000.0,1469000000.0,-1480000000.0,756000000.0,740000000.0,888000000.0,,,407000000.0,1495000000.0,1130000000.0,,1128000000.0,1746000000.0,-1480000000.0,740000000.0,,938000000.0,1130000000.0,1902000000.0,1746000000.0,756000000.0,,407000000.0,1130000000.0,1128000000.0,-1480000000.0,,938000000.0,,1469000000.0,,,938000000.0,,CommonMetricExtracted
Cash,,,430000000.0,1100000000.0,801000000.0,925000000.0,1202000000.0,901000000.0,1102000000.0,1751000000.0,836000000.0,341000000.0,485000000.0,621000000.0,815000000.0,708000000.0,3571000000.0,356000000.0,331000000.0,306000000.0,,1100000000.0,925000000.0,901000000.0,1751000000.0,341000000.0,621000000.0,708000000.0,356000000.0,306000000.0,801000000.0,901000000.0,836000000.0,621000000.0,3571000000.0,306000000.0,1100000000.0,901000000.0,341000000.0,708000000.0,306000000.0,801000000.0,1751000000.0,815000000.0,306000000.0,1751000000.0,306000000.0,306000000.0,306000000.0,CommonMetricExtracted
CurrentReceivables,,,,,1003000000.0,1441000000.0,1576000000.0,1602000000.0,1758000000.0,1658000000.0,1126000000.0,1146000000.0,1224000000.0,1159000000.0,1191000000.0,1288000000.0,890000000.0,1448000000.0,1378000000.0,1446000000.0,,,1441000000.0,1602000000.0,1658000000.0,1146000000.0,1159000000.0,1288000000.0,1448000000.0,1446000000.0,1003000000.0,1602000000.0,1126000000.0,1159000000.0,890000000.0,1446000000.0,,1602000000.0,1146000000.0,1288000000.0,1446000000.0,1003000000.0,1658000000.0,1191000000.0,1446000000.0,1658000000.0,1446000000.0,1446000000.0,1446000000.0,CommonMetricExtracted
