,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,1204970000.0,1306965000.0,1296184000.0,1371695000.0,415435000.0,507340000.0,1127311000.0,1238680000.0,366488000.0,,,,,,,1306965000.0,1371695000.0,507340000.0,1238680000.0,,,,1204970000.0,1371695000.0,1127311000.0,,,,1306965000.0,507340000.0,,,,415435000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,3030000.0,2366000.0,14389000.0,-394000.0,-684000.0,-268000.0,1481000.0,-81000.0,-1847000.0,558000.0,30004000.0,9103000.0,425603000.0,,,,,2366000.0,-394000.0,-268000.0,-81000.0,558000.0,9103000.0,,,2366000.0,-684000.0,-81000.0,30004000.0,,,2366000.0,-268000.0,558000.0,,,-394000.0,-1847000.0,,-394000.0,,,CommonMetricExtracted
Interest,,,,,1690000.0,1835000.0,1511000.0,1303000.0,1234000.0,2015000.0,4535000.0,5898000.0,8304000.0,9640000.0,14199000.0,18264000.0,28440000.0,34891000.0,47978000.0,14182000.0,,,1690000.0,1511000.0,1234000.0,4535000.0,8304000.0,14199000.0,28440000.0,47978000.0,,1835000.0,1234000.0,5898000.0,14199000.0,34891000.0,,1690000.0,1234000.0,8304000.0,28440000.0,,1835000.0,4535000.0,18264000.0,,4535000.0,1835000.0,,CommonMetricExtracted
Taxes,,,,,,,,3030000.0,2366000.0,14389000.0,-394000.0,-684000.0,-268000.0,1481000.0,-81000.0,-1847000.0,558000.0,30004000.0,9103000.0,425603000.0,,,,,2366000.0,-394000.0,-268000.0,-81000.0,558000.0,9103000.0,,,2366000.0,-684000.0,-81000.0,30004000.0,,,2366000.0,-268000.0,558000.0,,,-394000.0,-1847000.0,,-394000.0,,,CommonMetricExtracted
NetIncome,,,,,-104129000.0,1079000.0,9743000.0,6583000.0,21686000.0,55567000.0,27048000.0,42795000.0,58184000.0,49395000.0,23523000.0,-376952000.0,-92735000.0,24795000.0,23452000.0,373843000.0,,,-104129000.0,9743000.0,21686000.0,27048000.0,58184000.0,23523000.0,-92735000.0,23452000.0,,1079000.0,21686000.0,42795000.0,23523000.0,24795000.0,,-104129000.0,21686000.0,58184000.0,-92735000.0,,1079000.0,27048000.0,-376952000.0,,27048000.0,1079000.0,,CommonMetricExtracted
Cash,,,,148040000.0,116342000.0,145841000.0,100376000.0,114171000.0,45821000.0,56990000.0,56531000.0,20900000.0,53723000.0,44893000.0,61999000.0,39545000.0,61600000.0,59719000.0,52704000.0,49702000.0,,148040000.0,145841000.0,114171000.0,56990000.0,20900000.0,44893000.0,39545000.0,59719000.0,49702000.0,116342000.0,114171000.0,56531000.0,44893000.0,61600000.0,49702000.0,148040000.0,114171000.0,20900000.0,39545000.0,49702000.0,116342000.0,56990000.0,61999000.0,49702000.0,56990000.0,49702000.0,49702000.0,49702000.0,CommonMetricExtracted
CurrentReceivables,,,,,,47187000.0,63583000.0,62756000.0,61197000.0,78121000.0,93800000.0,104648000.0,104811000.0,108936000.0,126246000.0,17837000.0,91966000.0,122373000.0,128019000.0,9267000.0,,,47187000.0,62756000.0,78121000.0,104648000.0,108936000.0,17837000.0,122373000.0,9267000.0,,62756000.0,93800000.0,108936000.0,91966000.0,9267000.0,,62756000.0,104648000.0,17837000.0,9267000.0,,78121000.0,126246000.0,9267000.0,78121000.0,9267000.0,9267000.0,9267000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,4297000.0,10284000.0,13370000.0,2925000.0,825000.0,,,,,,,,4297000.0,13370000.0,825000.0,,,,,10284000.0,825000.0,,,,4297000.0,825000.0,,,,825000.0,,825000.0,825000.0,825000.0,CommonMetricExtracted
Inventory,,,,,,38670000.0,35825000.0,35656000.0,27993000.0,32401000.0,27529000.0,31420000.0,30372000.0,16629000.0,17269000.0,8727000.0,8581000.0,10785000.0,10153000.0,9983000.0,,,38670000.0,35656000.0,32401000.0,31420000.0,16629000.0,8727000.0,10785000.0,9983000.0,,35656000.0,27529000.0,16629000.0,8581000.0,9983000.0,,35656000.0,31420000.0,8727000.0,9983000.0,,32401000.0,17269000.0,9983000.0,32401000.0,9983000.0,9983000.0,9983000.0,CommonMetricExtracted
