,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,7796000.0,7823000.0,7124000.0,,,,,533693.0,717452.0,881186.0,807947.0,699797.0,1136790.0,1589239.0,3319867.0,3844984.0,,,7796000.0,7124000.0,,,717452.0,807947.0,1136790.0,3319867.0,,7823000.0,,533693.0,807947.0,1589239.0,,7796000.0,,717452.0,1136790.0,,7823000.0,,699797.0,,,7823000.0,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,-10000.0,-42325.0,105688.0,-243404.0,335219.0,2876.0,-382521.0,2283.0,-473523.0,175606.0,,,,,,-10000.0,105688.0,335219.0,-382521.0,-473523.0,,,,-42325.0,335219.0,2283.0,,,,105688.0,-382521.0,,,-10000.0,2876.0,,-10000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,-32984.0,15256.0,-8985.0,-6647.0,778.0,266.0,-6820.0,57393.0,543.0,,,,,,,15256.0,-6647.0,266.0,57393.0,,,,-32984.0,-6647.0,-6820.0,,,,15256.0,266.0,,,,778.0,,,,,CommonMetricExtracted
NetIncome,,,,,-10112000.0,-11177000.0,-1163000.0,,,-1079000.0,-476000.0,-2275826.0,-2259636.0,-2557531.0,-1750911.0,-2548735.0,-4522934.0,-3555505.0,-5000497.0,-5525344.0,,,-10112000.0,-1163000.0,,-476000.0,-2259636.0,-1750911.0,-4522934.0,-5000497.0,,-11177000.0,,-2275826.0,-1750911.0,-3555505.0,,-10112000.0,,-2259636.0,-4522934.0,,-11177000.0,-476000.0,-2548735.0,,-476000.0,-11177000.0,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,671091.0,541171.0,215189.0,1287893.0,1838469.0,,,,,,,,671091.0,215189.0,1838469.0,,,,,541171.0,1838469.0,,,,671091.0,1838469.0,,,,1838469.0,,1838469.0,1838469.0,1838469.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,144000.0,70000.0,60417.0,94542.0,83399.0,43354.0,208156.0,,56939.0,144025.0,44398.0,,,,,144000.0,60417.0,83399.0,208156.0,56939.0,44398.0,,,70000.0,83399.0,,44398.0,,,60417.0,208156.0,44398.0,,144000.0,43354.0,44398.0,144000.0,44398.0,44398.0,44398.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,30802000.0,24704000.0,,,245000.0,132000.0,3160815.0,1779982.0,696273.0,841977.0,879247.0,11059923.0,8035645.0,4200037.0,1882867.0,,,30802000.0,,245000.0,3160815.0,696273.0,879247.0,8035645.0,1882867.0,,,132000.0,696273.0,11059923.0,1882867.0,,,3160815.0,879247.0,1882867.0,,245000.0,841977.0,1882867.0,245000.0,1882867.0,1882867.0,1882867.0,CommonMetricExtracted
