,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,8203100000.0,8914800000.0,9656800000.0,9909000000.0,7132600000.0,9154700000.0,9024200000.0,9217700000.0,,,,,,,8203100000.0,9656800000.0,7132600000.0,9024200000.0,,,,,9656800000.0,9154700000.0,,,,8203100000.0,7132600000.0,,,,9909000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,3832800000.0,4020400000.0,4348500000.0,4520600000.0,3355800000.0,3830600000.0,3901300000.0,3854500000.0,,,,,,,3832800000.0,4348500000.0,3355800000.0,3901300000.0,,,,,4348500000.0,3830600000.0,,,,3832800000.0,3355800000.0,,,,4520600000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,1028784000.0,938791000.0,2071416000.0,2549850000.0,2594315000.0,3673500000.0,3713600000.0,3417700000.0,3677900000.0,4248200000.0,4432800000.0,4715200000.0,3983200000.0,4453900000.0,4377400000.0,4542600000.0,,,1028784000.0,2071416000.0,2594315000.0,3713600000.0,3677900000.0,4432800000.0,3983200000.0,4377400000.0,,938791000.0,2594315000.0,3417700000.0,4432800000.0,4453900000.0,,1028784000.0,2594315000.0,3677900000.0,3983200000.0,,938791000.0,3713600000.0,4715200000.0,,3713600000.0,938791000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,513400000.0,529900000.0,760500000.0,789200000.0,632400000.0,891700000.0,558700000.0,-1071700000.0,1076900000.0,470700000.0,928800000.0,,,,,,529900000.0,789200000.0,891700000.0,-1071700000.0,470700000.0,,,,760500000.0,891700000.0,1076900000.0,,,,789200000.0,-1071700000.0,,,529900000.0,558700000.0,,529900000.0,,,CommonMetricExtracted
Interest,,,,,33639000.0,33524000.0,128561000.0,129355000.0,118747000.0,192200000.0,143500000.0,117000000.0,120900000.0,128500000.0,120800000.0,120000000.0,125500000.0,108600000.0,89600000.0,99300000.0,,,33639000.0,128561000.0,118747000.0,143500000.0,120900000.0,120800000.0,125500000.0,89600000.0,,33524000.0,118747000.0,117000000.0,120800000.0,108600000.0,,33639000.0,118747000.0,120900000.0,125500000.0,,33524000.0,143500000.0,120000000.0,,143500000.0,33524000.0,,CommonMetricExtracted
Taxes,,,,,54533000.0,49673000.0,22768000.0,113684000.0,109300000.0,185300000.0,-47500000.0,75100000.0,125500000.0,-25900000.0,31000000.0,28900000.0,-55500000.0,20700000.0,187800000.0,177400000.0,,,54533000.0,22768000.0,109300000.0,-47500000.0,125500000.0,31000000.0,-55500000.0,187800000.0,,49673000.0,109300000.0,75100000.0,31000000.0,20700000.0,,54533000.0,109300000.0,125500000.0,-55500000.0,,49673000.0,-47500000.0,28900000.0,,-47500000.0,49673000.0,,CommonMetricExtracted
NetIncome,,,,,91771000.0,161910000.0,54377000.0,317881000.0,433840000.0,143537000.0,439000000.0,572400000.0,549000000.0,537800000.0,746400000.0,417300000.0,-1136100000.0,952300000.0,200400000.0,663600000.0,,,91771000.0,54377000.0,433840000.0,439000000.0,549000000.0,746400000.0,-1136100000.0,200400000.0,,161910000.0,433840000.0,572400000.0,746400000.0,952300000.0,,91771000.0,433840000.0,549000000.0,-1136100000.0,,161910000.0,439000000.0,417300000.0,,439000000.0,161910000.0,,CommonMetricExtracted
Cash,,,,269914000.0,328167000.0,480882000.0,498718000.0,233200000.0,892209000.0,593200000.0,479300000.0,556400000.0,730100000.0,493900000.0,452000000.0,503400000.0,1651400000.0,1242500000.0,550700000.0,707600000.0,,269914000.0,480882000.0,233200000.0,593200000.0,556400000.0,493900000.0,503400000.0,1242500000.0,707600000.0,328167000.0,233200000.0,479300000.0,493900000.0,1651400000.0,707600000.0,269914000.0,233200000.0,556400000.0,503400000.0,707600000.0,328167000.0,593200000.0,452000000.0,707600000.0,593200000.0,707600000.0,707600000.0,707600000.0,CommonMetricExtracted
CurrentReceivables,,,,,,196603000.0,447161000.0,480965000.0,441324000.0,761200000.0,743200000.0,685900000.0,641400000.0,696400000.0,803800000.0,765100000.0,666600000.0,765300000.0,945200000.0,807200000.0,,,196603000.0,480965000.0,761200000.0,685900000.0,696400000.0,765100000.0,765300000.0,807200000.0,,480965000.0,743200000.0,696400000.0,666600000.0,807200000.0,,480965000.0,685900000.0,765100000.0,807200000.0,,761200000.0,803800000.0,807200000.0,761200000.0,807200000.0,807200000.0,807200000.0,CommonMetricExtracted
