,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,0.0,0.0,735000.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,36191000.0,36362000.0,36376000.0,37107000.0,43299000.0,45606000.0,46124000.0,46813000.0,49977000.0,58746000.0,66774000.0,62638000.0,58414000.0,64928000.0,91595000.0,109698000.0,,,36191000.0,36376000.0,43299000.0,46124000.0,49977000.0,66774000.0,58414000.0,91595000.0,,36362000.0,43299000.0,46813000.0,66774000.0,64928000.0,,36191000.0,43299000.0,49977000.0,58414000.0,,36362000.0,46124000.0,62638000.0,,46124000.0,36362000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,7148000.0,36631000.0,50818000.0,,,,,,,,,,36631000.0,,,,,,7148000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,5424000.0,5584000.0,5677000.0,5940000.0,6034000.0,5111000.0,3426000.0,2424000.0,2182000.0,2784000.0,3997000.0,3778000.0,3281000.0,3634000.0,5346000.0,7039000.0,,,5424000.0,5677000.0,6034000.0,3426000.0,2182000.0,3997000.0,3281000.0,5346000.0,,5584000.0,6034000.0,2424000.0,3997000.0,3634000.0,,5424000.0,6034000.0,2182000.0,3281000.0,,5584000.0,3426000.0,3778000.0,,3426000.0,5584000.0,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,12475000.0,9773000.0,14710000.0,15686000.0,15224000.0,16048000.0,17422000.0,16608000.0,17739000.0,,,,,,,9773000.0,15686000.0,16048000.0,16608000.0,,,,12475000.0,15686000.0,17422000.0,,,,9773000.0,16048000.0,,,,15224000.0,,,,,CommonMetricExtracted
Cash,,,,16581000.0,13788000.0,9493000.0,13885000.0,15142000.0,24606000.0,19908000.0,22796000.0,43671000.0,27243000.0,66742000.0,,213358000.0,263862000.0,40333000.0,37462000.0,28972000.0,,16581000.0,9493000.0,15142000.0,19908000.0,43671000.0,66742000.0,213358000.0,40333000.0,28972000.0,13788000.0,15142000.0,22796000.0,66742000.0,263862000.0,28972000.0,16581000.0,15142000.0,43671000.0,213358000.0,28972000.0,13788000.0,19908000.0,,28972000.0,19908000.0,28972000.0,28972000.0,28972000.0,CommonMetricExtracted
CurrentReceivables,,,,,,3765000.0,3905000.0,4099000.0,4696000.0,3912000.0,3686000.0,3672000.0,4321000.0,5334000.0,,27436000.0,25949000.0,3292241000.0,3694565000.0,3768536000.0,,,3765000.0,4099000.0,3912000.0,3672000.0,5334000.0,27436000.0,3292241000.0,3768536000.0,,4099000.0,3686000.0,5334000.0,25949000.0,3768536000.0,,4099000.0,3672000.0,27436000.0,3768536000.0,,3912000.0,,3768536000.0,3912000.0,3768536000.0,3768536000.0,3768536000.0,CommonMetricExtracted
