,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,518986000.0,801662000.0,631507000.0,648652000.0,878039000.0,,,,,,,,,801662000.0,648652000.0,,,,,,631507000.0,,,,,801662000.0,,,,518986000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,-6293000.0,-43634000.0,26313000.0,2280000.0,10277000.0,,,,,,,,,-43634000.0,2280000.0,,,,,,26313000.0,,,,,-43634000.0,,,,-6293000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,3453000.0,18927000.0,10327000.0,-980000.0,21089000.0,,,,,,,,,18927000.0,-980000.0,,,,,,10327000.0,,,,,18927000.0,,,,3453000.0,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,13444000.0,-49625000.0,-94617000.0,-24616000.0,,,,,,,,,13444000.0,-94617000.0,,,,,,-49625000.0,,,,,13444000.0,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,0.0,10762.0,329063000.0,502773000.0,171570000.0,247171000.0,331558000.0,,,,,,,0.0,329063000.0,171570000.0,331558000.0,,,,0.0,502773000.0,331558000.0,,,,329063000.0,331558000.0,,,10762.0,331558000.0,,331558000.0,331558000.0,331558000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,40802000.0,61022000.0,90897000.0,78699000.0,138786000.0,,,,,,,,40802000.0,90897000.0,138786000.0,,,,,61022000.0,138786000.0,,,,40802000.0,138786000.0,,,,138786000.0,,138786000.0,138786000.0,138786000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,28959000.0,,25792000.0,24313000.0,36190000.0,30871000.0,29224000.0,,,,,,,28959000.0,25792000.0,36190000.0,29224000.0,,,,28959000.0,24313000.0,29224000.0,,,,25792000.0,29224000.0,,,,29224000.0,,29224000.0,29224000.0,29224000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
