,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,44902000.0,67368000.0,150534000.0,198360000.0,241734000.0,296448000.0,,,,,,,,44902000.0,150534000.0,241734000.0,,,,,44902000.0,198360000.0,,,,,150534000.0,,,,67368000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,1883000000.0,1575000000.0,2082000000.0,2468000000.0,2437000000.0,2625000000.0,2608000000.0,2321000000.0,2238000000.0,2448000000.0,,12811000.0,8689000.0,40346000.0,43423000.0,20921000.0,60620000.0,,,1575000000.0,2468000000.0,2625000000.0,2321000000.0,2448000000.0,12811000.0,40346000.0,20921000.0,,2082000000.0,2625000000.0,2238000000.0,12811000.0,43423000.0,,1575000000.0,2625000000.0,2448000000.0,40346000.0,,2082000000.0,2321000000.0,8689000.0,,2321000000.0,2082000000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,9415000.0,10732000.0,21360000.0,9505000.0,21872000.0,25510000.0,,,,,,,,9415000.0,21360000.0,21872000.0,,,,,9415000.0,9505000.0,,,,,21360000.0,,,,10732000.0,,,,,CommonMetricExtracted
Taxes,,,,465000000.0,169000000.0,768000000.0,641000000.0,586000000.0,649000000.0,691000000.0,612000000.0,551000000.0,1026000000.0,,-10502000.0,-26837000.0,-7070000.0,6064000.0,4632000.0,8696000.0,,,169000000.0,641000000.0,649000000.0,612000000.0,1026000000.0,-10502000.0,-7070000.0,4632000.0,,768000000.0,649000000.0,551000000.0,-10502000.0,6064000.0,,169000000.0,649000000.0,1026000000.0,-7070000.0,,768000000.0,612000000.0,-26837000.0,,612000000.0,768000000.0,,CommonMetricExtracted
NetIncome,,,,1256000000.0,1297000000.0,1234000000.0,1722000000.0,1744000000.0,1836000000.0,1746000000.0,1591000000.0,1538000000.0,1308000000.0,,11941000.0,23806000.0,10767000.0,29399000.0,-7772000.0,19667000.0,,,1297000000.0,1722000000.0,1836000000.0,1591000000.0,1308000000.0,11941000.0,10767000.0,-7772000.0,,1234000000.0,1836000000.0,1538000000.0,11941000.0,29399000.0,,1297000000.0,1836000000.0,1308000000.0,10767000.0,,1234000000.0,1591000000.0,23806000.0,,1591000000.0,1234000000.0,,CommonMetricExtracted
Cash,,,17000000.0,32000000.0,45000000.0,39000000.0,90000000.0,157000000.0,138000000.0,126000000.0,147000000.0,524000000.0,617000000.0,,18710000.0,11773000.0,40916000.0,20021000.0,30467000.0,67455000.0,,32000000.0,39000000.0,157000000.0,126000000.0,524000000.0,,11773000.0,20021000.0,67455000.0,45000000.0,157000000.0,147000000.0,,40916000.0,67455000.0,32000000.0,157000000.0,524000000.0,11773000.0,67455000.0,45000000.0,126000000.0,18710000.0,67455000.0,126000000.0,67455000.0,67455000.0,67455000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,2494000.0,5406000.0,20782000.0,84071000.0,121756000.0,,,,,,,,2494000.0,20782000.0,121756000.0,,,,,5406000.0,121756000.0,,,,2494000.0,121756000.0,,,,121756000.0,,121756000.0,121756000.0,121756000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,3368000.0,4759000.0,5089000.0,15011000.0,5108000.0,,,,,,,,3368000.0,5089000.0,5108000.0,,,,,4759000.0,5108000.0,,,,3368000.0,5108000.0,,,,5108000.0,,5108000.0,5108000.0,5108000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,8990000000.0,9532000000.0,10131000000.0,11453000000.0,12278000000.0,11997000000.0,10998000000.0,11477000000.0,12057000000.0,,,1124000.0,981000.0,2878000.0,3325000.0,6760000.0,,,9532000000.0,11453000000.0,11997000000.0,11477000000.0,,1124000.0,2878000.0,6760000.0,8990000000.0,11453000000.0,10998000000.0,,981000.0,6760000.0,,11453000000.0,11477000000.0,1124000.0,6760000.0,8990000000.0,11997000000.0,,6760000.0,11997000000.0,6760000.0,6760000.0,6760000.0,CommonMetricExtracted
Goodwill,,,,1909000000.0,2070000000.0,2066000000.0,2372000000.0,2507000000.0,3194000000.0,3121000000.0,2986000000.0,3117000000.0,3233000000.0,,97323000.0,369982000.0,418701000.0,506638000.0,506038000.0,506038000.0,,1909000000.0,2066000000.0,2507000000.0,3121000000.0,3117000000.0,,369982000.0,506638000.0,506038000.0,2070000000.0,2507000000.0,2986000000.0,,418701000.0,506038000.0,1909000000.0,2507000000.0,3117000000.0,369982000.0,506038000.0,2070000000.0,3121000000.0,97323000.0,506038000.0,3121000000.0,506038000.0,506038000.0,506038000.0,CommonMetricExtracted
IntangibleAssets,,,,,142000000.0,132000000.0,167000000.0,173000000.0,596000000.0,603000000.0,568000000.0,583000000.0,553000000.0,,,143738000.0,128788000.0,151795000.0,123195000.0,97589000.0,,,132000000.0,173000000.0,603000000.0,583000000.0,,143738000.0,151795000.0,97589000.0,142000000.0,173000000.0,568000000.0,,128788000.0,97589000.0,,173000000.0,583000000.0,143738000.0,97589000.0,142000000.0,603000000.0,,97589000.0,603000000.0,97589000.0,97589000.0,97589000.0,CommonMetricExtracted
TotalAssets,,,,,14317000000.0,15274000000.0,16356000000.0,18090000000.0,20255000000.0,19802000000.0,18319000000.0,19332000000.0,20436000000.0,,,582426000.0,676217000.0,826360000.0,834074000.0,869275000.0,,,15274000000.0,18090000000.0,19802000000.0,19332000000.0,,582426000.0,826360000.0,869275000.0,14317000000.0,18090000000.0,18319000000.0,,676217000.0,869275000.0,,18090000000.0,19332000000.0,582426000.0,869275000.0,14317000000.0,19802000000.0,,869275000.0,19802000000.0,869275000.0,869275000.0,869275000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,,6465000.0,18900000.0,45081000.0,69544000.0,,,,,,,,,18900000.0,69544000.0,,,,,6465000.0,69544000.0,,,,,69544000.0,,,,69544000.0,,69544000.0,69544000.0,69544000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,,,,15054000.0,30208000.0,,,,,,,,,,30208000.0,,,,,,30208000.0,,,,,30208000.0,,,,30208000.0,,30208000.0,30208000.0,30208000.0,CommonMetricExtracted
TotalLiability,,,,,8669000000.0,9129000000.0,10339000000.0,11417000000.0,12945000000.0,13616000000.0,13413000000.0,13880000000.0,13914000000.0,,,324146000.0,281053000.0,392477000.0,408912000.0,482385000.0,,,9129000000.0,11417000000.0,13616000000.0,13880000000.0,,324146000.0,392477000.0,482385000.0,8669000000.0,11417000000.0,13413000000.0,,281053000.0,482385000.0,,11417000000.0,13880000000.0,324146000.0,482385000.0,8669000000.0,13616000000.0,,482385000.0,13616000000.0,482385000.0,482385000.0,482385000.0,CommonMetricExtracted
ShareholderEquity,,,5463000000.0,4311000000.0,5648000000.0,6145000000.0,5797000000.0,6421000000.0,7003000000.0,6010000000.0,4793000000.0,5441000000.0,6511000000.0,,,,395164000.0,433883000.0,425162000.0,386890000.0,,4311000000.0,6145000000.0,6421000000.0,6010000000.0,5441000000.0,,,433883000.0,386890000.0,5648000000.0,6421000000.0,4793000000.0,,395164000.0,386890000.0,4311000000.0,6421000000.0,5441000000.0,,386890000.0,5648000000.0,6010000000.0,,386890000.0,6010000000.0,386890000.0,386890000.0,386890000.0,CommonMetricExtracted
OperatingCashFlow,,,,2038000000.0,2168000000.0,1905000000.0,2455000000.0,2752000000.0,2917000000.0,,,,,,,10669000.0,49019000.0,61675000.0,47685000.0,100970000.0,,,2168000000.0,2455000000.0,2917000000.0,,,,49019000.0,47685000.0,,1905000000.0,2917000000.0,,,61675000.0,,2168000000.0,2917000000.0,,49019000.0,,1905000000.0,,10669000.0,,,1905000000.0,,CommonMetricExtracted
CapitalExpenditures,,,,1611000000.0,1352000000.0,1388000000.0,1797000000.0,2180000000.0,2020000000.0,1689000000.0,1541000000.0,1465000000.0,,,,34000.0,129000.0,1295000.0,1185000.0,4379000.0,,,1352000000.0,1797000000.0,2020000000.0,1541000000.0,,,129000.0,1185000.0,,1388000000.0,2020000000.0,1465000000.0,,1295000.0,,1352000000.0,2020000000.0,,129000.0,,1388000000.0,1541000000.0,34000.0,,1541000000.0,1388000000.0,,CommonMetricExtracted
InvestingCashFlow,,,,-1687000000.0,-1452000000.0,-1484000000.0,-2005000000.0,-2378000000.0,-3237000000.0,-1803000000.0,-1303000000.0,-1770000000.0,,,,-214193000.0,-47400000.0,-98590000.0,-2250000.0,-5804000.0,,,-1452000000.0,-2005000000.0,-3237000000.0,-1303000000.0,,,-47400000.0,-2250000.0,,-1484000000.0,-3237000000.0,-1770000000.0,,-98590000.0,,-1452000000.0,-3237000000.0,,-47400000.0,,-1484000000.0,-1303000000.0,-214193000.0,,-1303000000.0,-1484000000.0,,CommonMetricExtracted
DividendsPaid,,,,468000000.0,491000000.0,551000000.0,602000000.0,655000000.0,708000000.0,759000000.0,819000000.0,856000000.0,,,,0.0,0.0,10522000.0,15406000.0,16275000.0,,,491000000.0,602000000.0,708000000.0,819000000.0,,,0.0,15406000.0,,551000000.0,708000000.0,856000000.0,,10522000.0,,491000000.0,708000000.0,,0.0,,551000000.0,819000000.0,0.0,,819000000.0,551000000.0,,CommonMetricExtracted
FinancingCashFlow,,,,-333000000.0,-711000000.0,-419000000.0,-380000000.0,-303000000.0,328000000.0,-1008000000.0,-1297000000.0,-643000000.0,,,,196841000.0,29080000.0,22925000.0,-42870000.0,-59108000.0,,,-711000000.0,-380000000.0,328000000.0,-1297000000.0,,,29080000.0,-42870000.0,,-419000000.0,328000000.0,-643000000.0,,22925000.0,,-711000000.0,328000000.0,,29080000.0,,-419000000.0,-1297000000.0,196841000.0,,-1297000000.0,-419000000.0,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,,,,0.2853102311701038,0.12897814986343664,0.26801918503461014,0.21891006251260334,0.08654554179387261,0.20448780224525043,,,,,,,,0.2853102311701038,0.26801918503461014,0.08654554179387261,,,,,0.2853102311701038,0.21891006251260334,,,,,0.26801918503461014,,,,0.12897814986343664,,,,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,0.7349153071579112,1.2351248705259523,0.5294205125663015,0.21889321327407135,1.0454567181301084,0.4208182118112834,,,,,,,,0.7349153071579112,0.5294205125663015,1.0454567181301084,,,,,0.7349153071579112,0.21889321327407135,,,,,0.5294205125663015,,,,1.2351248705259523,,,,,CommonMetricCalculated
TaxesPercentOfOperatingMargin,,,,0.24694636218799787,0.1073015873015873,0.3688760806916426,0.25972447325769854,0.24045958145260565,0.24723809523809523,0.26495398773006135,0.2636794485135717,0.24620196604110814,0.41911764705882354,,-0.8197642650846928,-3.088617792611348,-0.17523422396272245,0.13964949450751907,0.22140433057693226,0.14345100626855822,,,0.1073015873015873,0.25972447325769854,0.24723809523809523,0.2636794485135717,0.41911764705882354,-0.8197642650846928,-0.17523422396272245,0.22140433057693226,,0.3688760806916426,0.24723809523809523,0.24620196604110814,-0.8197642650846928,0.13964949450751907,,0.1073015873015873,0.24723809523809523,0.41911764705882354,-0.17523422396272245,,0.3688760806916426,0.2636794485135717,-3.088617792611348,,0.2636794485135717,0.3688760806916426,,CommonMetricCalculated
NetIncomePercentOfRevenue,,,,,,,,,,,,,,,0.26593470224043475,0.35337252107825673,0.07152536968392523,0.14821032466223028,-0.03215104205448965,0.06634215781519862,,,,,,,,0.26593470224043475,0.07152536968392523,-0.03215104205448965,,,,,0.26593470224043475,0.14821032466223028,,,,,0.07152536968392523,,,,0.35337252107825673,,,,,CommonMetricCalculated
CashPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ReceivablesCurrentPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
PrepaidExpensesPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
InventoryPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
CurrentAssetsPercentOfTotaltAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
PropertyPlantEquipmentPercentOfTotaltAssets,,,,,0.6279248445903471,0.6240670420322116,0.6194057226705796,0.6331122166943063,0.6061713157245124,0.6058478941521058,0.6003602816747639,0.5936788744051313,0.5899882560187903,,,0.0019298589005298527,0.0014507177429730397,0.003482743598431676,0.00398645683716313,0.007776595438727676,,,0.6240670420322116,0.6331122166943063,0.6058478941521058,0.5936788744051313,,0.0019298589005298527,0.003482743598431676,0.007776595438727676,0.6279248445903471,0.6331122166943063,0.6003602816747639,,0.0014507177429730397,0.007776595438727676,,0.6331122166943063,0.5936788744051313,0.0019298589005298527,0.007776595438727676,0.6279248445903471,0.6058478941521058,,0.007776595438727676,0.6058478941521058,0.007776595438727676,0.007776595438727676,0.007776595438727676,CommonMetricCalculated
GoodwillPercentOfTotaltAssets,,,,,0.14458336243626457,0.1352625376456724,0.1450232330643189,0.13858485351022665,0.15768945939274254,0.1576103423896576,0.16300016376439763,0.1612352576039727,0.158201213544725,,,0.6352429321493203,0.6191814166162637,0.6130959872210658,0.6067063593877762,0.5821379885536798,,,0.1352625376456724,0.13858485351022665,0.1576103423896576,0.1612352576039727,,0.6352429321493203,0.6130959872210658,0.5821379885536798,0.14458336243626457,0.13858485351022665,0.16300016376439763,,0.6191814166162637,0.5821379885536798,,0.13858485351022665,0.1612352576039727,0.6352429321493203,0.5821379885536798,0.14458336243626457,0.1576103423896576,,0.5821379885536798,0.1576103423896576,0.5821379885536798,0.5821379885536798,0.5821379885536798,CommonMetricCalculated
IntangibleAssetsPercentOfTotaltAssets,,,,,0.009918278969057764,0.008642136964776745,0.01021032037172903,0.009563294637921504,0.029424833374475438,0.030451469548530452,0.03100605928271194,0.03015725222429133,0.027060090037189274,,,0.2467918671213167,0.1904536561488398,0.18369112735369572,0.14770272182084562,0.11226481838313537,,,0.008642136964776745,0.009563294637921504,0.030451469548530452,0.03015725222429133,,0.2467918671213167,0.18369112735369572,0.11226481838313537,0.009918278969057764,0.009563294637921504,0.03100605928271194,,0.1904536561488398,0.11226481838313537,,0.009563294637921504,0.03015725222429133,0.2467918671213167,0.11226481838313537,0.009918278969057764,0.030451469548530452,,0.11226481838313537,0.030451469548530452,0.11226481838313537,0.11226481838313537,0.11226481838313537,CommonMetricCalculated
ShorttermDebtPercentOfCurrentLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
PayablesAndAccruedExpensesPercentOfCurrentLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
CurrentLiabilityPercentOfTotalLiability,,,,,,,,,,,,,,,,,0.023002778835308643,0.048155688104016284,0.11024621434440662,0.1441670035345212,,,,,,,,,0.048155688104016284,0.1441670035345212,,,,,0.023002778835308643,0.1441670035345212,,,,,0.1441670035345212,,,,0.1441670035345212,,0.1441670035345212,0.1441670035345212,0.1441670035345212,CommonMetricCalculated
LongtermDebtPercentOfTotalLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
LongtermLiabilityPercentOfTotalLiability,,,,,,,,,,,,,,,,,,,0.03681476699143092,0.06262217937954123,,,,,,,,,,0.06262217937954123,,,,,,0.06262217937954123,,,,,0.06262217937954123,,,,0.06262217937954123,,0.06262217937954123,0.06262217937954123,0.06262217937954123,CommonMetricCalculated
TotalLiabilitiesPercentOfTotalAssets,,,,,,,,,,,,,,,,,,,0.018048758263655262,0.03475079807885882,,,,,,,,,,0.03475079807885882,,,,,,0.03475079807885882,,,,,0.03475079807885882,,,,0.03475079807885882,,0.03475079807885882,0.03475079807885882,0.03475079807885882,CommonMetricCalculated
EquityPercentOfTotalAssets,,,,,0.3944960536425229,0.4023176640041901,0.35442651014918075,0.35494748479823107,0.3457417921500864,0.3035046964953035,0.26164091926415195,0.2814504448582661,0.3186044235662556,,,,0.5843745424915375,0.5250532455588364,0.5097413418953234,0.4450720427942826,,,0.4023176640041901,0.35494748479823107,0.3035046964953035,0.2814504448582661,,,0.5250532455588364,0.4450720427942826,0.3944960536425229,0.35494748479823107,0.26164091926415195,,0.5843745424915375,0.4450720427942826,,0.35494748479823107,0.2814504448582661,,0.4450720427942826,0.3944960536425229,0.3035046964953035,,0.4450720427942826,0.3035046964953035,0.4450720427942826,0.4450720427942826,0.4450720427942826,CommonMetricCalculated
NetCashFlow,,,,18000000.0,5000000.0,2000000.0,70000000.0,71000000.0,8000000.0,,,,,,,-6683000.0,30699000.0,-13990000.0,2565000.0,36058000.0,,,5000000.0,70000000.0,8000000.0,,,,30699000.0,2565000.0,,2000000.0,8000000.0,,,-13990000.0,,5000000.0,8000000.0,,30699000.0,,2000000.0,,-6683000.0,,,2000000.0,,CommonMetricCalculated
OperatingCashFlowPercentOfNetCashFlow,,,,113.22222222222223,433.6,952.5,35.07142857142857,38.76056338028169,364.625,,,,,,,-1.5964387251234475,1.596762109514968,-4.408506075768406,18.5906432748538,2.8002107715347497,,,433.6,35.07142857142857,364.625,,,,1.596762109514968,18.5906432748538,,952.5,364.625,,,-4.408506075768406,,433.6,364.625,,1.596762109514968,,952.5,,-1.5964387251234475,,,952.5,,CommonMetricCalculated
CapitalExpendituresPercentOfInvestingCashFlow,,,,-0.9549496147006521,-0.931129476584022,-0.9353099730458221,-0.8962593516209476,-0.9167367535744323,-0.6240345999382144,-0.9367720465890182,-1.182655410590944,-0.827683615819209,,,,-0.0001587353461597718,-0.002721518987341772,-0.013135206410386449,-0.5266666666666666,-0.7544796691936595,,,-0.931129476584022,-0.8962593516209476,-0.6240345999382144,-1.182655410590944,,,-0.002721518987341772,-0.5266666666666666,,-0.9353099730458221,-0.6240345999382144,-0.827683615819209,,-0.013135206410386449,,-0.931129476584022,-0.6240345999382144,,-0.002721518987341772,,-0.9353099730458221,-1.182655410590944,-0.0001587353461597718,,-1.182655410590944,-0.9353099730458221,,CommonMetricCalculated
InvestingCashFlowPercentOfNetCashFlow,,,,-93.72222222222223,-290.4,-742.0,-28.642857142857142,-33.49295774647887,-404.625,,,,,,,32.0504264551848,-1.5440242353171114,7.047176554681916,-0.8771929824561403,-0.1609628931166454,,,-290.4,-28.642857142857142,-404.625,,,,-1.5440242353171114,-0.8771929824561403,,-742.0,-404.625,,,7.047176554681916,,-290.4,-404.625,,-1.5440242353171114,,-742.0,,32.0504264551848,,,-742.0,,CommonMetricCalculated
DividendsPaidPercentOfFinancingCashFlow,,,,-1.4054054054054055,-0.6905766526019691,-1.3150357995226731,-1.5842105263157895,-2.1617161716171616,2.158536585365854,-0.7529761904761905,-0.6314572089437163,-1.3312597200622085,,,,0.0,0.0,0.45897491821155945,-0.3593655236762305,-0.27534343912837517,,,-0.6905766526019691,-1.5842105263157895,2.158536585365854,-0.6314572089437163,,,0.0,-0.3593655236762305,,-1.3150357995226731,2.158536585365854,-1.3312597200622085,,0.45897491821155945,,-0.6905766526019691,2.158536585365854,,0.0,,-1.3150357995226731,-0.6314572089437163,0.0,,-0.6314572089437163,-1.3150357995226731,,CommonMetricCalculated
FinancingCashFlowPercentOfNetCashFlow,,,,-18.5,-142.2,-209.5,-5.428571428571429,-4.267605633802817,41.0,,,,,,,-29.45398773006135,0.9472621258021434,-1.6386704789135096,-16.71345029239766,-1.6392478784181042,,,-142.2,-5.428571428571429,41.0,,,,0.9472621258021434,-16.71345029239766,,-209.5,41.0,,,-1.6386704789135096,,-142.2,41.0,,0.9472621258021434,,-209.5,,-29.45398773006135,,,-209.5,,CommonMetricCalculated
NetCashFlowPercentOfNetIncome,,,,0.014331210191082803,0.0038550501156515036,0.0016207455429497568,0.04065040650406504,0.040711009174311925,0.004357298474945534,,,,,,,-0.2807275476770562,2.851212036779047,-0.4758665260723154,-0.3300308800823469,1.8334265520923374,,,0.0038550501156515036,0.04065040650406504,0.004357298474945534,,,,2.851212036779047,-0.3300308800823469,,0.0016207455429497568,0.004357298474945534,,,-0.4758665260723154,,0.0038550501156515036,0.004357298474945534,,2.851212036779047,,0.0016207455429497568,,-0.2807275476770562,,,0.0016207455429497568,,CommonMetricCalculated
FreeCashFlow,,,,427000000.0,816000000.0,517000000.0,658000000.0,572000000.0,897000000.0,,,,,,,10635000.0,48890000.0,60380000.0,46500000.0,96591000.0,,,816000000.0,658000000.0,897000000.0,,,,48890000.0,46500000.0,,517000000.0,897000000.0,,,60380000.0,,816000000.0,897000000.0,,48890000.0,,517000000.0,,10635000.0,,,517000000.0,,CommonMetricCalculated
FreeCashFlowPercentOfNetProfit,,,,0.33996815286624205,0.6291441788743254,0.4189627228525122,0.3821138211382114,0.32798165137614677,0.48856209150326796,,,,,,,0.4467361169453079,4.540726293303613,2.0538113541276912,-5.983015954709213,4.911323536889205,,,0.6291441788743254,0.3821138211382114,0.48856209150326796,,,,4.540726293303613,-5.983015954709213,,0.4189627228525122,0.48856209150326796,,,2.0538113541276912,,0.6291441788743254,0.48856209150326796,,4.540726293303613,,0.4189627228525122,,0.4467361169453079,,,0.4189627228525122,,CommonMetricCalculated
NetOperatingProfitAfterTaxes,,,,1418000000.0,1406000000.0,1314000000.0,1827000000.0,1851000000.0,1976000000.0,1917000000.0,1709000000.0,1687000000.0,1422000000.0,,23313000.0,35526000.0,47416000.0,37359000.0,16289000.0,51924000.0,,,1406000000.0,1827000000.0,1976000000.0,1709000000.0,1422000000.0,23313000.0,47416000.0,16289000.0,,1314000000.0,1976000000.0,1687000000.0,23313000.0,37359000.0,,1406000000.0,1976000000.0,1422000000.0,47416000.0,,1314000000.0,1709000000.0,35526000.0,,1709000000.0,1314000000.0,,CommonMetricCalculated
NetWorkingCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
InvestedCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ReturnOnInvestedCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ReturnOnAssets,,,,,0.0905916043863938,0.08079088647374623,0.10528246515040351,0.09640685461580983,0.0906442853616391,0.08817291182708817,0.08684971887111742,0.07955721084212704,0.06400469759248385,,,0.04087386208720078,0.015922403607126115,0.035576504187037124,-0.00931811805667123,0.02262460096057059,,,0.08491554275238967,0.09519071310116087,0.09271790728209271,0.08229877922615353,,0.020502175383653887,0.01302943027252045,-0.008940783986655546,,0.06821448313985627,0.10022381134341395,,0.01765853268995012,0.033820137470880904,,0.07169707020453289,0.09497206703910614,2.2457788628941704,0.012386183888872911,,0.06231693768306232,,0.02738604009088033,,1.8302608495585402,1.4195737827499928,,CommonMetricCalculated
ReturnOnEquity,,,,0.2913477151472976,0.2296388101983003,0.20081366965012204,0.29705019837847163,0.27160878367855473,0.26217335427673855,0.2905158069883527,0.33194241602336744,0.28266862709060836,0.2008908001843035,,,,0.02724691520482635,0.06775789786647553,-0.018280090883004595,0.05083357026545013,,,0.21106590724165988,0.2681825260862794,0.30549084858569053,0.29240948355081786,,,0.024815445638570768,-0.020088397218847736,,0.19218190313035352,0.3830586271646151,,0.030217833608324644,0.07598800692703353,,0.20199345896277837,0.33743797096122036,,0.02782961565302799,,0.20532445923460899,,0.061531701517227116,,4.1122799762206315,3.18953707772235,,CommonMetricCalculated
TotalAssetTurnover,,,,,,,,,,,,,,,,0.11566791317695295,0.22261197219235837,0.24004066024492957,0.28982320513527576,0.34102901843490263,,,,,,,,0.07709477255479666,0.18216515804249964,0.2780869115067154,,,,,0.06640176156470481,0.22819015846538782,,,,,0.17317189612033015,,,,0.07749906531304823,,,,,CommonMetricCalculated
PropertyPlantEquipmentTurnover,,,,,,,,,,,,,,,,59.93594306049822,153.44954128440367,68.92286309937457,72.70195488721805,43.85325443786982,,,,,,,,39.94839857651245,52.30507296733843,35.759467455621305,,,,,45.771661569826705,29.34319526627219,,,,,22.268343195266272,,,,9.965680473372782,,,,,CommonMetricCalculated
CashTurnover,,,,,,,,,,,,,,,2.399893105291288,5.722245816699227,3.679098641118389,9.907597023125717,7.934289559195195,4.39475205692684,,,,,,,,3.8139811432939776,7.5188052544827935,3.5836335334667555,,,,,1.0974191025515692,2.9406270847231486,,,,,2.23162108072048,,,,0.9987102512786302,,,,,CommonMetricCalculated
