,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,10387000000.0,10982000000.0,14957000000.0,19121000000.0,24866000000.0,26487000000.0,25281000000.0,23554000000.0,22291000000.0,22732000000.0,24273000000.0,23531000000.0,33566000000.0,44200000000.0,35820000000.0,38962000000.0,,,10387000000.0,14957000000.0,24866000000.0,25281000000.0,22291000000.0,24273000000.0,33566000000.0,35820000000.0,,10982000000.0,24866000000.0,23554000000.0,24273000000.0,44200000000.0,,10387000000.0,24866000000.0,22291000000.0,33566000000.0,,10982000000.0,25281000000.0,23531000000.0,,25281000000.0,10982000000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,3025000000.0,3301000000.0,4877000000.0,7096000000.0,9820000000.0,10686000000.0,10378000000.0,9749000000.0,9792000000.0,10244000000.0,8599000000.0,9255000000.0,14262000000.0,18635000000.0,15869000000.0,17060000000.0,,,3025000000.0,4877000000.0,9820000000.0,10378000000.0,9792000000.0,8599000000.0,14262000000.0,15869000000.0,,3301000000.0,9820000000.0,9749000000.0,8599000000.0,18635000000.0,,3025000000.0,9820000000.0,9792000000.0,14262000000.0,,3301000000.0,10378000000.0,9255000000.0,,10378000000.0,3301000000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,1462000000.0,1503000000.0,1945000000.0,2324000000.0,2518000000.0,2290000000.0,2344000000.0,2385000000.0,2658000000.0,2986000000.0,2195000000.0,2074000000.0,2339000000.0,2570000000.0,2483000000.0,2759000000.0,,,1462000000.0,1945000000.0,2518000000.0,2344000000.0,2658000000.0,2195000000.0,2339000000.0,2483000000.0,,1503000000.0,2518000000.0,2385000000.0,2195000000.0,2570000000.0,,1462000000.0,2518000000.0,2658000000.0,2339000000.0,,1503000000.0,2344000000.0,2074000000.0,,2344000000.0,1503000000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,2345000000.0,2451000000.0,2995000000.0,3915000000.0,4967000000.0,5477000000.0,5490000000.0,5151000000.0,5485000000.0,5625000000.0,5398000000.0,5975000000.0,7176000000.0,8194000000.0,8818000000.0,8893000000.0,,,2345000000.0,2995000000.0,4967000000.0,5490000000.0,5485000000.0,5398000000.0,7176000000.0,8818000000.0,,2451000000.0,4967000000.0,5151000000.0,5398000000.0,8194000000.0,,2345000000.0,4967000000.0,5485000000.0,7176000000.0,,2451000000.0,5490000000.0,5975000000.0,,5490000000.0,2451000000.0,,CommonMetricExtracted
OperatingMargin,,,,,2403000000.0,4493000000.0,5687000000.0,6562000000.0,8194000000.0,8778000000.0,6487000000.0,6833000000.0,3020000000.0,513000000.0,7481000000.0,5719000000.0,10274000000.0,14998000000.0,7443000000.0,10336000000.0,,,2403000000.0,5687000000.0,8194000000.0,6487000000.0,3020000000.0,7481000000.0,10274000000.0,7443000000.0,,4493000000.0,8194000000.0,6833000000.0,7481000000.0,14998000000.0,,2403000000.0,8194000000.0,3020000000.0,10274000000.0,,4493000000.0,6487000000.0,5719000000.0,,6487000000.0,4493000000.0,,CommonMetricExtracted
Interest,,,,,,,,,23000000.0,5000000.0,104000000.0,297000000.0,494000000.0,768000000.0,627000000.0,602000000.0,559000000.0,490000000.0,694000000.0,697000000.0,,,,,23000000.0,104000000.0,494000000.0,627000000.0,559000000.0,694000000.0,,,23000000.0,297000000.0,627000000.0,490000000.0,,,23000000.0,494000000.0,559000000.0,,,104000000.0,602000000.0,,104000000.0,,,CommonMetricExtracted
Taxes,,,,,611000000.0,973000000.0,1132000000.0,1279000000.0,1349000000.0,1244000000.0,1219000000.0,1131000000.0,555000000.0,5377000000.0,3095000000.0,521000000.0,1231000000.0,2012000000.0,104000000.0,226000000.0,,,611000000.0,1132000000.0,1349000000.0,1219000000.0,555000000.0,3095000000.0,1231000000.0,104000000.0,,973000000.0,1349000000.0,1131000000.0,3095000000.0,2012000000.0,,611000000.0,1349000000.0,555000000.0,1231000000.0,,973000000.0,1219000000.0,521000000.0,,1219000000.0,973000000.0,,CommonMetricExtracted
NetIncome,,,,,1592000000.0,3247000000.0,4260000000.0,6109000000.0,6853000000.0,7967000000.0,5271000000.0,5705000000.0,2466000000.0,-4864000000.0,4386000000.0,5198000000.0,9043000000.0,12936000000.0,7232000000.0,10142000000.0,,,1592000000.0,4260000000.0,6853000000.0,5271000000.0,2466000000.0,4386000000.0,9043000000.0,7232000000.0,,3247000000.0,6853000000.0,5705000000.0,4386000000.0,12936000000.0,,1592000000.0,6853000000.0,2466000000.0,9043000000.0,,3247000000.0,5271000000.0,5198000000.0,,5271000000.0,3247000000.0,,CommonMetricExtracted
Cash,,,,1840000000.0,2717000000.0,3547000000.0,5462000000.0,3807000000.0,6142000000.0,7907000000.0,7560000000.0,5946000000.0,35029000000.0,11777000000.0,11839000000.0,6707000000.0,7116000000.0,2773000000.0,8450000000.0,7849000000.0,,1840000000.0,3547000000.0,3807000000.0,7907000000.0,5946000000.0,11777000000.0,6707000000.0,2773000000.0,7849000000.0,2717000000.0,3807000000.0,7560000000.0,11777000000.0,7116000000.0,7849000000.0,1840000000.0,3807000000.0,5946000000.0,6707000000.0,7849000000.0,2717000000.0,7907000000.0,11839000000.0,7849000000.0,7907000000.0,7849000000.0,7849000000.0,7849000000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,2142000000.0,2412000000.0,1964000000.0,2219000000.0,3632000000.0,2904000000.0,2471000000.0,4003000000.0,3579000000.0,5643000000.0,3183000000.0,3929000000.0,,,,,2412000000.0,2219000000.0,2904000000.0,4003000000.0,5643000000.0,3929000000.0,,,1964000000.0,2904000000.0,3579000000.0,3929000000.0,,,2219000000.0,4003000000.0,3929000000.0,,2412000000.0,2471000000.0,3929000000.0,2412000000.0,3929000000.0,3929000000.0,3929000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,528000000.0,765000000.0,1030000000.0,1302000000.0,1458000000.0,1492000000.0,1556000000.0,2035000000.0,1693000000.0,1400000000.0,2598000000.0,3228000000.0,6341000000.0,6422000000.0,6423000000.0,,,528000000.0,1030000000.0,1458000000.0,1556000000.0,1693000000.0,2598000000.0,6341000000.0,6423000000.0,,1030000000.0,1492000000.0,1693000000.0,3228000000.0,6423000000.0,,1030000000.0,1556000000.0,2598000000.0,6423000000.0,,1458000000.0,1400000000.0,6423000000.0,1458000000.0,6423000000.0,6423000000.0,6423000000.0,CommonMetricExtracted
