,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,297706000.0,299785000.0,404358000.0,455154000.0,490339000.0,578487000.0,582099000.0,580624000.0,613514000.0,,,,,,,299785000.0,455154000.0,578487000.0,580624000.0,,,,297706000.0,455154000.0,582099000.0,,,,299785000.0,578487000.0,,,,490339000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,240730000.0,291991000.0,283466000.0,251591000.0,241907000.0,252002000.0,270963000.0,269409000.0,345947000.0,393509000.0,437864000.0,507956000.0,528368000.0,532101000.0,567268000.0,,,,291991000.0,251591000.0,252002000.0,269409000.0,393509000.0,507956000.0,532101000.0,,240730000.0,251591000.0,270963000.0,393509000.0,528368000.0,,,251591000.0,269409000.0,507956000.0,,240730000.0,252002000.0,437864000.0,,252002000.0,240730000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,16698000.0,17382000.0,14074000.0,14705000.0,16385000.0,14544000.0,12020000.0,9189000.0,10414000.0,8755000.0,8876000.0,10991000.0,11042000.0,12542000.0,13607000.0,,,,17382000.0,14705000.0,14544000.0,9189000.0,8755000.0,10991000.0,12542000.0,,16698000.0,14705000.0,12020000.0,8755000.0,11042000.0,,,14705000.0,9189000.0,10991000.0,,16698000.0,14544000.0,8876000.0,,14544000.0,16698000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,19726000.0,24163000.0,21051000.0,19048000.0,19548000.0,17948000.0,16431000.0,13476000.0,13805000.0,12329000.0,14206000.0,19344000.0,21906000.0,28893000.0,30045000.0,,,,24163000.0,19048000.0,17948000.0,13476000.0,12329000.0,19344000.0,28893000.0,,19726000.0,19048000.0,16431000.0,12329000.0,21906000.0,,,19048000.0,13476000.0,19344000.0,,19726000.0,17948000.0,14206000.0,,17948000.0,19726000.0,,CommonMetricExtracted
OperatingMargin,,,,,,1523000.0,56000.0,-42000.0,-69000.0,1493000.0,2671000.0,112000.0,-2416000.0,687000.0,69000.0,12947000.0,16660000.0,21000.0,-52000.0,-2059000.0,,,,56000.0,-69000.0,2671000.0,-2416000.0,69000.0,16660000.0,-52000.0,,1523000.0,-69000.0,112000.0,69000.0,21000.0,,,-69000.0,-2416000.0,16660000.0,,1523000.0,2671000.0,12947000.0,,2671000.0,1523000.0,,CommonMetricExtracted
Interest,,,,,,3977000.0,4213000.0,4462000.0,5200000.0,3825000.0,3818000.0,585000.0,346000.0,0.0,367000.0,696000.0,1296000.0,1075000.0,790000.0,680000.0,,,,4213000.0,5200000.0,3818000.0,346000.0,367000.0,1296000.0,790000.0,,3977000.0,5200000.0,585000.0,367000.0,1075000.0,,,5200000.0,346000.0,1296000.0,,3977000.0,3818000.0,696000.0,,3818000.0,3977000.0,,CommonMetricExtracted
Taxes,,,,,,16276000.0,17887000.0,11131000.0,-26601000.0,36209000.0,-244000.0,134000.0,-1080000.0,574000.0,-51761000.0,584000.0,5774000.0,-514000.0,47504000.0,935000.0,,,,17887000.0,-26601000.0,-244000.0,-1080000.0,-51761000.0,5774000.0,47504000.0,,16276000.0,-26601000.0,134000.0,-51761000.0,-514000.0,,,-26601000.0,-1080000.0,5774000.0,,16276000.0,-244000.0,584000.0,,-244000.0,16276000.0,,CommonMetricExtracted
NetIncome,,,,,,20584000.0,27214000.0,13001000.0,-67372000.0,-146404000.0,-20008000.0,-19420000.0,-12208000.0,15930000.0,62480000.0,18102000.0,23555000.0,-5248000.0,-68866000.0,-31331000.0,,,,27214000.0,-67372000.0,-20008000.0,-12208000.0,62480000.0,23555000.0,-68866000.0,,20584000.0,-67372000.0,-19420000.0,62480000.0,-5248000.0,,,-67372000.0,-12208000.0,23555000.0,,20584000.0,-20008000.0,18102000.0,,-20008000.0,20584000.0,,CommonMetricExtracted
Cash,,,,,25182000.0,155770000.0,132290000.0,68531000.0,90117000.0,84177000.0,60468000.0,53710000.0,49571000.0,64700000.0,62522000.0,107509000.0,110318000.0,96439000.0,73677000.0,50488000.0,,,155770000.0,68531000.0,84177000.0,53710000.0,64700000.0,107509000.0,96439000.0,50488000.0,25182000.0,68531000.0,60468000.0,64700000.0,110318000.0,50488000.0,,68531000.0,53710000.0,107509000.0,50488000.0,25182000.0,84177000.0,62522000.0,50488000.0,84177000.0,50488000.0,50488000.0,50488000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,48225000.0,52830000.0,38391000.0,41979000.0,46240000.0,47218000.0,44059000.0,68492000.0,75628000.0,64472000.0,87928000.0,81429000.0,67748000.0,111786000.0,,,,52830000.0,41979000.0,47218000.0,68492000.0,64472000.0,81429000.0,111786000.0,,52830000.0,46240000.0,68492000.0,87928000.0,111786000.0,,52830000.0,47218000.0,64472000.0,111786000.0,,41979000.0,75628000.0,111786000.0,41979000.0,111786000.0,111786000.0,111786000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,5773000.0,7774000.0,4623000.0,11647000.0,11669000.0,7055000.0,6225000.0,4432000.0,5228000.0,13591000.0,7930000.0,4924000.0,9779000.0,6813000.0,,,,7774000.0,11647000.0,7055000.0,4432000.0,13591000.0,4924000.0,6813000.0,,7774000.0,11669000.0,4432000.0,7930000.0,6813000.0,,7774000.0,7055000.0,13591000.0,6813000.0,,11647000.0,5228000.0,6813000.0,11647000.0,6813000.0,6813000.0,6813000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,231468000.0,173536000.0,177731000.0,176656000.0,118377000.0,107983000.0,99855000.0,137624000.0,143378000.0,185572000.0,206176000.0,182792000.0,151204000.0,169087000.0,,,,173536000.0,176656000.0,107983000.0,137624000.0,185572000.0,182792000.0,169087000.0,,173536000.0,118377000.0,137624000.0,206176000.0,169087000.0,,173536000.0,107983000.0,185572000.0,169087000.0,,176656000.0,143378000.0,169087000.0,176656000.0,169087000.0,169087000.0,169087000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,8875000.0,8755000.0,9707000.0,11126000.0,8565000.0,7678000.0,5613000.0,4211000.0,5410000.0,5657000.0,6849000.0,9311000.0,16749000.0,19858000.0,,,,8755000.0,11126000.0,7678000.0,4211000.0,5657000.0,9311000.0,19858000.0,,8755000.0,8565000.0,4211000.0,6849000.0,19858000.0,,8755000.0,7678000.0,5657000.0,19858000.0,,11126000.0,5410000.0,19858000.0,11126000.0,19858000.0,19858000.0,19858000.0,CommonMetricExtracted
Goodwill,,,,,,158582000.0,211856000.0,243049000.0,150456000.0,55451000.0,56118000.0,56118000.0,56118000.0,62283000.0,82544000.0,80677000.0,117833000.0,121141000.0,121141000.0,125056000.0,,,158582000.0,243049000.0,55451000.0,56118000.0,62283000.0,80677000.0,121141000.0,125056000.0,,243049000.0,56118000.0,62283000.0,117833000.0,125056000.0,,243049000.0,56118000.0,80677000.0,125056000.0,,55451000.0,82544000.0,125056000.0,55451000.0,125056000.0,125056000.0,125056000.0,CommonMetricExtracted
