,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,1126977000.0,971191000.0,1170026000.0,1318641000.0,1377260000.0,1417000000.0,1733808000.0,3679600000.0,4284200000.0,,,,,,,971191000.0,1318641000.0,1417000000.0,3679600000.0,,,,1126977000.0,1318641000.0,1733808000.0,,,,971191000.0,1417000000.0,,,,1377260000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,601000.0,11829000.0,38272000.0,5093000.0,777000.0,6014000.0,30200000.0,37300000.0,216100000.0,29000000.0,,,,,,601000.0,38272000.0,777000.0,30200000.0,216100000.0,,,,11829000.0,777000.0,37300000.0,,,,38272000.0,30200000.0,,,601000.0,6014000.0,,601000.0,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,243736000.0,248220000.0,254990000.0,283529000.0,323270000.0,382676000.0,382389000.0,417523000.0,464599000.0,539933000.0,743700000.0,773900000.0,,,,,243736000.0,254990000.0,323270000.0,382389000.0,464599000.0,743700000.0,,,243736000.0,283529000.0,382389000.0,539933000.0,,,243736000.0,323270000.0,464599000.0,,,254990000.0,417523000.0,,254990000.0,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,136959000.0,127927000.0,174840000.0,135722000.0,107454000.0,185189000.0,223202000.0,263160000.0,241000000.0,454545000.0,471300000.0,761200000.0,,,,,136959000.0,174840000.0,107454000.0,223202000.0,241000000.0,471300000.0,,,136959000.0,135722000.0,223202000.0,454545000.0,,,136959000.0,107454000.0,241000000.0,,,174840000.0,263160000.0,,174840000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,57900000.0,213800000.0,233700000.0,,,,,,,,,,213800000.0,,,,,,57900000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,40310000.0,36475000.0,37861000.0,36982000.0,2088000.0,31006000.0,41623000.0,65530000.0,53400000.0,86230000.0,76400000.0,137300000.0,,,,,40310000.0,37861000.0,2088000.0,41623000.0,53400000.0,76400000.0,,,40310000.0,36982000.0,41623000.0,86230000.0,,,40310000.0,2088000.0,53400000.0,,,37861000.0,65530000.0,,37861000.0,,,CommonMetricExtracted
NetIncome,,,,,,,,,93644000.0,90981000.0,136214000.0,91832000.0,75027000.0,121479000.0,149039000.0,170095000.0,151900000.0,319700000.0,206500000.0,413100000.0,,,,,93644000.0,136214000.0,75027000.0,149039000.0,151900000.0,206500000.0,,,93644000.0,91832000.0,149039000.0,319700000.0,,,93644000.0,75027000.0,151900000.0,,,136214000.0,170095000.0,,136214000.0,,,CommonMetricExtracted
Cash,,,,,,,,92401000.0,114596000.0,139815000.0,210148000.0,207867000.0,267910000.0,237744000.0,359671000.0,278766000.0,326113000.0,494324000.0,576200000.0,533900000.0,,,,92401000.0,139815000.0,207867000.0,237744000.0,278766000.0,494324000.0,533900000.0,,92401000.0,210148000.0,237744000.0,326113000.0,533900000.0,,92401000.0,207867000.0,278766000.0,533900000.0,,139815000.0,359671000.0,533900000.0,139815000.0,533900000.0,533900000.0,533900000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,79299000.0,61907000.0,66160000.0,111523000.0,135622000.0,144212000.0,6797000.0,19895000.0,185800000.0,741500000.0,739600000.0,,,,,79299000.0,66160000.0,135622000.0,6797000.0,185800000.0,739600000.0,,,61907000.0,135622000.0,19895000.0,739600000.0,,,66160000.0,6797000.0,739600000.0,,79299000.0,144212000.0,739600000.0,79299000.0,739600000.0,739600000.0,739600000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,0.0,66900000.0,67900000.0,,,,,,,,,0.0,67900000.0,,,,,,67900000.0,,,,,67900000.0,,,,67900000.0,,67900000.0,67900000.0,67900000.0,CommonMetricExtracted
Inventory,,,,,,,,,,42750000.0,58463000.0,28491000.0,38238000.0,113294000.0,64956000.0,86278000.0,102494000.0,103100000.0,166500000.0,121500000.0,,,,,42750000.0,28491000.0,113294000.0,86278000.0,103100000.0,121500000.0,,,58463000.0,113294000.0,102494000.0,121500000.0,,,28491000.0,86278000.0,121500000.0,,42750000.0,64956000.0,121500000.0,42750000.0,121500000.0,121500000.0,121500000.0,CommonMetricExtracted
CurrentAssets,,,,,,,,,,394573000.0,430099000.0,377998000.0,508487000.0,603538000.0,679584000.0,556778000.0,762222000.0,963117000.0,1814000000.0,1714800000.0,,,,,394573000.0,377998000.0,603538000.0,556778000.0,963117000.0,1714800000.0,,,430099000.0,603538000.0,762222000.0,1714800000.0,,,377998000.0,556778000.0,1714800000.0,,394573000.0,679584000.0,1714800000.0,394573000.0,1714800000.0,1714800000.0,1714800000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,580701000.0,528591000.0,515030000.0,526581000.0,486599000.0,484482000.0,492127000.0,449087000.0,459137000.0,1200900000.0,1275400000.0,,,,,580701000.0,515030000.0,486599000.0,492127000.0,459137000.0,1275400000.0,,,528591000.0,486599000.0,449087000.0,1275400000.0,,,515030000.0,492127000.0,1275400000.0,,580701000.0,484482000.0,1275400000.0,580701000.0,1275400000.0,1275400000.0,1275400000.0,CommonMetricExtracted
Goodwill,,,,,,,,,83397000.0,82354000.0,91234000.0,97537000.0,670922000.0,671594000.0,672310000.0,840610000.0,947715000.0,948816000.0,4537000000.0,4511800000.0,,,,,82354000.0,97537000.0,671594000.0,840610000.0,948816000.0,4511800000.0,,,91234000.0,671594000.0,947715000.0,4511800000.0,,,97537000.0,840610000.0,4511800000.0,,82354000.0,672310000.0,4511800000.0,82354000.0,4511800000.0,4511800000.0,4511800000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,45504000.0,46973000.0,72304000.0,261094000.0,245622000.0,233380000.0,300948000.0,350516000.0,322700000.0,2914100000.0,2668700000.0,,,,,45504000.0,72304000.0,245622000.0,300948000.0,322700000.0,2668700000.0,,,46973000.0,245622000.0,350516000.0,2668700000.0,,,72304000.0,300948000.0,2668700000.0,,45504000.0,233380000.0,2668700000.0,45504000.0,2668700000.0,2668700000.0,2668700000.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,1121510000.0,1120115000.0,1599533000.0,2017312000.0,2052396000.0,2229430000.0,2351529000.0,3592914000.0,2863727000.0,12037400000.0,11807000000.0,,,,,1121510000.0,1599533000.0,2052396000.0,2351529000.0,2863727000.0,11807000000.0,,,1120115000.0,2052396000.0,3592914000.0,11807000000.0,,,1599533000.0,2351529000.0,11807000000.0,,1121510000.0,2229430000.0,11807000000.0,1121510000.0,11807000000.0,11807000000.0,11807000000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,43348000.0,,16907000.0,13126000.0,18277000.0,10360000.0,3498000.0,4400000.0,14200000.0,4100000.0,,,,,,,13126000.0,10360000.0,4400000.0,4100000.0,,,43348000.0,13126000.0,3498000.0,4100000.0,,,,10360000.0,4100000.0,,,18277000.0,4100000.0,,4100000.0,4100000.0,4100000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,136874000.0,133053000.0,130049000.0,165285000.0,203567000.0,202088000.0,260818000.0,285985000.0,785070000.0,1196800000.0,1186200000.0,,,,,136874000.0,130049000.0,203567000.0,260818000.0,785070000.0,1186200000.0,,,133053000.0,203567000.0,285985000.0,1186200000.0,,,130049000.0,260818000.0,1186200000.0,,136874000.0,202088000.0,1186200000.0,136874000.0,1186200000.0,1186200000.0,1186200000.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,380829000.0,410008000.0,377528000.0,553008000.0,641347000.0,695537000.0,758363000.0,868727000.0,1102753000.0,2146500000.0,2226600000.0,,,,,380829000.0,377528000.0,641347000.0,758363000.0,1102753000.0,2226600000.0,,,410008000.0,641347000.0,868727000.0,2226600000.0,,,377528000.0,758363000.0,2226600000.0,,380829000.0,695537000.0,2226600000.0,380829000.0,2226600000.0,2226600000.0,2226600000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,7436000.0,6735000.0,38088000.0,46773000.0,41980000.0,151238000.0,153000000.0,147260000.0,259190000.0,1441000000.0,1528500000.0,,,,,7436000.0,38088000.0,41980000.0,153000000.0,259190000.0,1528500000.0,,,6735000.0,41980000.0,147260000.0,1528500000.0,,,38088000.0,153000000.0,1528500000.0,,7436000.0,151238000.0,1528500000.0,7436000.0,1528500000.0,1528500000.0,1528500000.0,CommonMetricExtracted
