,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,1221000.0,40940000.0,13155000.0,,47949000.0,33352000.0,38530000.0,42259000.0,,,,,,,1221000.0,13155000.0,47949000.0,38530000.0,,,,,13155000.0,33352000.0,,,,1221000.0,47949000.0,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,7342000.0,59604000.0,2376000.0,1685000.0,8638000.0,8004000.0,2075000.0,38133000.0,23440000.0,-1749000.0,44319000.0,33608000.0,30337000.0,38836000.0,,,,7342000.0,2376000.0,8638000.0,2075000.0,23440000.0,44319000.0,30337000.0,,,2376000.0,8004000.0,23440000.0,33608000.0,,,2376000.0,2075000.0,44319000.0,,,8638000.0,-1749000.0,,8638000.0,,,CommonMetricExtracted
Cash,,,,,10094000.0,627000.0,2455000.0,362000.0,8412000.0,307000.0,446000.0,20638000.0,51322000.0,10389000.0,40165000.0,102018000.0,134606000.0,127834000.0,342570000.0,740020000.0,,,627000.0,362000.0,307000.0,20638000.0,10389000.0,102018000.0,127834000.0,740020000.0,10094000.0,362000.0,446000.0,10389000.0,134606000.0,740020000.0,,362000.0,20638000.0,102018000.0,740020000.0,10094000.0,307000.0,40165000.0,740020000.0,307000.0,740020000.0,740020000.0,740020000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,128432000.0,129194000.0,133599000.0,148235000.0,162843000.0,164210000.0,155518000.0,148919000.0,154763000.0,129585000.0,135062000.0,166357000.0,163707000.0,185821000.0,,,,129194000.0,148235000.0,164210000.0,148919000.0,129585000.0,166357000.0,185821000.0,,129194000.0,162843000.0,148919000.0,135062000.0,185821000.0,,129194000.0,164210000.0,129585000.0,185821000.0,,148235000.0,154763000.0,185821000.0,148235000.0,185821000.0,185821000.0,185821000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,18737000.0,21012000.0,24671000.0,40139000.0,28435000.0,26168000.0,46288000.0,45004000.0,32985000.0,49212000.0,54022000.0,47657000.0,51542000.0,,,,18737000.0,24671000.0,28435000.0,46288000.0,32985000.0,54022000.0,51542000.0,,18737000.0,40139000.0,46288000.0,49212000.0,51542000.0,,18737000.0,28435000.0,32985000.0,51542000.0,,24671000.0,45004000.0,51542000.0,24671000.0,51542000.0,51542000.0,51542000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
