,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,664328000.0,522256000.0,495635000.0,410506000.0,568868000.0,730736000.0,595842000.0,543767000.0,535643000.0,,,,,,,522256000.0,410506000.0,730736000.0,543767000.0,,,,664328000.0,410506000.0,595842000.0,,,,522256000.0,730736000.0,,,,568868000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,444774000.0,368248000.0,361277000.0,310958000.0,377427000.0,451179000.0,415757000.0,410148000.0,421228000.0,,,,,,,368248000.0,310958000.0,451179000.0,410148000.0,,,,444774000.0,310958000.0,415757000.0,,,,368248000.0,451179000.0,,,,377427000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,21822000.0,23517000.0,28691000.0,38363000.0,48706000.0,44550000.0,49864000.0,56146000.0,49232000.0,35111000.0,29775000.0,33332000.0,33259000.0,36114000.0,38788000.0,38755000.0,,,21822000.0,28691000.0,48706000.0,49864000.0,49232000.0,29775000.0,33259000.0,38788000.0,,23517000.0,48706000.0,56146000.0,29775000.0,36114000.0,,21822000.0,48706000.0,49232000.0,33259000.0,,23517000.0,49864000.0,33332000.0,,49864000.0,23517000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,44360000.0,44149000.0,63516000.0,112109000.0,175232000.0,57240000.0,96100000.0,135921000.0,77646000.0,68714000.0,43027000.0,120981000.0,206594000.0,108279000.0,58824000.0,37775000.0,,,44360000.0,63516000.0,175232000.0,96100000.0,77646000.0,43027000.0,206594000.0,58824000.0,,44149000.0,175232000.0,135921000.0,43027000.0,108279000.0,,44360000.0,175232000.0,77646000.0,206594000.0,,44149000.0,96100000.0,120981000.0,,96100000.0,44149000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,256000.0,205000.0,102000.0,,,,,,,,,,205000.0,,,,,,256000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,16857000.0,15894000.0,23501000.0,41480000.0,63960000.0,18612000.0,33974000.0,48449000.0,25504000.0,17781000.0,10736000.0,30583000.0,50695000.0,19947000.0,10609000.0,7212000.0,,,16857000.0,23501000.0,63960000.0,33974000.0,25504000.0,10736000.0,50695000.0,10609000.0,,15894000.0,63960000.0,48449000.0,10736000.0,19947000.0,,16857000.0,63960000.0,25504000.0,50695000.0,,15894000.0,33974000.0,30583000.0,,33974000.0,15894000.0,,CommonMetricExtracted
NetIncome,,,,,27503000.0,28255000.0,40015000.0,70629000.0,111272000.0,38628000.0,62126000.0,87472000.0,52142000.0,50933000.0,32291000.0,90398000.0,155899000.0,88332000.0,48215000.0,30563000.0,,,27503000.0,40015000.0,111272000.0,62126000.0,52142000.0,32291000.0,155899000.0,48215000.0,,28255000.0,111272000.0,87472000.0,32291000.0,88332000.0,,27503000.0,111272000.0,52142000.0,155899000.0,,28255000.0,62126000.0,90398000.0,,62126000.0,28255000.0,,CommonMetricExtracted
Cash,,,,9688000.0,5008000.0,5132000.0,81056000.0,30978000.0,55064000.0,8901000.0,69225000.0,87126000.0,63487000.0,38492000.0,35420000.0,20147000.0,21044000.0,65173000.0,15174000.0,10028000.0,,9688000.0,5132000.0,30978000.0,8901000.0,87126000.0,38492000.0,20147000.0,65173000.0,10028000.0,5008000.0,30978000.0,69225000.0,38492000.0,21044000.0,10028000.0,9688000.0,30978000.0,87126000.0,20147000.0,10028000.0,5008000.0,8901000.0,35420000.0,10028000.0,8901000.0,10028000.0,10028000.0,10028000.0,CommonMetricExtracted
CurrentReceivables,,,,,,31565000.0,42225000.0,43018000.0,67384000.0,49735000.0,71721000.0,69442000.0,60082000.0,,52640000.0,57876000.0,57036000.0,65449000.0,59864000.0,67145000.0,,,31565000.0,43018000.0,49735000.0,69442000.0,,57876000.0,65449000.0,67145000.0,,43018000.0,71721000.0,,57036000.0,67145000.0,,43018000.0,69442000.0,57876000.0,67145000.0,,49735000.0,52640000.0,67145000.0,49735000.0,67145000.0,67145000.0,67145000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,1427000.0,6968000.0,1632000.0,4280000.0,7603000.0,3008000.0,3660000.0,3501000.0,,3467000.0,6266000.0,6832000.0,7091000.0,14062000.0,9245000.0,,,1427000.0,1632000.0,7603000.0,3660000.0,,6266000.0,7091000.0,9245000.0,,1632000.0,3008000.0,,6832000.0,9245000.0,,1632000.0,3660000.0,6266000.0,9245000.0,,7603000.0,3467000.0,9245000.0,7603000.0,9245000.0,9245000.0,9245000.0,CommonMetricExtracted
