,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,561012000.0,546552000.0,583424000.0,619169000.0,660774000.0,705601000.0,775165000.0,794634000.0,816328000.0,797224000.0,818123000.0,1003591000.0,983626000.0,1179245000.0,1697992000.0,1511994000.0,1770384000.0,,,546552000.0,619169000.0,705601000.0,794634000.0,797224000.0,1003591000.0,1179245000.0,1511994000.0,,583424000.0,705601000.0,816328000.0,1003591000.0,1697992000.0,,546552000.0,705601000.0,797224000.0,1179245000.0,,583424000.0,794634000.0,983626000.0,,794634000.0,583424000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,132437000.0,179667000.0,189729000.0,142732000.0,175666000.0,189487000.0,196682000.0,157082000.0,84589000.0,67581000.0,232734000.0,189841000.0,344321000.0,720678000.0,377265000.0,427551000.0,,,132437000.0,189729000.0,175666000.0,196682000.0,84589000.0,232734000.0,344321000.0,377265000.0,,179667000.0,175666000.0,157082000.0,232734000.0,720678000.0,,132437000.0,175666000.0,84589000.0,344321000.0,,179667000.0,196682000.0,189841000.0,,196682000.0,179667000.0,,CommonMetricExtracted
Interest,,,,6704000.0,6050000.0,6050000.0,6050000.0,6050000.0,8095000.0,7438000.0,7426000.0,7426000.0,7426000.0,7437000.0,7588000.0,7603000.0,7677000.0,8047000.0,7301000.0,6331000.0,,,6050000.0,6050000.0,8095000.0,7426000.0,7426000.0,7588000.0,7677000.0,7301000.0,,6050000.0,8095000.0,7426000.0,7588000.0,8047000.0,,6050000.0,8095000.0,7426000.0,7677000.0,,6050000.0,7426000.0,7603000.0,,7426000.0,6050000.0,,CommonMetricExtracted
Taxes,,,,,156126000.0,146778000.0,151924000.0,129191000.0,119112000.0,170801000.0,89935000.0,113756000.0,140337000.0,30182000.0,258687000.0,213310000.0,220466000.0,304509000.0,367384000.0,338359000.0,,,156126000.0,151924000.0,119112000.0,89935000.0,140337000.0,258687000.0,220466000.0,367384000.0,,146778000.0,119112000.0,113756000.0,258687000.0,304509000.0,,156126000.0,119112000.0,140337000.0,220466000.0,,146778000.0,89935000.0,213310000.0,,89935000.0,146778000.0,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,114920000.0,105028000.0,64179000.0,191642000.0,157091000.0,279354000.0,583411000.0,304611000.0,345779000.0,,,,,,,105028000.0,191642000.0,279354000.0,304611000.0,,,,114920000.0,191642000.0,583411000.0,,,,105028000.0,279354000.0,,,,157091000.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,2560360000.0,2837081000.0,3162968000.0,3272301000.0,3676318000.0,4084631000.0,,,,,,,,2837081000.0,3272301000.0,4084631000.0,,,,,3162968000.0,4084631000.0,,,,2837081000.0,4084631000.0,,,2560360000.0,4084631000.0,,4084631000.0,4084631000.0,4084631000.0,CommonMetricExtracted
CurrentReceivables,,,,,100806000.0,122006000.0,,153758000.0,168219000.0,169202000.0,158540000.0,140980000.0,149517000.0,166609000.0,174956000.0,190754000.0,184784000.0,210760000.0,245268000.0,258853000.0,,,122006000.0,153758000.0,169202000.0,140980000.0,166609000.0,190754000.0,210760000.0,258853000.0,100806000.0,153758000.0,158540000.0,166609000.0,184784000.0,258853000.0,,153758000.0,140980000.0,190754000.0,258853000.0,100806000.0,169202000.0,174956000.0,258853000.0,169202000.0,258853000.0,258853000.0,258853000.0,CommonMetricExtracted
