,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,2606572000.0,,3196825000.0,3578127000.0,4222993000.0,4685297000.0,,,,,,,,2606572000.0,3196825000.0,4222993000.0,,,,,2606572000.0,3578127000.0,,,,,3196825000.0,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,864992000.0,1005298000.0,1112501000.0,,1357725000.0,1553816000.0,1867331000.0,2029994000.0,,,,,,,864992000.0,1112501000.0,1357725000.0,1867331000.0,,,,,1112501000.0,1553816000.0,,,,864992000.0,1357725000.0,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,289875000.0,328858000.0,372249000.0,402621000.0,430802000.0,450414000.0,478627000.0,488057000.0,553968000.0,600369000.0,645010000.0,,670387000.0,739372000.0,874003000.0,917136000.0,,,289875000.0,372249000.0,430802000.0,478627000.0,553968000.0,645010000.0,670387000.0,874003000.0,,328858000.0,430802000.0,488057000.0,645010000.0,739372000.0,,289875000.0,430802000.0,553968000.0,670387000.0,,328858000.0,478627000.0,,,478627000.0,328858000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,63056000.0,75202000.0,92007000.0,109733000.0,120124000.0,118226000.0,114865000.0,118651000.0,144467000.0,155149000.0,180651000.0,,225284000.0,253575000.0,287642000.0,307525000.0,,,63056000.0,92007000.0,120124000.0,114865000.0,144467000.0,180651000.0,225284000.0,287642000.0,,75202000.0,120124000.0,118651000.0,180651000.0,253575000.0,,63056000.0,120124000.0,144467000.0,225284000.0,,75202000.0,114865000.0,,,114865000.0,75202000.0,,CommonMetricExtracted
OperatingMargin,,,,,190311000.0,240382000.0,266924000.0,294407000.0,354824000.0,405087000.0,409236000.0,428952000.0,425798000.0,541831000.0,579263000.0,,903678000.0,1000286000.0,1131871000.0,1319893000.0,,,190311000.0,266924000.0,354824000.0,409236000.0,425798000.0,579263000.0,903678000.0,1131871000.0,,240382000.0,354824000.0,428952000.0,579263000.0,1000286000.0,,190311000.0,354824000.0,425798000.0,903678000.0,,240382000.0,409236000.0,,,409236000.0,240382000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,55236000.0,70504000.0,76721000.0,77095000.0,77986000.0,85805000.0,83030000.0,87157000.0,76459000.0,205724000.0,114255000.0,,409157000.0,181046000.0,204108000.0,243847000.0,,,55236000.0,76721000.0,77986000.0,83030000.0,76459000.0,114255000.0,409157000.0,204108000.0,,70504000.0,77986000.0,87157000.0,114255000.0,181046000.0,,55236000.0,77986000.0,76459000.0,409157000.0,,70504000.0,83030000.0,,,83030000.0,70504000.0,,CommonMetricExtracted
NetIncome,,,,,146448000.0,190085000.0,226986000.0,254850000.0,307133000.0,345273000.0,352886000.0,352409000.0,342284000.0,315588000.0,404592000.0,,474505000.0,779437000.0,897556000.0,1020951000.0,,,146448000.0,226986000.0,307133000.0,352886000.0,342284000.0,404592000.0,474505000.0,897556000.0,,190085000.0,307133000.0,352409000.0,404592000.0,779437000.0,,146448000.0,307133000.0,342284000.0,474505000.0,,190085000.0,352886000.0,,,352886000.0,190085000.0,,CommonMetricExtracted
Cash,,,,321078000.0,415650000.0,488776000.0,735267000.0,809541000.0,876048000.0,905730000.0,717249000.0,731434000.0,821935000.0,188701000.0,147128000.0,463156000.0,295278000.0,273710000.0,227891000.0,238361000.0,,321078000.0,488776000.0,809541000.0,905730000.0,731434000.0,188701000.0,463156000.0,273710000.0,238361000.0,415650000.0,809541000.0,717249000.0,188701000.0,295278000.0,238361000.0,321078000.0,809541000.0,731434000.0,463156000.0,238361000.0,415650000.0,905730000.0,147128000.0,238361000.0,905730000.0,238361000.0,238361000.0,238361000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,318349000.0,359593000.0,362568000.0,382086000.0,450530000.0,483681000.0,528484000.0,474643000.0,614292000.0,575950000.0,704909000.0,837275000.0,,,,,359593000.0,382086000.0,483681000.0,474643000.0,575950000.0,837275000.0,,,362568000.0,483681000.0,614292000.0,837275000.0,,,382086000.0,474643000.0,837275000.0,,359593000.0,528484000.0,837275000.0,359593000.0,837275000.0,837275000.0,837275000.0,CommonMetricExtracted
