,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,783238000.0,785679000.0,910739000.0,1301674000.0,1563548000.0,1823889000.0,,,,,,,,783238000.0,910739000.0,1563548000.0,,,,,783238000.0,1301674000.0,,,,,910739000.0,,,,785679000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,477241000.0,580560000.0,665285000.0,663467000.0,790803000.0,1162372000.0,1367163000.0,1565635000.0,,,,,,,477241000.0,665285000.0,790803000.0,1367163000.0,,,,,665285000.0,1162372000.0,,,,477241000.0,790803000.0,,,,663467000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,46585000.0,61428000.0,57138000.0,55231000.0,30101000.0,35413000.0,81875000.0,111240000.0,,,,,,,46585000.0,57138000.0,30101000.0,81875000.0,,,,,57138000.0,35413000.0,,,,46585000.0,30101000.0,,,,55231000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,43121000.0,40297000.0,20154000.0,39019000.0,50075000.0,57743000.0,,,,,,,,43121000.0,20154000.0,50075000.0,,,,,43121000.0,39019000.0,,,,,20154000.0,,,,40297000.0,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,26040000.0,50791000.0,43121000.0,40297000.0,20177000.0,21376000.0,49001000.0,68935000.0,,,,,,,26040000.0,43121000.0,20177000.0,49001000.0,,,,,43121000.0,21376000.0,,,,26040000.0,20177000.0,,,,40297000.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,27547000.0,99137000.0,80619000.0,148316000.0,57251000.0,35531000.0,48243000.0,74686000.0,,,,,,,99137000.0,148316000.0,35531000.0,74686000.0,,,,99137000.0,57251000.0,74686000.0,,,,148316000.0,74686000.0,,,80619000.0,74686000.0,,74686000.0,74686000.0,74686000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
