,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,398649000.0,512763000.0,742506000.0,1128921000.0,1778388000.0,2764584000.0,3126534000.0,3484619000.0,4112898000.0,,,,,,,512763000.0,1128921000.0,2764584000.0,3484619000.0,,,,398649000.0,1128921000.0,3126534000.0,,,,512763000.0,2764584000.0,,,,1778388000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,230079000.0,277604000.0,312930000.0,410358000.0,633697000.0,970169000.0,1355984000.0,1685412000.0,1962004000.0,2307253000.0,,,,,,230079000.0,312930000.0,633697000.0,1355984000.0,1962004000.0,,,,277604000.0,633697000.0,1685412000.0,,,,312930000.0,1355984000.0,,,230079000.0,970169000.0,,230079000.0,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,45153000.0,52888000.0,64069000.0,102780000.0,178855000.0,299457000.0,455601000.0,838419000.0,1033359000.0,932712000.0,,,,,,45153000.0,64069000.0,178855000.0,455601000.0,1033359000.0,,,,52888000.0,178855000.0,838419000.0,,,,64069000.0,455601000.0,,,45153000.0,299457000.0,,45153000.0,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,50469000.0,76177000.0,107945000.0,170692000.0,265011000.0,355784000.0,461602000.0,788913000.0,878474000.0,720145000.0,,,,,,50469000.0,107945000.0,265011000.0,461602000.0,878474000.0,,,,76177000.0,265011000.0,788913000.0,,,,107945000.0,461602000.0,,,50469000.0,355784000.0,,50469000.0,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,-448000.0,-220000.0,705000.0,4309000.0,6506000.0,5233000.0,4467000.0,43766000.0,93677000.0,98620000.0,,,,,,-448000.0,705000.0,6506000.0,4467000.0,93677000.0,,,,-220000.0,6506000.0,43766000.0,,,,705000.0,4467000.0,,,-448000.0,5233000.0,,-448000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,5161000.0,730000.0,411000.0,,,,,,,,,,730000.0,,,,,,5161000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,147000.0,211000.0,315000.0,-476000.0,-982000.0,-945000.0,-5798000.0,5722000.0,10131000.0,9428000.0,,,,,,147000.0,315000.0,-982000.0,-5798000.0,10131000.0,,,,211000.0,-982000.0,5722000.0,,,,315000.0,-5798000.0,,,147000.0,-945000.0,,147000.0,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,-40611000.0,-42758000.0,-63509000.0,-8857000.0,-59937000.0,-17507000.0,242385000.0,-498005000.0,-709561000.0,-129386000.0,,,,,,-40611000.0,-63509000.0,-59937000.0,242385000.0,-709561000.0,,,,-42758000.0,-59937000.0,-498005000.0,,,,-63509000.0,242385000.0,,,-40611000.0,-17507000.0,,-40611000.0,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,177250000.0,,,1092815000.0,2146043000.0,1961956000.0,2025891000.0,2160236000.0,,,,,,,,1092815000.0,1961956000.0,2160236000.0,,,,,2146043000.0,2160236000.0,,,,1092815000.0,2160236000.0,,,,2160236000.0,,2160236000.0,2160236000.0,2160236000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,79473000.0,120553000.0,,,523852000.0,752393000.0,760793000.0,816337000.0,812510000.0,,,,,,79473000.0,,523852000.0,760793000.0,812510000.0,,,,,752393000.0,812510000.0,,,79473000.0,523852000.0,812510000.0,,,,812510000.0,,812510000.0,812510000.0,812510000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,4981000.0,11367000.0,,,27078000.0,105795000.0,135383000.0,138585000.0,103146000.0,,,,,,4981000.0,,27078000.0,135383000.0,103146000.0,,,,,105795000.0,103146000.0,,,4981000.0,27078000.0,103146000.0,,,,103146000.0,,103146000.0,103146000.0,103146000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,43568000.0,32740000.0,,,53895000.0,50276000.0,106747000.0,92129000.0,158271000.0,,,,,,43568000.0,,53895000.0,106747000.0,158271000.0,,,,,50276000.0,158271000.0,,,43568000.0,53895000.0,158271000.0,,,,158271000.0,,158271000.0,158271000.0,158271000.0,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,165220000.0,344917000.0,,,1697640000.0,3054507000.0,2964879000.0,3072942000.0,3234163000.0,,,,,,165220000.0,,1697640000.0,2964879000.0,3234163000.0,,,,,3054507000.0,3234163000.0,,,165220000.0,1697640000.0,3234163000.0,,,,3234163000.0,,3234163000.0,3234163000.0,3234163000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,9528000.0,14736000.0,,,155197000.0,177567000.0,335031000.0,264556000.0,213690000.0,,,,,,9528000.0,,155197000.0,335031000.0,213690000.0,,,,,177567000.0,213690000.0,,,9528000.0,155197000.0,213690000.0,,,,213690000.0,,213690000.0,213690000.0,213690000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,1382000.0,,,73058000.0,161519000.0,161519000.0,161519000.0,161519000.0,,,,,,,,73058000.0,161519000.0,161519000.0,,,,,161519000.0,161519000.0,,,,73058000.0,161519000.0,,,,161519000.0,,161519000.0,161519000.0,161519000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,2030000.0,,,62181000.0,84126000.0,58881000.0,41753000.0,27501000.0,,,,,,,,62181000.0,58881000.0,27501000.0,,,,,84126000.0,27501000.0,,,,62181000.0,27501000.0,,,,27501000.0,,27501000.0,27501000.0,27501000.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,179078000.0,371897000.0,,,2270542000.0,4082145000.0,4412601000.0,4261792000.0,4303933000.0,,,,,,179078000.0,,2270542000.0,4412601000.0,4303933000.0,,,,,4082145000.0,4303933000.0,,,179078000.0,2270542000.0,4303933000.0,,,,4303933000.0,,4303933000.0,4303933000.0,4303933000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,77553000.0,128757000.0,,,459982000.0,673976000.0,915610000.0,1173370000.0,1126784000.0,,,,,,77553000.0,,459982000.0,915610000.0,1126784000.0,,,,,673976000.0,1126784000.0,,,77553000.0,459982000.0,1126784000.0,,,,1126784000.0,,1126784000.0,1126784000.0,1126784000.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,162661000.0,235602000.0,,,923454000.0,1324434000.0,1921761000.0,2165724000.0,2191019000.0,,,,,,162661000.0,,923454000.0,1921761000.0,2191019000.0,,,,,1324434000.0,2191019000.0,,,162661000.0,923454000.0,2191019000.0,,,,2191019000.0,,2191019000.0,2191019000.0,2191019000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,4143000.0,7849000.0,,,332338000.0,505935000.0,682772000.0,659932000.0,578694000.0,,,,,,4143000.0,,332338000.0,682772000.0,578694000.0,,,,,505935000.0,578694000.0,,,4143000.0,332338000.0,578694000.0,,,,578694000.0,,578694000.0,578694000.0,578694000.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,159722000.0,219618000.0,,,942527000.0,1315539000.0,1766045000.0,1935459000.0,1811196000.0,,,,,,159722000.0,,942527000.0,1766045000.0,1811196000.0,,,,,1315539000.0,1811196000.0,,,159722000.0,942527000.0,1811196000.0,,,,1811196000.0,,1811196000.0,1811196000.0,1811196000.0,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,-125255000.0,-159736000.0,-193824000.0,152279000.0,,,1328015000.0,2766606000.0,2646556000.0,2326333000.0,2492737000.0,,,,,-125255000.0,-193824000.0,,1328015000.0,2646556000.0,2492737000.0,,,-159736000.0,,2766606000.0,2492737000.0,,,-193824000.0,1328015000.0,2492737000.0,,-125255000.0,,2492737000.0,-125255000.0,2492737000.0,2492737000.0,2492737000.0,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,-32463000.0,37292000.0,13922000.0,13707000.0,148192000.0,228081000.0,11795000.0,255856000.0,218045000.0,,,,,,,37292000.0,13707000.0,228081000.0,255856000.0,,,,-32463000.0,13707000.0,11795000.0,,,,37292000.0,228081000.0,,,,148192000.0,,,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,5019000.0,8596000.0,9229000.0,18327000.0,77180000.0,82382000.0,40041000.0,161696000.0,82619000.0,5061000.0,,,,,,5019000.0,9229000.0,77180000.0,40041000.0,82619000.0,,,,8596000.0,77180000.0,161696000.0,,,,9229000.0,40041000.0,,,5019000.0,82382000.0,,5019000.0,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,,,,,,-8567000.0,-12268000.0,-60133000.0,-110295000.0,-81324000.0,-176819000.0,-201696000.0,-92619000.0,-25061000.0,,,,,,,-12268000.0,-110295000.0,-176819000.0,-92619000.0,,,,-8567000.0,-110295000.0,-201696000.0,,,,-12268000.0,-176819000.0,,,,-81324000.0,,,,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,,,,,,,,-156000.0,117664000.0,24525000.0,458328000.0,509048000.0,1003147000.0,8357000.0,-61243000.0,-89203000.0,,,,,,,117664000.0,458328000.0,1003147000.0,-61243000.0,,,,-156000.0,458328000.0,8357000.0,,,,117664000.0,1003147000.0,,,,509048000.0,,,,,CommonMetricExtracted
