,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,866323.0,10081137.0,,,,,,,,1454325.0,1681040.0,1822444.0,630664.0,,,,,10081137.0,,,,1454325.0,1822444.0,,,10081137.0,,,1681040.0,,,10081137.0,,1454325.0,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,132108.0,827084.0,1411752.0,5241862.0,,,,,,,,,,2923937.0,3286232.0,,,,827084.0,5241862.0,,,,,2923937.0,,132108.0,5241862.0,,,,,,5241862.0,,,,132108.0,,,,,132108.0,,CommonMetricExtracted
OperatingMargin,,,,,,-402844.0,-438323.0,-523179.0,-518830.0,,,,,,,,-984633.0,-921525.0,-927931.0,-988771.0,,,,-438323.0,-518830.0,,,,-984633.0,-927931.0,,-402844.0,-518830.0,,,-921525.0,,,-518830.0,,-984633.0,,-402844.0,,,,,-402844.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,1016548.0,988771.0,,,,,,,,,,1016548.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,-983886.0,-2236476.0,-1489190.0,-7434348.0,-19474074.0,-35450446.0,,,,,,,,,,-16719578.0,-8927520.0,,,-2236476.0,-7434348.0,-35450446.0,,,,,-16719578.0,,-1489190.0,-35450446.0,,,,,-2236476.0,-35450446.0,,,,-1489190.0,,,,,-1489190.0,,CommonMetricExtracted
Cash,,,,,44710.0,1574448.0,186159.0,7371036.0,1752461.0,1652392.0,16646.0,52719.0,21000.0,,430076.0,273176.0,553131.0,6005667.0,6256634.0,3011493.0,,,1574448.0,7371036.0,1652392.0,52719.0,,273176.0,6005667.0,3011493.0,44710.0,7371036.0,16646.0,,553131.0,3011493.0,,7371036.0,52719.0,273176.0,3011493.0,44710.0,1652392.0,430076.0,3011493.0,1652392.0,3011493.0,3011493.0,3011493.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,22941.0,1765.0,20500.0,220908.0,591929.0,72918.0,,,,,162840.0,108131.0,17758.0,18322.0,50000.0,,,22941.0,20500.0,591929.0,,,162840.0,17758.0,50000.0,,20500.0,72918.0,,108131.0,50000.0,,20500.0,,162840.0,50000.0,,591929.0,,50000.0,591929.0,50000.0,50000.0,50000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,1597389.0,190424.0,7466589.0,1978694.0,2251928.0,123995.0,52719.0,,,430417.0,436357.0,661603.0,6023766.0,6275297.0,3061834.0,,,1597389.0,7466589.0,2251928.0,52719.0,,436357.0,6023766.0,3061834.0,,7466589.0,123995.0,,661603.0,3061834.0,,7466589.0,52719.0,436357.0,3061834.0,,2251928.0,430417.0,3061834.0,2251928.0,3061834.0,3061834.0,3061834.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
