,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,3598484000.0,3866956000.0,3974988000.0,1334100000.0,1688875000.0,2537015000.0,2907738000.0,3029565000.0,,,,,,,3598484000.0,3974988000.0,1688875000.0,2907738000.0,,,,,3974988000.0,2537015000.0,,,,3598484000.0,1688875000.0,,,,1334100000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,1575186000.0,1705163000.0,1742478000.0,1944050000.0,2287662000.0,2513857000.0,2791414000.0,3035003000.0,579010000.0,691451000.0,1040819000.0,1189606000.0,1254739000.0,,,,,1705163000.0,1944050000.0,2513857000.0,3035003000.0,691451000.0,1189606000.0,,,1705163000.0,2287662000.0,3035003000.0,1040819000.0,,,1705163000.0,2513857000.0,691451000.0,,,1944050000.0,579010000.0,,1944050000.0,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,793294000.0,437453000.0,468152000.0,557077000.0,626153000.0,510075000.0,551923000.0,600210000.0,586406000.0,610078000.0,661159000.0,634393000.0,622670000.0,,,,,437453000.0,557077000.0,510075000.0,600210000.0,610078000.0,634393000.0,,,437453000.0,626153000.0,600210000.0,661159000.0,,,437453000.0,510075000.0,610078000.0,,,557077000.0,586406000.0,,557077000.0,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,-6586000.0,380930000.0,421345000.0,459769000.0,459572000.0,493440000.0,562016000.0,363417000.0,-988039000.0,-665487000.0,-261060000.0,47143000.0,286158000.0,,,,,380930000.0,459769000.0,493440000.0,363417000.0,-665487000.0,47143000.0,,,380930000.0,459572000.0,363417000.0,-261060000.0,,,380930000.0,493440000.0,-665487000.0,,,459769000.0,-988039000.0,,459769000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,-394410000.0,-149697000.0,-38918000.0,314408000.0,5549000.0,-1932000.0,1739000.0,-1766000.0,2788000.0,-2532000.0,-679000.0,308000.0,0.0,,,,,-149697000.0,314408000.0,-1932000.0,-1766000.0,-2532000.0,308000.0,,,-149697000.0,5549000.0,-1766000.0,-679000.0,,,-149697000.0,-1932000.0,-2532000.0,,,314408000.0,2788000.0,,314408000.0,,,CommonMetricExtracted
NetIncome,,,,,,,,1519000.0,2863000.0,2732000.0,3481000.0,4377000.0,5113000.0,5129000.0,3954000.0,1200000.0,2162000.0,2670000.0,-332000.0,76000.0,,,,,2863000.0,3481000.0,5113000.0,3954000.0,2162000.0,-332000.0,,,2863000.0,4377000.0,3954000.0,2670000.0,,,2863000.0,5113000.0,2162000.0,,,3481000.0,1200000.0,,3481000.0,,,CommonMetricExtracted
Cash,,,,,,,58350000.0,126695000.0,308236000.0,155679000.0,321132000.0,364114000.0,361381000.0,509265000.0,436176000.0,1499665000.0,978352000.0,794888000.0,648207000.0,724479000.0,,,,126695000.0,155679000.0,364114000.0,509265000.0,1499665000.0,794888000.0,724479000.0,,126695000.0,321132000.0,509265000.0,978352000.0,724479000.0,,126695000.0,364114000.0,1499665000.0,724479000.0,,155679000.0,436176000.0,724479000.0,155679000.0,724479000.0,724479000.0,724479000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,400912000.0,362911000.0,375789000.0,400667000.0,490558000.0,508122000.0,546533000.0,255468000.0,259934000.0,353587000.0,343436000.0,339978000.0,,,,,362911000.0,400667000.0,508122000.0,255468000.0,353587000.0,339978000.0,,,375789000.0,508122000.0,259934000.0,339978000.0,,,400667000.0,255468000.0,339978000.0,,362911000.0,546533000.0,339978000.0,362911000.0,339978000.0,339978000.0,339978000.0,CommonMetricExtracted
