,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,911000.0,673000.0,253000.0,687000.0,,,,,,,,,911000.0,253000.0,,,,,,673000.0,,,,,911000.0,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,-1391000.0,-480000.0,228000.0,-65000.0,,,,,,,,,-1391000.0,228000.0,,,,,,-480000.0,,,,,-1391000.0,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,-286000.0,263000.0,340000.0,,,,,,,,,,263000.0,,,,,,-286000.0,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,11000.0,744000.0,472000.0,2000.0,411000.0,866000.0,810000.0,176000.0,96000.0,,,,,,11000.0,472000.0,411000.0,810000.0,96000.0,,,,472000.0,866000.0,96000.0,,,11000.0,411000.0,96000.0,,,2000.0,96000.0,,96000.0,96000.0,96000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,85000.0,313000.0,24000.0,,,,,,,,,85000.0,24000.0,,,,,,24000.0,,,,,24000.0,,,,24000.0,,24000.0,24000.0,24000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,1349000.0,1904000.0,2000.0,418000.0,963000.0,901000.0,1137000.0,131000.0,,,,,,,1904000.0,418000.0,901000.0,131000.0,,,,1904000.0,963000.0,131000.0,,,,418000.0,131000.0,,,2000.0,131000.0,,131000.0,131000.0,131000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,14000.0,1174000.0,,0.0,6000.0,219000.0,256000.0,427000.0,,,,,,,1174000.0,0.0,219000.0,427000.0,,,,1174000.0,6000.0,427000.0,,,,0.0,427000.0,,,,427000.0,,427000.0,427000.0,427000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,1363000.0,3134000.0,2000.0,418000.0,1015000.0,1150000.0,1408000.0,558000.0,,,,,,,3134000.0,418000.0,1150000.0,558000.0,,,,3134000.0,1015000.0,558000.0,,,,418000.0,558000.0,,,2000.0,558000.0,,558000.0,558000.0,558000.0,CommonMetricExtracted
