,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,9774600000.0,10707400000.0,11700400000.0,13299500000.0,14892200000.0,,,21315900000.0,22386800000.0,24719500000.0,26508600000.0,23518000000.0,29060600000.0,32250300000.0,35975600000.0,36176200000.0,,,9774600000.0,11700400000.0,14892200000.0,,22386800000.0,26508600000.0,29060600000.0,35975600000.0,,10707400000.0,14892200000.0,21315900000.0,26508600000.0,32250300000.0,,9774600000.0,14892200000.0,22386800000.0,29060600000.0,,10707400000.0,,23518000000.0,,,10707400000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,7930700000.0,8526900000.0,7694900000.0,8738700000.0,10317400000.0,11409100000.0,11180600000.0,,,,,,,,8526900000.0,8738700000.0,11409100000.0,,,,,8526900000.0,10317400000.0,,,,,8738700000.0,,,,7694900000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,562000000.0,1419400000.0,1728500000.0,1997400000.0,-325400000.0,3081100000.0,3601000000.0,4171900000.0,4134700000.0,3883300000.0,4077900000.0,1561700000.0,4872100000.0,4617800000.0,5870800000.0,5408800000.0,,,562000000.0,1728500000.0,-325400000.0,3601000000.0,4134700000.0,4077900000.0,4872100000.0,5870800000.0,,1419400000.0,-325400000.0,4171900000.0,4077900000.0,4617800000.0,,562000000.0,-325400000.0,4134700000.0,4872100000.0,,1419400000.0,3601000000.0,1561700000.0,,3601000000.0,1419400000.0,,CommonMetricExtracted
Interest,,,,,39100000.0,32700000.0,33300000.0,32700000.0,28100000.0,64100000.0,70500000.0,81300000.0,92500000.0,170300000.0,331000000.0,437000000.0,469800000.0,482900000.0,550100000.0,562000000.0,,,39100000.0,33300000.0,28100000.0,70500000.0,92500000.0,331000000.0,469800000.0,550100000.0,,32700000.0,28100000.0,81300000.0,331000000.0,482900000.0,,39100000.0,28100000.0,92500000.0,469800000.0,,32700000.0,70500000.0,437000000.0,,70500000.0,32700000.0,,CommonMetricExtracted
Taxes,,,,,168400000.0,488700000.0,563100000.0,674400000.0,-238700000.0,1092000000.0,1143700000.0,1379700000.0,1432600000.0,1262000000.0,871600000.0,239700000.0,1156600000.0,948500000.0,1277200000.0,1207300000.0,,,168400000.0,563100000.0,-238700000.0,1143700000.0,1432600000.0,871600000.0,1156600000.0,1277200000.0,,488700000.0,-238700000.0,1379700000.0,871600000.0,948500000.0,,168400000.0,-238700000.0,1432600000.0,1156600000.0,,488700000.0,1143700000.0,239700000.0,,1143700000.0,488700000.0,,CommonMetricExtracted
NetIncome,,,,,391500000.0,948300000.0,1248000000.0,1384700000.0,8800000.0,2067700000.0,2759300000.0,2818900000.0,2884900000.0,4518000000.0,3594600000.0,924700000.0,4200300000.0,3283400000.0,4124700000.0,3762300000.0,,,391500000.0,1248000000.0,8800000.0,2759300000.0,2884900000.0,3594600000.0,4200300000.0,4124700000.0,,948300000.0,8800000.0,2818900000.0,3594600000.0,3283400000.0,,391500000.0,8800000.0,2884900000.0,4200300000.0,,948300000.0,2759300000.0,924700000.0,,2759300000.0,948300000.0,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,2686600000.0,4350900000.0,6455700000.0,2818400000.0,3551500000.0,3286200000.0,,,,,,,,4350900000.0,2818400000.0,3286200000.0,,,,,6455700000.0,3286200000.0,,,,4350900000.0,3286200000.0,,,2686600000.0,3286200000.0,,3286200000.0,3286200000.0,3286200000.0,CommonMetricExtracted
CurrentReceivables,,,,,,302700000.0,386500000.0,485900000.0,561400000.0,631000000.0,719000000.0,768800000.0,870400000.0,693100000.0,879200000.0,883400000.0,940000000.0,1175500000.0,1184100000.0,1213800000.0,,,302700000.0,485900000.0,631000000.0,768800000.0,693100000.0,883400000.0,1175500000.0,1213800000.0,,485900000.0,719000000.0,693100000.0,940000000.0,1213800000.0,,485900000.0,768800000.0,883400000.0,1213800000.0,,631000000.0,879200000.0,1213800000.0,631000000.0,1213800000.0,1213800000.0,1213800000.0,CommonMetricExtracted
