,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,6654500000.0,7096700000.0,7285600000.0,7984900000.0,10934100000.0,10047900000.0,9895800000.0,11433400000.0,,,,,,,6654500000.0,7285600000.0,10934100000.0,9895800000.0,,,,,7285600000.0,10047900000.0,,,,6654500000.0,10934100000.0,,,,7984900000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,2182206000.0,1823673000.0,2099438000.0,2763152000.0,2769233000.0,2871300000.0,2840503000.0,2927600000.0,3034100000.0,3252800000.0,3409000000.0,3606400000.0,3929800000.0,3894400000.0,4649100000.0,4687700000.0,4841400000.0,,,1823673000.0,2763152000.0,2871300000.0,2927600000.0,3252800000.0,3606400000.0,3894400000.0,4687700000.0,,2099438000.0,2871300000.0,3034100000.0,3606400000.0,4649100000.0,,1823673000.0,2871300000.0,3252800000.0,3894400000.0,,2099438000.0,2927600000.0,3929800000.0,,2927600000.0,2099438000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,102432000.0,78291000.0,88305000.0,104473000.0,101297000.0,102579000.0,103412000.0,99400000.0,94300000.0,93100000.0,102600000.0,131800000.0,126200000.0,125200000.0,125000000.0,127200000.0,130500000.0,,,78291000.0,104473000.0,102579000.0,99400000.0,93100000.0,131800000.0,125200000.0,127200000.0,,88305000.0,102579000.0,94300000.0,131800000.0,125000000.0,,78291000.0,102579000.0,93100000.0,125200000.0,,88305000.0,99400000.0,126200000.0,,99400000.0,88305000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,2201890000.0,1485148000.0,2604204000.0,3625423000.0,3108883000.0,2532112000.0,2232840000.0,1414400000.0,1564200000.0,2618900000.0,2881200000.0,2753000000.0,3120700000.0,6065100000.0,4435800000.0,4192300000.0,5554700000.0,,,1485148000.0,3625423000.0,2532112000.0,1414400000.0,2618900000.0,2753000000.0,6065100000.0,4192300000.0,,2604204000.0,2532112000.0,1564200000.0,2753000000.0,4435800000.0,,1485148000.0,2532112000.0,2618900000.0,6065100000.0,,2604204000.0,1414400000.0,3120700000.0,,1414400000.0,2604204000.0,,CommonMetricExtracted
Interest,,,,105928000.0,99793000.0,167949000.0,192340000.0,201785000.0,265551000.0,265300000.0,334000000.0,360300000.0,357400000.0,360900000.0,372900000.0,393400000.0,387900000.0,387100000.0,376300000.0,376500000.0,,,99793000.0,192340000.0,265551000.0,334000000.0,357400000.0,372900000.0,387900000.0,376300000.0,,167949000.0,265551000.0,360300000.0,372900000.0,387100000.0,,99793000.0,265551000.0,357400000.0,387900000.0,,167949000.0,334000000.0,393400000.0,,334000000.0,167949000.0,,CommonMetricExtracted
Taxes,,,,,,,,,,,620300000.0,623600000.0,951700000.0,1105000000.0,966300000.0,1237900000.0,2425500000.0,1477500000.0,1578000000.0,2027400000.0,,,,,,620300000.0,951700000.0,966300000.0,2425500000.0,1578000000.0,,,,623600000.0,966300000.0,1477500000.0,,,,951700000.0,2425500000.0,,,620300000.0,1237900000.0,,620300000.0,,,CommonMetricExtracted
NetIncome,,,,1414459000.0,934573000.0,1562709000.0,2344353000.0,1941372000.0,1624200000.0,1337938000.0,741100000.0,778800000.0,732400000.0,1548200000.0,1491900000.0,1577800000.0,3411200000.0,2648000000.0,2434700000.0,3388600000.0,,,934573000.0,2344353000.0,1624200000.0,741100000.0,732400000.0,1491900000.0,3411200000.0,2434700000.0,,1562709000.0,1624200000.0,778800000.0,1491900000.0,2648000000.0,,934573000.0,1624200000.0,732400000.0,3411200000.0,,1562709000.0,741100000.0,1577800000.0,,741100000.0,1562709000.0,,CommonMetricExtracted
Cash,,,1409272000.0,716740000.0,772306000.0,2192677000.0,,2459500000.0,1672700000.0,364000000.0,274500000.0,546000000.0,1004800000.0,844600000.0,,2183600000.0,3002000000.0,2069700000.0,1151500000.0,3258100000.0,,716740000.0,2192677000.0,2459500000.0,364000000.0,546000000.0,844600000.0,2183600000.0,2069700000.0,3258100000.0,772306000.0,2459500000.0,274500000.0,844600000.0,3002000000.0,3258100000.0,716740000.0,2459500000.0,546000000.0,2183600000.0,3258100000.0,772306000.0,364000000.0,,3258100000.0,364000000.0,3258100000.0,3258100000.0,3258100000.0,CommonMetricExtracted
CurrentReceivables,,,,,435588000.0,748029000.0,,,,621900000.0,551200000.0,668500000.0,976400000.0,972600000.0,,1136600000.0,1446600000.0,1473800000.0,1228300000.0,1243800000.0,,,748029000.0,,621900000.0,668500000.0,972600000.0,1136600000.0,1473800000.0,1243800000.0,435588000.0,,551200000.0,972600000.0,1446600000.0,1243800000.0,,,668500000.0,1136600000.0,1243800000.0,435588000.0,621900000.0,,1243800000.0,621900000.0,1243800000.0,1243800000.0,1243800000.0,CommonMetricExtracted
