,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,3568186000.0,3846260000.0,3873111000.0,3047734000.0,3150806000.0,3529935000.0,3787721000.0,3259809000.0,,,,,,,3568186000.0,3873111000.0,3150806000.0,3787721000.0,,,,,3873111000.0,3529935000.0,,,,3568186000.0,3150806000.0,,,,3047734000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,3184786000.0,3184590000.0,3410135000.0,3420539000.0,2692165000.0,2800090000.0,3103411000.0,3338482000.0,2860757000.0,,,,,,,3184590000.0,3420539000.0,2800090000.0,3338482000.0,,,,3184786000.0,3420539000.0,3103411000.0,,,,3184590000.0,2800090000.0,,,,2692165000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,134730000.0,143151000.0,161326000.0,188388000.0,191216000.0,192492000.0,222982000.0,257269000.0,265178000.0,297475000.0,314521000.0,260139000.0,247438000.0,275442000.0,285695000.0,277428000.0,,,134730000.0,161326000.0,191216000.0,222982000.0,265178000.0,314521000.0,247438000.0,285695000.0,,143151000.0,191216000.0,257269000.0,314521000.0,275442000.0,,134730000.0,191216000.0,265178000.0,247438000.0,,143151000.0,222982000.0,260139000.0,,222982000.0,143151000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,-71776000.0,57535000.0,118623000.0,121850000.0,99841000.0,,,,,,,,,57535000.0,121850000.0,,,,,,118623000.0,,,,,57535000.0,,,,-71776000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,6523000.0,19786000.0,13031000.0,,,,,,,,,,19786000.0,,,,,,6523000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,27966000.0,26929000.0,38363000.0,36923000.0,18364000.0,41318000.0,34487000.0,32391000.0,32249000.0,27772000.0,20311000.0,7451000.0,12146000.0,29925000.0,33758000.0,22781000.0,,,27966000.0,38363000.0,18364000.0,34487000.0,32249000.0,20311000.0,12146000.0,33758000.0,,26929000.0,18364000.0,32391000.0,20311000.0,29925000.0,,27966000.0,18364000.0,32249000.0,12146000.0,,26929000.0,34487000.0,7451000.0,,34487000.0,26929000.0,,CommonMetricExtracted
NetIncome,,,,,47688000.0,48812000.0,73523000.0,74288000.0,34662000.0,81789000.0,65419000.0,63619000.0,69246000.0,33153000.0,57597000.0,-192654000.0,10795000.0,88798000.0,89809000.0,77060000.0,,,47688000.0,73523000.0,34662000.0,65419000.0,69246000.0,57597000.0,10795000.0,89809000.0,,48812000.0,34662000.0,63619000.0,57597000.0,88798000.0,,47688000.0,34662000.0,69246000.0,10795000.0,,48812000.0,65419000.0,-192654000.0,,65419000.0,48812000.0,,CommonMetricExtracted
Cash,,,,15224000.0,127664000.0,34605000.0,28747000.0,29173000.0,148164000.0,194851000.0,121646000.0,61400000.0,56094000.0,25530000.0,23818000.0,29485000.0,62718000.0,37987000.0,36178000.0,185460000.0,,15224000.0,34605000.0,29173000.0,194851000.0,61400000.0,25530000.0,29485000.0,37987000.0,185460000.0,127664000.0,29173000.0,121646000.0,25530000.0,62718000.0,185460000.0,15224000.0,29173000.0,61400000.0,29485000.0,185460000.0,127664000.0,194851000.0,23818000.0,185460000.0,194851000.0,185460000.0,185460000.0,185460000.0,CommonMetricExtracted
CurrentReceivables,,,,,,357749000.0,462102000.0,470808000.0,435028000.0,464405000.0,522532000.0,559557000.0,637293000.0,678940000.0,654983000.0,443185000.0,568984000.0,729442000.0,753236000.0,581523000.0,,,357749000.0,470808000.0,464405000.0,559557000.0,678940000.0,443185000.0,729442000.0,581523000.0,,470808000.0,522532000.0,678940000.0,568984000.0,581523000.0,,470808000.0,559557000.0,443185000.0,581523000.0,,464405000.0,654983000.0,581523000.0,464405000.0,581523000.0,581523000.0,581523000.0,CommonMetricExtracted
