,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,1001102000.0,1019154000.0,1029650000.0,1036551000.0,976765000.0,1330394000.0,1262235000.0,1175882000.0,,,,,,,1001102000.0,1029650000.0,976765000.0,1262235000.0,,,,,1029650000.0,1330394000.0,,,,1001102000.0,976765000.0,,,,1036551000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,711867000.0,722885000.0,720658000.0,724682000.0,696783000.0,803607000.0,794071000.0,754492000.0,,,,,,,711867000.0,720658000.0,696783000.0,794071000.0,,,,,720658000.0,803607000.0,,,,711867000.0,696783000.0,,,,724682000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,168476000.0,179154000.0,182716000.0,208983000.0,215650000.0,,,251323000.0,258568000.0,259232000.0,257660000.0,258117000.0,319133000.0,321720000.0,327885000.0,,,,179154000.0,208983000.0,,251323000.0,259232000.0,258117000.0,321720000.0,,168476000.0,208983000.0,,259232000.0,319133000.0,,,208983000.0,251323000.0,258117000.0,,168476000.0,,257660000.0,,,168476000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,24995000.0,42292000.0,41950000.0,48253000.0,43506000.0,,,37749000.0,37413000.0,50357000.0,54748000.0,21550000.0,207200000.0,147122000.0,96140000.0,,,,42292000.0,48253000.0,,37749000.0,50357000.0,21550000.0,147122000.0,,24995000.0,48253000.0,,50357000.0,207200000.0,,,48253000.0,37749000.0,21550000.0,,24995000.0,,54748000.0,,,24995000.0,,CommonMetricExtracted
Interest,,,,,,174000.0,258000.0,266000.0,273000.0,173000.0,,,169000.0,292000.0,150000.0,191000.0,412000.0,478000.0,294000.0,282000.0,,,,258000.0,273000.0,,169000.0,150000.0,412000.0,294000.0,,174000.0,273000.0,,150000.0,478000.0,,,273000.0,169000.0,412000.0,,174000.0,,191000.0,,,174000.0,,CommonMetricExtracted
Taxes,,,,,,9829000.0,15471000.0,15586000.0,18915000.0,16635000.0,,,14232000.0,18480000.0,12222000.0,11834000.0,5559000.0,52319000.0,37054000.0,22792000.0,,,,15471000.0,18915000.0,,14232000.0,12222000.0,5559000.0,37054000.0,,9829000.0,18915000.0,,12222000.0,52319000.0,,,18915000.0,14232000.0,5559000.0,,9829000.0,,11834000.0,,,9829000.0,,CommonMetricExtracted
NetIncome,,,,,,15166000.0,26821000.0,26382000.0,29338000.0,26871000.0,,,23517000.0,18933000.0,38135000.0,42914000.0,15991000.0,154881000.0,110068000.0,73348000.0,,,,26821000.0,29338000.0,,23517000.0,38135000.0,15991000.0,110068000.0,,15166000.0,29338000.0,,38135000.0,154881000.0,,,29338000.0,23517000.0,15991000.0,,15166000.0,,42914000.0,,,15166000.0,,CommonMetricExtracted
Cash,,,,,24817000.0,44168000.0,60193000.0,70602000.0,45756000.0,48253000.0,61376000.0,68814000.0,62944000.0,48254000.0,67021000.0,61899000.0,106532000.0,117443000.0,51372000.0,99000000.0,,,44168000.0,70602000.0,48253000.0,68814000.0,48254000.0,61899000.0,117443000.0,99000000.0,24817000.0,70602000.0,61376000.0,48254000.0,106532000.0,99000000.0,,70602000.0,68814000.0,61899000.0,99000000.0,24817000.0,48253000.0,67021000.0,99000000.0,48253000.0,99000000.0,99000000.0,99000000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,1550000.0,2621000.0,2152000.0,4337000.0,2928000.0,2131000.0,4424000.0,6270000.0,1219000.0,2724000.0,7096000.0,14159000.0,3052000.0,2593000.0,,,,2621000.0,4337000.0,2131000.0,6270000.0,2724000.0,14159000.0,2593000.0,,2621000.0,2928000.0,6270000.0,7096000.0,2593000.0,,2621000.0,2131000.0,2724000.0,2593000.0,,4337000.0,1219000.0,2593000.0,4337000.0,2593000.0,2593000.0,2593000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,212929000.0,237655000.0,272282000.0,284801000.0,287877000.0,292878000.0,279646000.0,260500000.0,257539000.0,259495000.0,233266000.0,285205000.0,390390000.0,346442000.0,,,,237655000.0,284801000.0,292878000.0,260500000.0,259495000.0,285205000.0,346442000.0,,237655000.0,287877000.0,260500000.0,233266000.0,346442000.0,,237655000.0,292878000.0,259495000.0,346442000.0,,284801000.0,257539000.0,346442000.0,284801000.0,346442000.0,346442000.0,346442000.0,CommonMetricExtracted
CurrentAssets,,,,,,,281354000.0,316261000.0,328022000.0,342515000.0,359129000.0,370077000.0,351751000.0,320586000.0,337313000.0,329647000.0,355305000.0,442032000.0,469723000.0,481338000.0,,,,316261000.0,342515000.0,370077000.0,320586000.0,329647000.0,442032000.0,481338000.0,,316261000.0,359129000.0,320586000.0,355305000.0,481338000.0,,316261000.0,370077000.0,329647000.0,481338000.0,,342515000.0,337313000.0,481338000.0,342515000.0,481338000.0,481338000.0,481338000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,62391000.0,69232000.0,77364000.0,90193000.0,101294000.0,103386000.0,96216000.0,86276000.0,70605000.0,67781000.0,62325000.0,88533000.0,141435000.0,168613000.0,,,,69232000.0,90193000.0,103386000.0,86276000.0,67781000.0,88533000.0,168613000.0,,69232000.0,101294000.0,86276000.0,62325000.0,168613000.0,,69232000.0,103386000.0,67781000.0,168613000.0,,90193000.0,70605000.0,168613000.0,90193000.0,168613000.0,168613000.0,168613000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,0.0,11384000.0,12023000.0,12023000.0,,,,,,,,,11384000.0,12023000.0,,,,,0.0,12023000.0,,,,,12023000.0,,,,12023000.0,,12023000.0,12023000.0,12023000.0,CommonMetricExtracted
