,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,5379000000.0,5809000000.0,6583000000.0,6840000000.0,7126000000.0,9229000000.0,11243000000.0,9562000000.0,9100000000.0,,,,,,,5809000000.0,6840000000.0,9229000000.0,9562000000.0,,,,5379000000.0,6840000000.0,11243000000.0,,,,5809000000.0,9229000000.0,,,,7126000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,4882000000.0,5260000000.0,6060000000.0,6400000000.0,6552000000.0,8411000000.0,10213000000.0,9246000000.0,8524000000.0,,,,,,,5260000000.0,6400000000.0,8411000000.0,9246000000.0,,,,4882000000.0,6400000000.0,10213000000.0,,,,5260000000.0,8411000000.0,,,,6552000000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,193890000.0,204928000.0,220679000.0,251397000.0,264000000.0,254463000.0,270000000.0,275000000.0,317000000.0,314000000.0,336000000.0,329000000.0,360000000.0,373000000.0,403000000.0,420000000.0,,,193890000.0,220679000.0,264000000.0,270000000.0,317000000.0,336000000.0,360000000.0,403000000.0,,204928000.0,264000000.0,275000000.0,336000000.0,373000000.0,,193890000.0,264000000.0,317000000.0,360000000.0,,204928000.0,270000000.0,329000000.0,,270000000.0,204928000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,89241000.0,364045000.0,442608000.0,366778000.0,246000000.0,536000000.0,241000000.0,384000000.0,427000000.0,11000000.0,290000000.0,286000000.0,636000000.0,579000000.0,107000000.0,246000000.0,,,89241000.0,442608000.0,246000000.0,241000000.0,427000000.0,290000000.0,636000000.0,107000000.0,,364045000.0,246000000.0,384000000.0,290000000.0,579000000.0,,89241000.0,246000000.0,427000000.0,636000000.0,,364045000.0,241000000.0,286000000.0,,241000000.0,364045000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,40000000.0,58000000.0,72000000.0,,,,,,,,,,58000000.0,,,,,,40000000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,-2276000.0,81033000.0,99051000.0,84190000.0,32450000.0,168000000.0,69000000.0,70000000.0,181000000.0,8000000.0,3000000.0,3000000.0,65000000.0,-3000000.0,-120000000.0,156000000.0,,,-2276000.0,99051000.0,32450000.0,69000000.0,181000000.0,3000000.0,65000000.0,-120000000.0,,81033000.0,32450000.0,70000000.0,3000000.0,-3000000.0,,-2276000.0,32450000.0,181000000.0,65000000.0,,81033000.0,69000000.0,3000000.0,,69000000.0,81033000.0,,CommonMetricExtracted
NetIncome,,,,,91517000.0,283012000.0,343557000.0,282588000.0,214000000.0,368000000.0,172000000.0,314000000.0,246000000.0,3000000.0,287000000.0,283000000.0,571000000.0,582000000.0,227000000.0,90000000.0,,,91517000.0,343557000.0,214000000.0,172000000.0,246000000.0,287000000.0,571000000.0,227000000.0,,283012000.0,214000000.0,314000000.0,287000000.0,582000000.0,,91517000.0,214000000.0,246000000.0,571000000.0,,283012000.0,172000000.0,283000000.0,,172000000.0,283012000.0,,CommonMetricExtracted
Cash,,,,60594000.0,61857000.0,41124000.0,71510000.0,48000000.0,55055000.0,36459000.0,50000000.0,77000000.0,116000000.0,194000000.0,,76000000.0,75000000.0,199000000.0,56000000.0,98000000.0,,60594000.0,41124000.0,48000000.0,36459000.0,77000000.0,194000000.0,76000000.0,199000000.0,98000000.0,61857000.0,48000000.0,50000000.0,194000000.0,75000000.0,98000000.0,60594000.0,48000000.0,77000000.0,76000000.0,98000000.0,61857000.0,36459000.0,,98000000.0,36459000.0,98000000.0,98000000.0,98000000.0,CommonMetricExtracted
CurrentReceivables,,,,,,611900000.0,768429000.0,901344000.0,1083834000.0,974015000.0,861000000.0,910000000.0,810000000.0,976000000.0,,941000000.0,,2496000000.0,2058000000.0,2213000000.0,,,611900000.0,901344000.0,974015000.0,910000000.0,976000000.0,941000000.0,2496000000.0,2213000000.0,,901344000.0,861000000.0,976000000.0,,2213000000.0,,901344000.0,910000000.0,941000000.0,2213000000.0,,974015000.0,,2213000000.0,974015000.0,2213000000.0,2213000000.0,2213000000.0,CommonMetricExtracted
