,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,59807000.0,33116000.0,-19963000.0,12529000.0,-8600000.0,186253000.0,43606000.0,39118000.0,58426000.0,,,,,,,33116000.0,12529000.0,186253000.0,39118000.0,,,,59807000.0,12529000.0,43606000.0,,,,33116000.0,186253000.0,,,,-8600000.0,,,,,CommonMetricExtracted
NetIncome,,,,,,48411000.0,17671000.0,11256000.0,41413000.0,13779000.0,9899000.0,56399000.0,15895000.0,-8480000.0,5747000.0,52335000.0,126100000.0,51007000.0,33138000.0,63318000.0,,,,17671000.0,41413000.0,9899000.0,15895000.0,5747000.0,126100000.0,33138000.0,,48411000.0,41413000.0,56399000.0,5747000.0,51007000.0,,,41413000.0,15895000.0,126100000.0,,48411000.0,9899000.0,52335000.0,,9899000.0,48411000.0,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,7020000.0,7370000.0,,,,,,,,,,7370000.0,,,,,,7370000.0,,,,,7370000.0,,,,7370000.0,,7370000.0,7370000.0,7370000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,78536000.0,77421000.0,82933000.0,76964000.0,70591000.0,76788000.0,74551000.0,79938000.0,85343000.0,114152000.0,100606000.0,123035000.0,104077000.0,79767000.0,,,,77421000.0,76964000.0,76788000.0,79938000.0,114152000.0,123035000.0,79767000.0,,77421000.0,70591000.0,79938000.0,100606000.0,79767000.0,,77421000.0,76788000.0,114152000.0,79767000.0,,76964000.0,85343000.0,79767000.0,76964000.0,79767000.0,79767000.0,79767000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,455236000.0,432433000.0,479730000.0,451250000.0,472412000.0,609481000.0,628935000.0,680828000.0,501684000.0,411631000.0,343144000.0,410331000.0,708811000.0,872692000.0,,,,432433000.0,451250000.0,609481000.0,680828000.0,411631000.0,410331000.0,872692000.0,,432433000.0,472412000.0,680828000.0,343144000.0,872692000.0,,432433000.0,609481000.0,411631000.0,872692000.0,,451250000.0,501684000.0,872692000.0,451250000.0,872692000.0,872692000.0,872692000.0,CommonMetricExtracted
CurrentAssets,,,,,,,556267000.0,543250000.0,611466000.0,584059000.0,588047000.0,715661000.0,719149000.0,778012000.0,603248000.0,551600000.0,516299000.0,555442000.0,824976000.0,967015000.0,,,,543250000.0,584059000.0,715661000.0,778012000.0,551600000.0,555442000.0,967015000.0,,543250000.0,588047000.0,778012000.0,516299000.0,967015000.0,,543250000.0,715661000.0,551600000.0,967015000.0,,584059000.0,603248000.0,967015000.0,584059000.0,967015000.0,967015000.0,967015000.0,CommonMetricExtracted
