,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,39203000.0,41264000.0,62866000.0,46552000.0,92165000.0,72873000.0,127816000.0,100687000.0,167209000.0,170874000.0,156170000.0,162863000.0,,,,,41264000.0,46552000.0,72873000.0,100687000.0,170874000.0,162863000.0,,,62866000.0,72873000.0,167209000.0,162863000.0,,,46552000.0,100687000.0,162863000.0,,41264000.0,127816000.0,162863000.0,41264000.0,162863000.0,162863000.0,162863000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,3611000.0,11765000.0,4943000.0,7801000.0,11790000.0,9241000.0,27046000.0,60257000.0,13556000.0,3917000.0,7212448000.0,7268099000.0,,,,,11765000.0,7801000.0,9241000.0,60257000.0,3917000.0,7268099000.0,,,4943000.0,9241000.0,13556000.0,7268099000.0,,,7801000.0,60257000.0,7268099000.0,,11765000.0,27046000.0,7268099000.0,11765000.0,7268099000.0,7268099000.0,7268099000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,19827000.0,20845000.0,24185000.0,28362000.0,32234000.0,32430000.0,58478000.0,60236000.0,92370000.0,99183000.0,94301000.0,88794000.0,,,,,20845000.0,28362000.0,32430000.0,60236000.0,99183000.0,88794000.0,,,24185000.0,32430000.0,92370000.0,88794000.0,,,28362000.0,60236000.0,88794000.0,,20845000.0,58478000.0,88794000.0,20845000.0,88794000.0,88794000.0,88794000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
