,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,40569.0,40923.0,,72102.0,72102.0,72102.0,,,,,,,,40569.0,,72102.0,,,,,40569.0,72102.0,,,,,,,,,40923.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,5004.0,5838.0,5838.0,5838.0,,,,,,,,,5004.0,5838.0,,,,,,5838.0,,,,,5004.0,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,479078.0,298284.0,,,,,,,,,,479078.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,26250.0,693910.0,1286434.0,845092.0,2368156.0,,,,,,,,,693910.0,845092.0,,,,,,1286434.0,,,,,693910.0,,,,26250.0,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,847407.0,-375221.0,-82891.0,-464550.0,6926327.0,-279732.0,224509.0,312814.0,,,,,,,847407.0,-82891.0,6926327.0,224509.0,,,,,-82891.0,-279732.0,,,,847407.0,6926327.0,,,,-464550.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,4869.0,5084.0,,,,,,,,,,4869.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,-6227.0,8646.0,,,,,,,,,,-6227.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,-1078505.0,-49803.0,-1167754.0,,,,,356536.0,-969463.0,-1013294.0,-3037517.0,3903741.0,-3908551.0,-3700683.0,-4392880.0,,,,-49803.0,,,356536.0,-1013294.0,3903741.0,-3700683.0,,-1078505.0,,,-1013294.0,-3908551.0,,,,356536.0,3903741.0,,-1078505.0,,-3037517.0,,,-1078505.0,,CommonMetricExtracted
Cash,,,,,,47480.0,1752.0,279.0,2010620.0,,,579209.0,294591.0,336679.0,111752.0,1128389.0,9837001.0,11367034.0,3524308.0,3905799.0,,,47480.0,279.0,,579209.0,336679.0,1128389.0,11367034.0,3905799.0,,279.0,,336679.0,9837001.0,3905799.0,,279.0,579209.0,1128389.0,3905799.0,,,111752.0,3905799.0,,3905799.0,3905799.0,3905799.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
