,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,7392300000.0,7357100000.0,7838000000.0,7801000000.0,8002700000.0,7998900000.0,8529200000.0,8178700000.0,,,,,,,7392300000.0,7838000000.0,8002700000.0,8529200000.0,,,,,7838000000.0,7998900000.0,,,,7392300000.0,8002700000.0,,,,7801000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,4557000000.0,4521000000.0,4922300000.0,4799000000.0,4864000000.0,5298200000.0,5727400000.0,5063300000.0,,,,,,,4557000000.0,4922300000.0,4864000000.0,5727400000.0,,,,,4922300000.0,5298200000.0,,,,4557000000.0,4864000000.0,,,,4799000000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,673565000.0,878221000.0,863114000.0,892700000.0,973900000.0,988800000.0,1031300000.0,1510300000.0,1390700000.0,1370800000.0,1508600000.0,1474300000.0,1523100000.0,1360300000.0,1455000000.0,1446200000.0,,,673565000.0,863114000.0,973900000.0,1031300000.0,1390700000.0,1508600000.0,1523100000.0,1455000000.0,,878221000.0,973900000.0,1510300000.0,1508600000.0,1360300000.0,,673565000.0,973900000.0,1390700000.0,1523100000.0,,878221000.0,1031300000.0,1474300000.0,,1031300000.0,878221000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,452275000.0,790909000.0,784300000.0,778300000.0,910400000.0,919000000.0,772000000.0,1145300000.0,1042600000.0,1044000000.0,928600000.0,1223100000.0,1386800000.0,1023800000.0,157500000.0,1305800000.0,,,452275000.0,784300000.0,910400000.0,772000000.0,1042600000.0,928600000.0,1386800000.0,157500000.0,,790909000.0,910400000.0,1145300000.0,928600000.0,1023800000.0,,452275000.0,910400000.0,1042600000.0,1386800000.0,,790909000.0,772000000.0,1223100000.0,,772000000.0,790909000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,130112000.0,236615000.0,237700000.0,241500000.0,273100000.0,284500000.0,178100000.0,289200000.0,286100000.0,-477600000.0,187200000.0,247200000.0,295600000.0,212100000.0,82100000.0,252400000.0,,,130112000.0,237700000.0,273100000.0,178100000.0,286100000.0,187200000.0,295600000.0,82100000.0,,236615000.0,273100000.0,289200000.0,187200000.0,212100000.0,,130112000.0,273100000.0,286100000.0,295600000.0,,236615000.0,178100000.0,247200000.0,,178100000.0,236615000.0,,CommonMetricExtracted
NetIncome,,,,,265953000.0,494138000.0,479500000.0,459744000.0,544200000.0,565200000.0,344900000.0,688700000.0,592300000.0,1338600000.0,514400000.0,779500000.0,876300000.0,631700000.0,-91300000.0,744000000.0,,,265953000.0,479500000.0,544200000.0,344900000.0,592300000.0,514400000.0,876300000.0,-91300000.0,,494138000.0,544200000.0,688700000.0,514400000.0,631700000.0,,265953000.0,544200000.0,592300000.0,876300000.0,,494138000.0,344900000.0,779500000.0,,344900000.0,494138000.0,,CommonMetricExtracted
Cash,,,,,,,,,,,,,166800000.0,192600000.0,101300000.0,391100000.0,334300000.0,169900000.0,655800000.0,62000000.0,,,,,,,192600000.0,391100000.0,169900000.0,62000000.0,,,,192600000.0,334300000.0,62000000.0,,,,391100000.0,62000000.0,,,101300000.0,62000000.0,,62000000.0,62000000.0,62000000.0,CommonMetricExtracted
CurrentReceivables,,,,,,238867000.0,344410000.0,347518000.0,313700000.0,309400000.0,430100000.0,450100000.0,438700000.0,385600000.0,503800000.0,551400000.0,533700000.0,524700000.0,597600000.0,736500000.0,,,238867000.0,347518000.0,309400000.0,450100000.0,385600000.0,551400000.0,524700000.0,736500000.0,,347518000.0,430100000.0,385600000.0,533700000.0,736500000.0,,347518000.0,450100000.0,551400000.0,736500000.0,,309400000.0,503800000.0,736500000.0,309400000.0,736500000.0,736500000.0,736500000.0,CommonMetricExtracted
