,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,3563311000.0,4164160000.0,4642068000.0,5220051000.0,4613430000.0,6310187000.0,7444550000.0,8000342000.0,8969351000.0,,,,,,,4164160000.0,5220051000.0,6310187000.0,8000342000.0,,,,3563311000.0,5220051000.0,7444550000.0,,,,4164160000.0,6310187000.0,,,,4613430000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,1928715000.0,2225271000.0,2418463000.0,2728894000.0,2407633000.0,3185817000.0,3929193000.0,3847938000.0,4201912000.0,,,,,,,2225271000.0,2728894000.0,3185817000.0,3847938000.0,,,,1928715000.0,2728894000.0,3929193000.0,,,,2225271000.0,3185817000.0,,,,2407633000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,128989000.0,186738000.0,152000000.0,134920000.0,153491000.0,181018000.0,235586000.0,257129000.0,327201000.0,350435000.0,369901000.0,351471000.0,499532000.0,583626000.0,676890000.0,800634000.0,,,128989000.0,152000000.0,153491000.0,235586000.0,327201000.0,369901000.0,499532000.0,676890000.0,,186738000.0,153491000.0,257129000.0,369901000.0,583626000.0,,128989000.0,153491000.0,327201000.0,499532000.0,,186738000.0,235586000.0,351471000.0,,235586000.0,186738000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,70255000.0,195568000.0,-133793000.0,22319000.0,93609000.0,209071000.0,350824000.0,370518000.0,382880000.0,437765000.0,518443000.0,133684000.0,598187000.0,546670000.0,784786000.0,904257000.0,,,70255000.0,-133793000.0,93609000.0,350824000.0,382880000.0,518443000.0,598187000.0,784786000.0,,195568000.0,93609000.0,370518000.0,518443000.0,546670000.0,,70255000.0,93609000.0,382880000.0,598187000.0,,195568000.0,350824000.0,133684000.0,,350824000.0,195568000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,20228000.0,60198000.0,-63467000.0,-39000.0,21347000.0,39184000.0,72450000.0,74125000.0,149156000.0,60611000.0,88753000.0,8502000.0,-245875000.0,93095000.0,150949000.0,148136000.0,,,20228000.0,-63467000.0,21347000.0,72450000.0,149156000.0,88753000.0,-245875000.0,150949000.0,,60198000.0,21347000.0,74125000.0,88753000.0,93095000.0,,20228000.0,21347000.0,149156000.0,-245875000.0,,60198000.0,72450000.0,8502000.0,,72450000.0,60198000.0,,CommonMetricExtracted
NetIncome,,,,,50882000.0,136405000.0,-67580000.0,10512000.0,60868000.0,152196000.0,261047000.0,285359000.0,235104000.0,371273000.0,427252000.0,146227000.0,815632000.0,429162000.0,649923000.0,729613000.0,,,50882000.0,-67580000.0,60868000.0,261047000.0,235104000.0,427252000.0,815632000.0,649923000.0,,136405000.0,60868000.0,285359000.0,427252000.0,429162000.0,,50882000.0,60868000.0,235104000.0,815632000.0,,136405000.0,261047000.0,146227000.0,,261047000.0,136405000.0,,CommonMetricExtracted
Cash,,,,114941000.0,265675000.0,233558000.0,351144000.0,325826000.0,372011000.0,466685000.0,507991000.0,718536000.0,736431000.0,872237000.0,824876000.0,1370826000.0,796283000.0,615733000.0,1189910000.0,1116516000.0,,114941000.0,233558000.0,325826000.0,466685000.0,718536000.0,872237000.0,1370826000.0,615733000.0,1116516000.0,265675000.0,325826000.0,507991000.0,872237000.0,796283000.0,1116516000.0,114941000.0,325826000.0,718536000.0,1370826000.0,1116516000.0,265675000.0,466685000.0,824876000.0,1116516000.0,466685000.0,1116516000.0,1116516000.0,1116516000.0,CommonMetricExtracted
CurrentReceivables,,,,,,266057000.0,176018000.0,221188000.0,236540000.0,288613000.0,362591000.0,346035000.0,433004000.0,557596000.0,699235000.0,689022000.0,812836000.0,934323000.0,942553000.0,1089057000.0,,,266057000.0,221188000.0,288613000.0,346035000.0,557596000.0,689022000.0,934323000.0,1089057000.0,,221188000.0,362591000.0,557596000.0,812836000.0,1089057000.0,,221188000.0,346035000.0,689022000.0,1089057000.0,,288613000.0,699235000.0,1089057000.0,288613000.0,1089057000.0,1089057000.0,1089057000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,88005000.0,27755000.0,26094000.0,57015000.0,57363000.0,62680000.0,62573000.0,79018000.0,113580000.0,166962000.0,193547000.0,176035000.0,222137000.0,205994000.0,,,,27755000.0,57015000.0,62680000.0,79018000.0,166962000.0,176035000.0,205994000.0,,27755000.0,57363000.0,79018000.0,193547000.0,205994000.0,,27755000.0,62680000.0,166962000.0,205994000.0,,57015000.0,113580000.0,205994000.0,57015000.0,205994000.0,205994000.0,205994000.0,CommonMetricExtracted
Inventory,,,,,,398588000.0,226407000.0,339012000.0,,,,,,,,,,,1525409000.0,1919386000.0,,,398588000.0,339012000.0,,,,,,1919386000.0,,339012000.0,,,,1919386000.0,,339012000.0,,,1919386000.0,,,,1919386000.0,,1919386000.0,1919386000.0,1919386000.0,CommonMetricExtracted
CurrentAssets,,,,,,973364000.0,887351000.0,940312000.0,1014928000.0,1285014000.0,1570467000.0,1827766000.0,2105024000.0,2472140000.0,2819591000.0,3344351000.0,3372240000.0,3646273000.0,3952604000.0,4449423000.0,,,973364000.0,940312000.0,1285014000.0,1827766000.0,2472140000.0,3344351000.0,3646273000.0,4449423000.0,,940312000.0,1570467000.0,2472140000.0,3372240000.0,4449423000.0,,940312000.0,1827766000.0,3344351000.0,4449423000.0,,1285014000.0,2819591000.0,4449423000.0,1285014000.0,4449423000.0,4449423000.0,4449423000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,293802000.0,376446000.0,362446000.0,361755000.0,373183000.0,435907000.0,494473000.0,541601000.0,585457000.0,738925000.0,935441000.0,1128909000.0,1345370000.0,1506690000.0,1834930000.0,,,293802000.0,362446000.0,373183000.0,494473000.0,585457000.0,935441000.0,1345370000.0,1834930000.0,,362446000.0,435907000.0,585457000.0,1128909000.0,1834930000.0,,362446000.0,494473000.0,935441000.0,1834930000.0,,373183000.0,738925000.0,1834930000.0,373183000.0,1834930000.0,1834930000.0,1834930000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,71412000.0,93497000.0,93497000.0,93497000.0,101230000.0,94494000.0,,,,,,,,93497000.0,93497000.0,94494000.0,,,,,93497000.0,94494000.0,,,,93497000.0,94494000.0,,,71412000.0,94494000.0,,94494000.0,94494000.0,94494000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,1304794000.0,1281888000.0,1340220000.0,1408570000.0,1674918000.0,2047408000.0,2393670000.0,2735082000.0,3228255000.0,4892943000.0,5812369000.0,6491280000.0,6893487000.0,7547351000.0,8455758000.0,,,1304794000.0,1340220000.0,1674918000.0,2393670000.0,3228255000.0,5812369000.0,6893487000.0,8455758000.0,,1340220000.0,2047408000.0,3228255000.0,6491280000.0,8455758000.0,,1340220000.0,2393670000.0,5812369000.0,8455758000.0,,1674918000.0,4892943000.0,8455758000.0,1674918000.0,8455758000.0,8455758000.0,8455758000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,12028000.0,101407000.0,15653000.0,1783000.0,1801000.0,1666000.0,66234000.0,52250000.0,76967000.0,103184000.0,46571000.0,353131000.0,,,,,101407000.0,1783000.0,1666000.0,52250000.0,103184000.0,353131000.0,,,15653000.0,1666000.0,76967000.0,353131000.0,,,1783000.0,52250000.0,353131000.0,,101407000.0,66234000.0,353131000.0,101407000.0,353131000.0,353131000.0,353131000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,276980000.0,247994000.0,278448000.0,298307000.0,402520000.0,561301000.0,613861000.0,587536000.0,841334000.0,975079000.0,952789000.0,1141762000.0,1251527000.0,1328106000.0,1572089000.0,,,276980000.0,278448000.0,402520000.0,613861000.0,841334000.0,952789000.0,1251527000.0,1572089000.0,,278448000.0,561301000.0,841334000.0,1141762000.0,1572089000.0,,278448000.0,613861000.0,952789000.0,1572089000.0,,402520000.0,975079000.0,1572089000.0,402520000.0,1572089000.0,1572089000.0,1572089000.0,CommonMetricExtracted
CurrentLiability,,,,,,337695000.0,325460000.0,329464000.0,350546000.0,555442000.0,664331000.0,715154000.0,679550000.0,1012003000.0,1639595000.0,1625788000.0,1936660000.0,2145877000.0,2255268000.0,2884661000.0,,,337695000.0,329464000.0,555442000.0,715154000.0,1012003000.0,1625788000.0,2145877000.0,2884661000.0,,329464000.0,664331000.0,1012003000.0,1936660000.0,2884661000.0,,329464000.0,715154000.0,1625788000.0,2884661000.0,,555442000.0,1639595000.0,2884661000.0,555442000.0,2884661000.0,2884661000.0,2884661000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,80895000.0,128663000.0,119968000.0,55067000.0,120380000.0,105281000.0,307782000.0,288946000.0,2187705000.0,3057146000.0,2731987000.0,2592578000.0,2717346000.0,2678422000.0,,,,128663000.0,55067000.0,105281000.0,288946000.0,3057146000.0,2592578000.0,2678422000.0,,128663000.0,120380000.0,288946000.0,2731987000.0,2678422000.0,,128663000.0,105281000.0,3057146000.0,2678422000.0,,55067000.0,2187705000.0,2678422000.0,55067000.0,2678422000.0,2678422000.0,2678422000.0,CommonMetricExtracted
TotalLiability,,,,,,358960000.0,389361000.0,421131000.0,428650000.0,540811000.0,671674000.0,708156000.0,786871000.0,1038980000.0,2356836000.0,3086706000.0,2949208000.0,3021901000.0,3147309000.0,3635494000.0,,,358960000.0,421131000.0,540811000.0,708156000.0,1038980000.0,3086706000.0,3021901000.0,3635494000.0,,421131000.0,671674000.0,1038980000.0,2949208000.0,3635494000.0,,421131000.0,708156000.0,3086706000.0,3635494000.0,,540811000.0,2356836000.0,3635494000.0,540811000.0,3635494000.0,3635494000.0,3635494000.0,CommonMetricExtracted
ShareholderEquity,,,,671892000.0,749370000.0,945834000.0,892527000.0,919089000.0,979920000.0,1134107000.0,1375734000.0,1685514000.0,1948211000.0,2189275000.0,2536107000.0,2725663000.0,3542072000.0,3871586000.0,4400042000.0,4730165000.0,,671892000.0,945834000.0,919089000.0,1134107000.0,1685514000.0,2189275000.0,2725663000.0,3871586000.0,4730165000.0,749370000.0,919089000.0,1375734000.0,2189275000.0,3542072000.0,4730165000.0,671892000.0,919089000.0,1685514000.0,2725663000.0,4730165000.0,749370000.0,1134107000.0,2536107000.0,4730165000.0,1134107000.0,4730165000.0,4730165000.0,4730165000.0,CommonMetricExtracted
OperatingCashFlow,,,,,115109000.0,-47379000.0,164919000.0,-3447000.0,98977000.0,,,361622000.0,159337000.0,568552000.0,426552000.0,331453000.0,212152000.0,238325000.0,1231164000.0,687390000.0,,,115109000.0,164919000.0,98977000.0,,159337000.0,426552000.0,212152000.0,1231164000.0,,-47379000.0,98977000.0,361622000.0,426552000.0,238325000.0,,115109000.0,98977000.0,159337000.0,212152000.0,,-47379000.0,,331453000.0,,,-47379000.0,,CommonMetricExtracted
CapitalExpenditures,,,,,35341000.0,82269000.0,122238000.0,52452000.0,41294000.0,56905000.0,118144000.0,119471000.0,135976000.0,143036000.0,236111000.0,309916000.0,309674000.0,358992000.0,323722000.0,416794000.0,,,35341000.0,122238000.0,41294000.0,118144000.0,135976000.0,236111000.0,309674000.0,323722000.0,,82269000.0,41294000.0,119471000.0,236111000.0,358992000.0,,35341000.0,41294000.0,135976000.0,309674000.0,,82269000.0,118144000.0,309916000.0,,118144000.0,82269000.0,,CommonMetricExtracted
InvestingCashFlow,,,,,25784000.0,-52310000.0,-105148000.0,-52452000.0,-41381000.0,,,-145645000.0,-138250000.0,-319414000.0,-344073000.0,-312468000.0,-344666000.0,-287486000.0,-418019000.0,-485360000.0,,,25784000.0,-105148000.0,-41381000.0,,-138250000.0,-344073000.0,-344666000.0,-418019000.0,,-52310000.0,-41381000.0,-145645000.0,-344073000.0,-287486000.0,,25784000.0,-41381000.0,-138250000.0,-344666000.0,,-52310000.0,,-312468000.0,,,-52310000.0,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,8400000.0,67421000.0,60433000.0,29754000.0,-9910000.0,,,-3524000.0,-14541000.0,-119715000.0,-131973000.0,533302000.0,-433918000.0,-118059000.0,-234677000.0,-253460000.0,,,8400000.0,60433000.0,-9910000.0,,-14541000.0,-131973000.0,-433918000.0,-234677000.0,,67421000.0,-9910000.0,-3524000.0,-131973000.0,-118059000.0,,8400000.0,-9910000.0,-14541000.0,-433918000.0,,67421000.0,,533302000.0,,,67421000.0,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,0.5412704644640898,0.5343865269346039,0.5209882750532737,0.5227715208146434,0.5218748306574501,0.5048688731411605,0.5277945611218945,0.48097168846031835,0.4684744749090542,,,,,,,0.5343865269346039,0.5227715208146434,0.5048688731411605,0.48097168846031835,,,,0.5412704644640898,0.5227715208146434,0.5277945611218945,,,,0.5343865269346039,0.5048688731411605,,,,0.5218748306574501,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,1634596000.0,1938889000.0,2223605000.0,2491157000.0,2205797000.0,3124370000.0,3515357000.0,4152404000.0,4767439000.0,,,,,,,1938889000.0,2491157000.0,3124370000.0,4152404000.0,,,,1634596000.0,2491157000.0,3515357000.0,,,,1938889000.0,3124370000.0,,,,2205797000.0,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,0.4587295355359103,0.46561347306539613,0.47901172494672634,0.4772284791853566,0.4781251693425499,0.49513112685883953,0.47220543887810545,0.5190283115396817,0.5315255250909459,,,,,,,0.46561347306539613,0.4772284791853566,0.49513112685883953,0.5190283115396817,,,,0.4587295355359103,0.4772284791853566,0.47220543887810545,,,,0.46561347306539613,0.49513112685883953,,,,0.4781251693425499,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,0.07216013421225372,0.07857551102743411,0.07549113886311015,0.07086156821073204,0.07618431405700314,0.07916278867805344,0.07839641079716034,0.08460763302368823,0.08926331459210371,,,,,,,0.07857551102743411,0.07086156821073204,0.07916278867805344,0.08460763302368823,,,,0.07216013421225372,0.07086156821073204,0.07839641079716034,,,,0.07857551102743411,0.07916278867805344,,,,0.07618431405700314,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,0.10398138136132377,0.0919465150234381,0.09430387491092332,0.09931761203099357,0.028977138484814986,0.09479703216402303,0.07343224237865284,0.09809405647908552,0.10081632439180939,,,,,,,0.0919465150234381,0.09931761203099357,0.09479703216402303,0.09809405647908552,,,,0.10398138136132377,0.09931761203099357,0.07343224237865284,,,,0.0919465150234381,0.09479703216402303,,,,0.028977138484814986,,,,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
TaxesPercentOfOperatingMargin,,,,,0.28792256778876946,0.30781109383948296,0.4743671193560201,-0.0017473901160446257,0.22804431197854907,0.18741958473437254,0.20651380749321596,0.20005775697806855,0.38956330965315505,0.1384555640583418,0.17119143280939275,0.06359773794919361,-0.4110336734165069,0.1702946933250407,0.19234415496708657,0.16382068372155262,,,0.28792256778876946,0.4743671193560201,0.22804431197854907,0.20651380749321596,0.38956330965315505,0.17119143280939275,-0.4110336734165069,0.19234415496708657,,0.30781109383948296,0.22804431197854907,0.20005775697806855,0.17119143280939275,0.1702946933250407,,0.28792256778876946,0.22804431197854907,0.38956330965315505,-0.4110336734165069,,0.30781109383948296,0.20651380749321596,0.06359773794919361,,0.20651380749321596,0.30781109383948296,,CommonMetricCalculated
NetIncomePercentOfRevenue,,,,,,,,,,,,0.08008254120956605,0.05645892568969492,0.07998008646146502,0.08184824247885701,0.031695939897213136,0.12925639129236582,0.057647809471358245,0.08123690212243427,0.08134512742337768,,,,,,,0.05645892568969492,0.08184824247885701,0.12925639129236582,0.08123690212243427,,,,0.08008254120956605,0.08184824247885701,0.057647809471358245,,,,0.05645892568969492,0.12925639129236582,,,,0.031695939897213136,,,,,CommonMetricCalculated
CashPercentOfCurrentAssets,,,,,,0.23994928926896825,0.39572164791610087,0.34650839295893276,0.36653930131004364,0.36317503155607644,0.3234649311319499,0.3931225331907914,0.3498444673314889,0.3528267007531936,0.29255165022161017,0.4098929807307905,0.23612880459279292,0.1688664013912288,0.30104457719518574,0.25093500887643183,,,0.23994928926896825,0.34650839295893276,0.36317503155607644,0.3931225331907914,0.3528267007531936,0.4098929807307905,0.1688664013912288,0.25093500887643183,,0.34650839295893276,0.3234649311319499,0.3528267007531936,0.23612880459279292,0.25093500887643183,,0.34650839295893276,0.3931225331907914,0.4098929807307905,0.25093500887643183,,0.36317503155607644,0.29255165022161017,0.25093500887643183,0.36317503155607644,0.25093500887643183,0.25093500887643183,0.25093500887643183,CommonMetricCalculated
ReceivablesCurrentPercentOfCurrentAssets,,,,,,0.27333762086947944,0.19836344355277674,0.23522830720016336,0.23306086737187268,0.22459910942604516,0.2308810054588858,0.1893212807328728,0.20570026755039372,0.22555195094128974,0.24799164134088952,0.20602562350662357,0.24103741133489906,0.2562405502824391,0.23846380765692693,0.24476364688185412,,,0.27333762086947944,0.23522830720016336,0.22459910942604516,0.1893212807328728,0.22555195094128974,0.20602562350662357,0.2562405502824391,0.24476364688185412,,0.23522830720016336,0.2308810054588858,0.22555195094128974,0.24103741133489906,0.24476364688185412,,0.23522830720016336,0.1893212807328728,0.20602562350662357,0.24476364688185412,,0.22459910942604516,0.24799164134088952,0.24476364688185412,0.22459910942604516,0.24476364688185412,0.24476364688185412,0.24476364688185412,CommonMetricCalculated
PrepaidExpensesPercentOfCurrentAssets,,,,,,,0.09917721397733253,0.0295167986795872,0.025710198161840052,0.04436916640596912,0.03652607791185679,0.034293230096193936,0.029725551822687057,0.03196340013106054,0.04028243812666447,0.04992358756601804,0.0573941949564681,0.04827806365568349,0.05620016576413928,0.046296789493828754,,,,0.0295167986795872,0.04436916640596912,0.034293230096193936,0.03196340013106054,0.04992358756601804,0.04827806365568349,0.046296789493828754,,0.0295167986795872,0.03652607791185679,0.03196340013106054,0.0573941949564681,0.046296789493828754,,0.0295167986795872,0.034293230096193936,0.04992358756601804,0.046296789493828754,,0.04436916640596912,0.04028243812666447,0.046296789493828754,0.04436916640596912,0.046296789493828754,0.046296789493828754,0.046296789493828754,CommonMetricCalculated
InventoryPercentOfCurrentAssets,,,,,,0.4094953172708257,0.25514931520897594,0.36053139808914486,,,,,,,,,,,0.3859250762282283,0.4313786304426439,,,0.4094953172708257,0.36053139808914486,,,,,,0.4313786304426439,,0.36053139808914486,,,,0.4313786304426439,,0.36053139808914486,,,0.4313786304426439,,,,0.4313786304426439,,0.4313786304426439,0.4313786304426439,0.4313786304426439,CommonMetricCalculated
CurrentAssetsPercentOfTotaltAssets,,,,,,0.7459905548308775,0.692221941386455,0.701610183402725,0.7205378504440674,0.7672100962554584,0.7670513156146699,0.7635831171381184,0.7696383508794252,0.7657821330718918,0.5762566618904001,0.5753851828746592,0.5195030872185455,0.5289446400638748,0.5237074570932239,0.5262003713918965,,,0.7459905548308775,0.701610183402725,0.7672100962554584,0.7635831171381184,0.7657821330718918,0.5753851828746592,0.5289446400638748,0.5262003713918965,,0.701610183402725,0.7670513156146699,0.7657821330718918,0.5195030872185455,0.5262003713918965,,0.701610183402725,0.7635831171381184,0.5753851828746592,0.5262003713918965,,0.7672100962554584,0.5762566618904001,0.5262003713918965,0.7672100962554584,0.5262003713918965,0.5262003713918965,0.5262003713918965,CommonMetricCalculated
PropertyPlantEquipmentPercentOfTotaltAssets,,,,,,0.22517117644624363,0.29366528121021496,0.27043768933458684,0.2568242969820456,0.2228067284487957,0.2129067582035432,0.2065752589120472,0.19802002280004768,0.18135401323625303,0.15101851789403636,0.1609397132219238,0.1739116168151736,0.1951653785667544,0.19963163234358652,0.21700360866524326,,,0.22517117644624363,0.27043768933458684,0.2228067284487957,0.2065752589120472,0.18135401323625303,0.1609397132219238,0.1951653785667544,0.21700360866524326,,0.27043768933458684,0.2129067582035432,0.18135401323625303,0.1739116168151736,0.21700360866524326,,0.27043768933458684,0.2065752589120472,0.1609397132219238,0.21700360866524326,,0.2228067284487957,0.15101851789403636,0.21700360866524326,0.2228067284487957,0.21700360866524326,0.21700360866524326,0.21700360866524326,CommonMetricCalculated
GoodwillPercentOfTotaltAssets,,,,,,,,,,,,,,,0.014594897181512231,0.01608586791375427,0.014403476664078579,0.013563092234742736,0.013412652995733205,0.01117510695079022,,,,,,,,0.01608586791375427,0.013563092234742736,0.01117510695079022,,,,,0.014403476664078579,0.01117510695079022,,,,0.01608586791375427,0.01117510695079022,,,0.014594897181512231,0.01117510695079022,,0.01117510695079022,0.01117510695079022,0.01117510695079022,CommonMetricCalculated
IntangibleAssetsPercentOfTotaltAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ShorttermDebtPercentOfCurrentLiability,,,,,,,,,0.034312187273567524,0.1825699172910943,0.023562049640916953,0.002493169303394793,0.0026502832756971524,0.0016462401791299038,0.04039656134594214,0.032138261569159075,0.03974213336362604,0.04808476907110706,0.020649873983934502,0.12241681084883112,,,,,0.1825699172910943,0.002493169303394793,0.0016462401791299038,0.032138261569159075,0.04808476907110706,0.12241681084883112,,,0.023562049640916953,0.0016462401791299038,0.03974213336362604,0.12241681084883112,,,0.002493169303394793,0.032138261569159075,0.12241681084883112,,0.1825699172910943,0.04039656134594214,0.12241681084883112,0.1825699172910943,0.12241681084883112,0.12241681084883112,0.12241681084883112,CommonMetricCalculated
