,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,37317000.0,37297000.0,52347000.0,,,,,,,,,,37297000.0,,,,,,37317000.0,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,28957000.0,29472000.0,36159000.0,,,,,,,,,,29472000.0,,,,,,28957000.0,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,3019000.0,2954000.0,,,,,,7581000.0,7534000.0,7219000.0,,,,,,3019000.0,,,,7534000.0,,,,2954000.0,,7581000.0,,,,,,,,3019000.0,,,3019000.0,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,1273000.0,1554000.0,,,,,,3037000.0,3837000.0,3837000.0,,,,,,1273000.0,,,,3837000.0,,,,1554000.0,,3037000.0,,,,,,,,1273000.0,,,1273000.0,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,-1178000.0,-1268000.0,,,,,,-2258000.0,-3546000.0,5132000.0,,,,,,-1178000.0,,,,-3546000.0,,,,-1268000.0,,-2258000.0,,,,,,,,-1178000.0,,,-1178000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,838000.0,670000.0,,,,,,,,,,838000.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,-17000.0,6000.0,227000.0,,,,,,,,,,6000.0,,,,,,-17000.0,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,-1192000.0,-1283000.0,,,,,,-2623000.0,-4390000.0,4235000.0,,,,,,-1192000.0,,,,-4390000.0,,,,-1283000.0,,-2623000.0,,,,,,,,-1192000.0,,,-1192000.0,,,CommonMetricExtracted
Cash,,,,,3899393.0,5744322.0,2694000.0,4124000.0,3276000.0,1862000.0,1275000.0,1779000.0,,,,957000.0,657000.0,2186000.0,1722000.0,1409000.0,,,5744322.0,4124000.0,1862000.0,1779000.0,,957000.0,2186000.0,1409000.0,3899393.0,4124000.0,1275000.0,,657000.0,1409000.0,,4124000.0,1779000.0,957000.0,1409000.0,3899393.0,1862000.0,,1409000.0,1862000.0,1409000.0,1409000.0,1409000.0,CommonMetricExtracted
CurrentReceivables,,,,,,765250.0,878600.0,1031000.0,52000.0,388000.0,507000.0,434000.0,,,970000.0,2932000.0,3937000.0,9746000.0,7384000.0,11310000.0,,,765250.0,1031000.0,388000.0,434000.0,,2932000.0,9746000.0,11310000.0,,1031000.0,507000.0,,3937000.0,11310000.0,,1031000.0,434000.0,2932000.0,11310000.0,,388000.0,970000.0,11310000.0,388000.0,11310000.0,11310000.0,11310000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,346926.0,391466.0,241000.0,202000.0,367000.0,247000.0,442000.0,,,,606000.0,910000.0,866000.0,1082000.0,2803000.0,,,346926.0,241000.0,367000.0,442000.0,,606000.0,866000.0,2803000.0,,241000.0,247000.0,,910000.0,2803000.0,,241000.0,442000.0,606000.0,2803000.0,,367000.0,,2803000.0,367000.0,2803000.0,2803000.0,2803000.0,CommonMetricExtracted
Inventory,,,,,,1825882.0,1338210.0,1139000.0,976000.0,950000.0,662000.0,772000.0,,,,4340000.0,6095000.0,8839000.0,10031000.0,20267000.0,,,1825882.0,1139000.0,950000.0,772000.0,,4340000.0,8839000.0,20267000.0,,1139000.0,662000.0,,6095000.0,20267000.0,,1139000.0,772000.0,4340000.0,20267000.0,,950000.0,,20267000.0,950000.0,20267000.0,20267000.0,20267000.0,CommonMetricExtracted
CurrentAssets,,,,,,8726640.0,5345611.0,6592000.0,4537000.0,3567000.0,2691000.0,3427000.0,,,,8835000.0,11599000.0,16625000.0,16302000.0,29348000.0,,,8726640.0,6592000.0,3567000.0,3427000.0,,8835000.0,16625000.0,29348000.0,,6592000.0,2691000.0,,11599000.0,29348000.0,,6592000.0,3427000.0,8835000.0,29348000.0,,3567000.0,,29348000.0,3567000.0,29348000.0,29348000.0,29348000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,4721672.0,3713082.0,3028000.0,2464000.0,2138000.0,1861000.0,1395000.0,,,,2868000.0,4712000.0,7949000.0,8668000.0,12734000.0,,,4721672.0,3028000.0,2138000.0,1395000.0,,2868000.0,7949000.0,12734000.0,,3028000.0,1861000.0,,4712000.0,12734000.0,,3028000.0,1395000.0,2868000.0,12734000.0,,2138000.0,,12734000.0,2138000.0,12734000.0,12734000.0,12734000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
