,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,1332569000.0,1272732000.0,1236473000.0,110637000.0,167821000.0,236838000.0,174885000.0,,,,,,,,1272732000.0,110637000.0,236838000.0,,,,,1272732000.0,167821000.0,,,,,110637000.0,,,,1236473000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,120710000.0,166473000.0,187309000.0,114547000.0,,,,,,,,,120710000.0,187309000.0,,,,,,166473000.0,,,,,120710000.0,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,14017000.0,20872000.0,19209000.0,18446000.0,,,,,,,,,14017000.0,19209000.0,,,,,,20872000.0,,,,,14017000.0,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,21572000.0,29422000.0,28805000.0,29369000.0,,,,,,,,,21572000.0,28805000.0,,,,,,29422000.0,,,,,21572000.0,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,55000.0,595000.0,-116000.0,154000.0,,,,,,,,,55000.0,-116000.0,,,,,,595000.0,,,,,55000.0,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,10856000.0,4439000.0,12215000.0,10971000.0,15013000.0,17537000.0,14569000.0,-719000.0,-11698000.0,-25000.0,648000.0,115000.0,-5388000.0,-108000.0,267000.0,,,,4439000.0,10971000.0,17537000.0,-719000.0,-25000.0,115000.0,-108000.0,,10856000.0,10971000.0,14569000.0,-25000.0,-5388000.0,,,10971000.0,-719000.0,115000.0,,10856000.0,17537000.0,648000.0,,17537000.0,10856000.0,,CommonMetricExtracted
NetIncome,,,,,,23553000.0,56686000.0,19931000.0,25027000.0,25555000.0,26906000.0,23711000.0,401000.0,-24324000.0,-5998000.0,-10463000.0,-71961000.0,-96322000.0,-34587000.0,-33643000.0,,,,56686000.0,25027000.0,26906000.0,401000.0,-5998000.0,-71961000.0,-34587000.0,,23553000.0,25027000.0,23711000.0,-5998000.0,-96322000.0,,,25027000.0,401000.0,-71961000.0,,23553000.0,26906000.0,-10463000.0,,26906000.0,23553000.0,,CommonMetricExtracted
Cash,,,,,88903000.0,80975000.0,80171000.0,94053000.0,67233000.0,66854000.0,65314000.0,11830000.0,10604000.0,10400000.0,9049000.0,9499000.0,,210409000.0,215214000.0,142482000.0,,,80975000.0,94053000.0,66854000.0,11830000.0,10400000.0,9499000.0,210409000.0,142482000.0,88903000.0,94053000.0,65314000.0,10400000.0,,142482000.0,,94053000.0,11830000.0,9499000.0,142482000.0,88903000.0,66854000.0,9049000.0,142482000.0,66854000.0,142482000.0,142482000.0,142482000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,62442000.0,61903000.0,59299000.0,,,,,,,,,62442000.0,59299000.0,,,,,,59299000.0,,,,,59299000.0,,,,59299000.0,,59299000.0,59299000.0,59299000.0,CommonMetricExtracted
