,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,43346000.0,51300000.0,58422000.0,48513000.0,40862000.0,20555000.0,,,,,,,,43346000.0,58422000.0,40862000.0,,,,,43346000.0,48513000.0,,,,,58422000.0,,,,51300000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,9707000.0,9317000.0,8152000.0,,,,3927000.0,5190000.0,12698000.0,14210000.0,10559000.0,6126000.0,,,,,9707000.0,8152000.0,,3927000.0,12698000.0,10559000.0,,,9707000.0,,3927000.0,14210000.0,,,9707000.0,,12698000.0,,,8152000.0,5190000.0,,8152000.0,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,15675000.0,9559000.0,8902000.0,,,,7517000.0,10698000.0,11581000.0,12887000.0,11089000.0,8877000.0,,,,,15675000.0,8902000.0,,7517000.0,11581000.0,11089000.0,,,15675000.0,,7517000.0,12887000.0,,,15675000.0,,11581000.0,,,8902000.0,10698000.0,,8902000.0,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,21305000.0,14192000.0,13863000.0,,,,11682000.0,19071000.0,26197000.0,29870000.0,17145000.0,14085000.0,,,,,21305000.0,13863000.0,,11682000.0,26197000.0,17145000.0,,,21305000.0,,11682000.0,29870000.0,,,21305000.0,,26197000.0,,,13863000.0,19071000.0,,13863000.0,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,-14000.0,-3000.0,76000.0,-115000.0,-52000.0,196000.0,,,,,,,,-14000.0,76000.0,-52000.0,,,,,-14000.0,-115000.0,,,,,76000.0,,,,-3000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,153000.0,49000.0,68000.0,,,,80000.0,160000.0,215000.0,226000.0,158000.0,-13000.0,,,,,153000.0,68000.0,,80000.0,215000.0,158000.0,,,153000.0,,80000.0,226000.0,,,153000.0,,215000.0,,,68000.0,160000.0,,68000.0,,,CommonMetricExtracted
NetIncome,,,,,,,,,-27953000.0,-11799000.0,-2602000.0,,,,10722000.0,4165000.0,-31043000.0,-29279000.0,-24396000.0,-48697000.0,,,,,-27953000.0,-2602000.0,,10722000.0,-31043000.0,-24396000.0,,,-27953000.0,,10722000.0,-29279000.0,,,-27953000.0,,-31043000.0,,,-2602000.0,4165000.0,,-2602000.0,,,CommonMetricExtracted
Cash,,,,13966000.0,14577000.0,17856000.0,7475000.0,18873000.0,11763000.0,,,,,,,25754000.0,16078000.0,14026000.0,7125000.0,2808000.0,,13966000.0,17856000.0,18873000.0,,,,25754000.0,14026000.0,2808000.0,14577000.0,18873000.0,,,16078000.0,2808000.0,13966000.0,18873000.0,,25754000.0,2808000.0,14577000.0,,,2808000.0,,2808000.0,2808000.0,2808000.0,CommonMetricExtracted
CurrentReceivables,,,,,,29812000.0,8525000.0,8953000.0,7563000.0,,,,,,,12347000.0,10590000.0,10501000.0,7912000.0,5721000.0,,,29812000.0,8953000.0,,,,12347000.0,10501000.0,5721000.0,,8953000.0,,,10590000.0,5721000.0,,8953000.0,,12347000.0,5721000.0,,,,5721000.0,,5721000.0,5721000.0,5721000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,1167000.0,1138000.0,903000.0,871000.0,,,,,,,1189000.0,1988000.0,1983000.0,1843000.0,1467000.0,,,1167000.0,903000.0,,,,1189000.0,1983000.0,1467000.0,,903000.0,,,1988000.0,1467000.0,,903000.0,,1189000.0,1467000.0,,,,1467000.0,,1467000.0,1467000.0,1467000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,109336000.0,64245000.0,43003000.0,24293000.0,,,,,,,39290000.0,28656000.0,26510000.0,16880000.0,9996000.0,,,109336000.0,43003000.0,,,,39290000.0,26510000.0,9996000.0,,43003000.0,,,28656000.0,9996000.0,,43003000.0,,39290000.0,9996000.0,,,,9996000.0,,9996000.0,9996000.0,9996000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,11623000.0,15482000.0,11211000.0,7023000.0,,,,,,,2170000.0,2698000.0,1498000.0,883000.0,538000.0,,,11623000.0,11211000.0,,,,2170000.0,1498000.0,538000.0,,11211000.0,,,2698000.0,538000.0,,11211000.0,,2170000.0,538000.0,,,,538000.0,,538000.0,538000.0,538000.0,CommonMetricExtracted
Goodwill,,,,,,94231000.0,0.0,,,,,,,,,12266000.0,35041000.0,35041000.0,35041000.0,11052000.0,,,94231000.0,,,,,12266000.0,35041000.0,11052000.0,,,,,35041000.0,11052000.0,,,,12266000.0,11052000.0,,,,11052000.0,,11052000.0,11052000.0,11052000.0,CommonMetricExtracted
IntangibleAssets,,,,,,19459000.0,0.0,,,,,,,,,12698000.0,42631000.0,36320000.0,29532000.0,23597000.0,,,19459000.0,,,,,12698000.0,36320000.0,23597000.0,,,,,42631000.0,23597000.0,,,,12698000.0,23597000.0,,,,23597000.0,,23597000.0,23597000.0,23597000.0,CommonMetricExtracted
TotalAssets,,,,,,234892000.0,79941000.0,54395000.0,31538000.0,,,,,,,72903000.0,115356000.0,103581000.0,85577000.0,48046000.0,,,234892000.0,54395000.0,,,,72903000.0,103581000.0,48046000.0,,54395000.0,,,115356000.0,48046000.0,,54395000.0,,72903000.0,48046000.0,,,,48046000.0,,48046000.0,48046000.0,48046000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,4592000.0,3181000.0,1978000.0,1632000.0,,,,,,,5365000.0,7968000.0,8708000.0,6159000.0,4372000.0,,,4592000.0,1978000.0,,,,5365000.0,8708000.0,4372000.0,,1978000.0,,,7968000.0,4372000.0,,1978000.0,,5365000.0,4372000.0,,,,4372000.0,,4372000.0,4372000.0,4372000.0,CommonMetricExtracted
CurrentLiability,,,,,,14703000.0,11525000.0,8243000.0,9830000.0,,,,,,,10019000.0,11380000.0,23761000.0,10262000.0,7870000.0,,,14703000.0,8243000.0,,,,10019000.0,23761000.0,7870000.0,,8243000.0,,,11380000.0,7870000.0,,8243000.0,,10019000.0,7870000.0,,,,7870000.0,,7870000.0,7870000.0,7870000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,1924000.0,3556000.0,3490000.0,3537000.0,,,,,,,10622000.0,9895000.0,12764000.0,4922000.0,3150000.0,,,1924000.0,3490000.0,,,,10622000.0,12764000.0,3150000.0,,3490000.0,,,9895000.0,3150000.0,,3490000.0,,10622000.0,3150000.0,,,,3150000.0,,3150000.0,3150000.0,3150000.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,59000.0,117000.0,178000.0,168000.0,128000.0,,,,,,,,59000.0,178000.0,128000.0,,,,,117000.0,128000.0,,,,59000.0,128000.0,,,,128000.0,,128000.0,128000.0,128000.0,CommonMetricExtracted
ShareholderEquity,,,,165404000.0,187979000.0,218265000.0,64860000.0,42662000.0,18171000.0,,,,,,48684000.0,58716000.0,100560000.0,76379000.0,75390000.0,40756000.0,,165404000.0,218265000.0,42662000.0,,,,58716000.0,76379000.0,40756000.0,187979000.0,42662000.0,,,100560000.0,40756000.0,165404000.0,42662000.0,,58716000.0,40756000.0,187979000.0,,48684000.0,40756000.0,,40756000.0,40756000.0,40756000.0,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,,,,,,-12916000.0,-19261000.0,-6973000.0,-14295000.0,,,,,,,,,-12916000.0,-6973000.0,,,,,,-19261000.0,,,,,-12916000.0,,,,,,,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,,,,,,,,,,,-57503000.0,115000.0,132000.0,178000.0,,,,,,,,,-57503000.0,132000.0,,,,,,115000.0,,,,,-57503000.0,,,,,,,,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,,,,,,,,,,,,,60743000.0,17094000.0,-60000.0,9800000.0,,,,,,,,,60743000.0,-60000.0,,,,,,17094000.0,,,,,60743000.0,,,,,,,,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,,0.09059659484150787,0.10116959064327485,0.21734962856458184,0.2929111784470142,0.25840634330184525,0.29802967647774264,,,,,,,,0.09059659484150787,0.21734962856458184,0.25840634330184525,,,,,0.09059659484150787,0.2929111784470142,,,,,0.21734962856458184,,,,0.10116959064327485,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,,,39419000.0,46110000.0,45724000.0,34303000.0,30303000.0,14429000.0,,,,,,,,39419000.0,45724000.0,30303000.0,,,,,39419000.0,34303000.0,,,,,45724000.0,,,,46110000.0,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,,,0.9094034051584922,0.8988304093567251,0.7826503714354182,0.7070888215529858,0.7415936566981548,0.7019703235222574,,,,,,,,0.9094034051584922,0.7826503714354182,0.7415936566981548,,,,,0.9094034051584922,0.7070888215529858,,,,,0.7826503714354182,,,,0.8988304093567251,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,,,0.17341853919623496,0.20853801169590644,0.19823011879086647,0.2656401376950508,0.27137682932798196,0.43186572610070545,,,,,,,,0.17341853919623496,0.19823011879086647,0.27137682932798196,,,,,0.17341853919623496,0.2656401376950508,,,,,0.19823011879086647,,,,0.20853801169590644,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,0.26950583675540996,0.3717543859649123,0.4484098456061073,0.6157112526539278,0.4195829866379521,0.6852347360739479,,,,,,,,0.26950583675540996,0.4484098456061073,0.4195829866379521,,,,,0.26950583675540996,0.6157112526539278,,,,,0.4484098456061073,,,,0.3717543859649123,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,,,,-0.0003229825128039496,-5.847953216374269e-05,0.0013008798055527027,-0.0023704986292334015,-0.001272575987470021,0.009535392848455363,,,,,,,,-0.0003229825128039496,0.0013008798055527027,-0.001272575987470021,,,,,-0.0003229825128039496,-0.0023704986292334015,,,,,0.0013008798055527027,,,,-5.847953216374269e-05,,,,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
TaxesPercentOfOperatingMargin,,,,,,,,,,,,,,,-5.714285714285714,-53.333333333333336,2.8289473684210527,-1.9652173913043478,-3.0384615384615383,-0.0663265306122449,,,,,,,,-5.714285714285714,2.8289473684210527,-3.0384615384615383,,,,,-5.714285714285714,-1.9652173913043478,,,,,2.8289473684210527,,,,-53.333333333333336,,,,,CommonMetricCalculated
NetIncomePercentOfRevenue,,,,,,,,,,,,,,,0.2473584644488534,0.08118908382066277,-0.5313580500496389,-0.603528951002824,-0.5970339190445891,-2.3691072731695453,,,,,,,,0.2473584644488534,-0.5313580500496389,-0.5970339190445891,,,,,0.2473584644488534,-0.603528951002824,,,,,-0.5313580500496389,,,,0.08118908382066277,,,,,CommonMetricCalculated
CashPercentOfCurrentAssets,,,,,,0.16331308992463597,0.11635146704023659,0.4388763574634328,0.4842135594615733,,,,,,,0.6554848561975057,0.5610692350642099,0.5290833647680121,0.42209715639810425,0.2809123649459784,,,0.16331308992463597,0.4388763574634328,,,,0.6554848561975057,0.5290833647680121,0.2809123649459784,,0.4388763574634328,,,0.5610692350642099,0.2809123649459784,,0.4388763574634328,,0.6554848561975057,0.2809123649459784,,,,0.2809123649459784,,0.2809123649459784,0.2809123649459784,0.2809123649459784,CommonMetricCalculated
ReceivablesCurrentPercentOfCurrentAssets,,,,,,0.27266408136386916,0.13269515137364776,0.20819477710857381,0.31132424978388834,,,,,,,0.3142529905828455,0.3695561139028476,0.3961146737080347,0.46872037914691944,0.5723289315726291,,,0.27266408136386916,0.20819477710857381,,,,0.3142529905828455,0.3961146737080347,0.5723289315726291,,0.20819477710857381,,,0.3695561139028476,0.5723289315726291,,0.20819477710857381,,0.3142529905828455,0.5723289315726291,,,,0.5723289315726291,,0.5723289315726291,0.5723289315726291,0.5723289315726291,CommonMetricCalculated
PrepaidExpensesPercentOfCurrentAssets,,,,,,0.010673520158044925,0.017713440734687523,0.020998534985931214,0.03585394969744371,,,,,,,0.030262153219648764,0.06937465103294249,0.07480196152395323,0.1091824644549763,0.14675870348139256,,,0.010673520158044925,0.020998534985931214,,,,0.030262153219648764,0.07480196152395323,0.14675870348139256,,0.020998534985931214,,,0.06937465103294249,0.14675870348139256,,0.020998534985931214,,0.030262153219648764,0.14675870348139256,,,,0.14675870348139256,,0.14675870348139256,0.14675870348139256,0.14675870348139256,CommonMetricCalculated
InventoryPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
CurrentAssetsPercentOfTotaltAssets,,,,,,0.4654734942015905,0.8036551957068337,0.7905689861200478,0.770277126006722,,,,,,,0.5389352975872049,0.24841360657443046,0.2559349687684035,0.19724926089954076,0.20805061815759895,,,0.4654734942015905,0.7905689861200478,,,,0.5389352975872049,0.2559349687684035,0.20805061815759895,,0.7905689861200478,,,0.24841360657443046,0.20805061815759895,,0.7905689861200478,,0.5389352975872049,0.20805061815759895,,,,0.20805061815759895,,0.20805061815759895,0.20805061815759895,0.20805061815759895,CommonMetricCalculated
PropertyPlantEquipmentPercentOfTotaltAssets,,,,,,0.04948231527680806,0.19366783002464316,0.20610350216012502,0.22268374659141354,,,,,,,0.02976557891993471,0.023388467006484275,0.014462111777256446,0.010318192972410812,0.011197602297797943,,,0.04948231527680806,0.20610350216012502,,,,0.02976557891993471,0.014462111777256446,0.011197602297797943,,0.20610350216012502,,,0.023388467006484275,0.011197602297797943,,0.20610350216012502,,0.02976557891993471,0.011197602297797943,,,,0.011197602297797943,,0.011197602297797943,0.011197602297797943,0.011197602297797943,CommonMetricCalculated
GoodwillPercentOfTotaltAssets,,,,,,0.4011673449925923,0.0,,,,,,,,,0.16825096360917932,0.3037640001387011,0.33829563336905416,0.4094674971078678,0.23002955500978228,,,0.4011673449925923,,,,,0.16825096360917932,0.33829563336905416,0.23002955500978228,,,,,0.3037640001387011,0.23002955500978228,,,,0.16825096360917932,0.23002955500978228,,,,0.23002955500978228,,0.23002955500978228,0.23002955500978228,0.23002955500978228,CommonMetricCalculated
IntangibleAssetsPercentOfTotaltAssets,,,,,,0.08284232753776204,0.0,,,,,,,,,0.174176645679876,0.3695603176254378,0.35064345777700545,0.34509272351215864,0.4911334970653124,,,0.08284232753776204,,,,,0.174176645679876,0.35064345777700545,0.4911334970653124,,,,,0.3695603176254378,0.4911334970653124,,,,0.174176645679876,0.4911334970653124,,,,0.4911334970653124,,0.4911334970653124,0.4911334970653124,0.4911334970653124,CommonMetricCalculated
ShorttermDebtPercentOfCurrentLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
PayablesAndAccruedExpensesPercentOfCurrentLiability,,,,,,0.3123172141739781,0.27600867678958785,0.23996117918233653,0.16602238046795523,,,,,,,0.5354825830921249,0.7001757469244289,0.36648289213416946,0.6001754044045995,0.5555273189326556,,,0.3123172141739781,0.23996117918233653,,,,0.5354825830921249,0.36648289213416946,0.5555273189326556,,0.23996117918233653,,,0.7001757469244289,0.5555273189326556,,0.23996117918233653,,0.5354825830921249,0.5555273189326556,,,,0.5555273189326556,,0.5555273189326556,0.5555273189326556,0.5555273189326556,CommonMetricCalculated
CurrentLiabilityPercentOfTotalLiability,,,,,,,,,,,,,,,,169.8135593220339,97.26495726495726,133.48876404494382,61.083333333333336,61.484375,,,,,,,,169.8135593220339,133.48876404494382,61.484375,,,,,97.26495726495726,61.484375,,,,169.8135593220339,61.484375,,,,61.484375,,61.484375,61.484375,61.484375,CommonMetricCalculated
LongtermDebtPercentOfTotalLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
LongtermLiabilityPercentOfTotalLiability,,,,,,,,,,,,,,,,180.03389830508473,84.57264957264957,71.70786516853933,29.297619047619047,24.609375,,,,,,,,180.03389830508473,71.70786516853933,24.609375,,,,,84.57264957264957,24.609375,,,,180.03389830508473,24.609375,,,,24.609375,,24.609375,24.609375,24.609375,CommonMetricCalculated
TotalLiabilitiesPercentOfTotalAssets,,,,,,0.008190998416293446,0.04448280606947624,0.06416030885191654,0.11215042171348849,,,,,,,0.14570045128458362,0.0857779395956864,0.12322723279365908,0.05751545391869311,0.06556216958747867,,,0.008190998416293446,0.06416030885191654,,,,0.14570045128458362,0.12322723279365908,0.06556216958747867,,0.06416030885191654,,,0.0857779395956864,0.06556216958747867,,0.06416030885191654,,0.14570045128458362,0.06556216958747867,,,,0.06556216958747867,,0.06556216958747867,0.06556216958747867,0.06556216958747867,CommonMetricCalculated
EquityPercentOfTotalAssets,,,,,,0.9292142771997344,0.811348369422449,0.784300027576064,0.5761620901769294,,,,,,,0.8053989547755236,0.8717361905752626,0.7373842693158011,0.8809610058777475,0.8482704075261208,,,0.9292142771997344,0.784300027576064,,,,0.8053989547755236,0.7373842693158011,0.8482704075261208,,0.784300027576064,,,0.8717361905752626,0.8482704075261208,,0.784300027576064,,0.8053989547755236,0.8482704075261208,,,,0.8482704075261208,,0.8482704075261208,0.8482704075261208,0.8482704075261208,CommonMetricCalculated
NetCashFlow,,,,,,,,,,,,,,,,,-9676000.0,-2052000.0,-6901000.0,-4317000.0,,,,,,,,,-9676000.0,-6901000.0,,,,,,-2052000.0,,,,,-9676000.0,,,,,,,,,CommonMetricCalculated
OperatingCashFlowPercentOfNetCashFlow,,,,,,,,,,,,,,,,,1.3348491112029763,9.3864522417154,1.0104332705405015,3.3113273106323837,,,,,,,,,1.3348491112029763,1.0104332705405015,,,,,,9.3864522417154,,,,,1.3348491112029763,,,,,,,,,CommonMetricCalculated
CapitalExpendituresPercentOfInvestingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
InvestingCashFlowPercentOfNetCashFlow,,,,,,,,,,,,,,,,,5.942848284415048,-0.05604288499025341,-0.019127662657585857,-0.04123233727125319,,,,,,,,,5.942848284415048,-0.019127662657585857,,,,,,-0.05604288499025341,,,,,5.942848284415048,,,,,,,,,CommonMetricCalculated
DividendsPaidPercentOfFinancingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
FinancingCashFlowPercentOfNetCashFlow,,,,,,,,,,,,,,,,,-6.2776973956180235,-8.330409356725147,0.00869439211708448,-2.27009497336113,,,,,,,,,-6.2776973956180235,0.00869439211708448,,,,,,-8.330409356725147,,,,,-6.2776973956180235,,,,,,,,,CommonMetricCalculated
NetCashFlowPercentOfNetIncome,,,,,,,,,,,,,,,,,0.31169667880037366,0.07008436080467229,0.28287424167896374,0.08865022485984762,,,,,,,,,0.31169667880037366,0.28287424167896374,,,,,,0.07008436080467229,,,,,0.31169667880037366,,,,,,,,,CommonMetricCalculated
FreeCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
FreeCashFlowPercentOfNetProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
NetOperatingProfitAfterTaxes,,,,,,,,,,,,,,,-94000.0,-163000.0,-139000.0,-341000.0,-210000.0,209000.0,,,,,,,,-94000.0,-139000.0,-210000.0,,,,,-94000.0,-341000.0,,,,,-139000.0,,,,-163000.0,,,,,CommonMetricCalculated
NetWorkingCapital,,,,,,94633000.0,52720000.0,34760000.0,14463000.0,,,,,,,29271000.0,17276000.0,2749000.0,6618000.0,2126000.0,,,94633000.0,34760000.0,,,,29271000.0,2749000.0,2126000.0,,34760000.0,,,17276000.0,2126000.0,,34760000.0,,29271000.0,2126000.0,,,,2126000.0,,2126000.0,2126000.0,2126000.0,CommonMetricCalculated
InvestedCapital,,,,,,106256000.0,68202000.0,45971000.0,21486000.0,,,,,,,31441000.0,19974000.0,4247000.0,7501000.0,2664000.0,,,106256000.0,45971000.0,,,,31441000.0,4247000.0,2664000.0,,45971000.0,,,19974000.0,2664000.0,,45971000.0,,31441000.0,2664000.0,,,,2664000.0,,2664000.0,2664000.0,2664000.0,CommonMetricCalculated
ReturnOnInvestedCapital,,,,,,,,,,,,,,,,-0.005184313476034477,-0.0069590467607890255,-0.08029197080291971,-0.027996267164378082,0.07845345345345345,,,,,,,,-0.0029897267898603736,-0.03272898516599953,-0.07882882882882883,,,,,-0.004706117953339341,-0.128003003003003,,,,,-0.052177177177177174,,,,-0.06118618618618619,,,,,CommonMetricCalculated
ReturnOnAssets,,,,,,,,,-0.8863276047942165,,,,,,,0.057130707926971454,-0.26910607163909983,-0.2826676707118101,-0.28507659768395716,-1.0135495150480789,,,,,,,,0.14707213694909674,-0.2996978210289532,-0.5077633934146443,,,,,0.09294705086861542,-0.6093951629688216,,,,,-0.6461099779378096,,,,0.08668775756566624,,-0.054156433417974444,,,CommonMetricCalculated
ReturnOnEquity,,,,,,,,,-1.5383303065323868,,,,,,0.22023662805028346,0.07093466857415355,-0.3087012728719173,-0.38333835216486206,-0.32359729407083165,-1.194842477181274,,,,,,,,0.18260780707132637,-0.4064337055997067,-0.5985867111590931,,,,,0.10662291169451074,-0.7183972911963883,,,,,-0.7616792619491609,,,-0.053446717607427495,0.10219354205515753,,-0.06384336048679949,,,CommonMetricCalculated
TotalAssetTurnover,,,,,,,,,,,,,,,,0.7036747458952306,0.5064495995006761,0.4683580965621108,0.4774881101230471,0.4278191732922616,,,,,,,,0.594570868139857,0.5640223593130014,0.8504766265662074,,,,,0.3757585214466521,1.0097198518086834,,,,,1.2159597052824376,,,,1.067726761853224,,,,,CommonMetricCalculated
PropertyPlantEquipmentTurnover,,,,,,,,,,,,,,,,23.640552995391705,21.653817642698296,32.38518024032043,46.276330690826725,38.20631970260223,,,,,,,,19.97511520737327,39.0,75.95167286245353,,,,,16.065974796145294,90.1728624535316,,,,,108.59107806691449,,,,95.35315985130111,,,,,CommonMetricCalculated
CashTurnover,,,,,,,,,,,,,,,,1.991923584685874,3.6336609030974003,3.4587908170540427,5.735017543859649,7.320156695156695,,,,,,,,1.6830783567601149,4.165264508769428,14.551994301994302,,,,,2.695982087324294,17.2767094017094,,,,,20.805555555555557,,,,18.26923076923077,,,,,CommonMetricCalculated
AccountsReceivableTurnover,,,,,,,,,,,,,,,,4.15485543046894,5.51671388101983,4.619845728978192,5.164560161779575,3.592903338577172,,,,,,,,3.510650360411436,5.56347014570041,7.142457612305541,,,,,4.093106704438149,8.479811221814368,,,,,10.21185107498689,,,,8.96696381751442,,,,,CommonMetricCalculated
InventoryTurnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
PayablesAndAccruedExpensesTurnover,,,,,,,,,,,,,,,,9.56197576887232,7.332078313253012,5.5710840606339,6.6345185906803055,4.701509606587374,,,,,,,,8.079403541472507,6.709003215434084,9.346294602012808,,,,,5.440010040160643,11.096294602012808,,,,,13.362763037511437,,,,11.733760292772187,,,,,CommonMetricCalculated
