,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,44718030.0,54139330.0,22986881.0,,,,,,,,,,54139330.0,,,,,,44718030.0,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,37236493.0,42990393.0,20672306.0,,,,,,,,,,42990393.0,,,,,,37236493.0,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,1081264.0,1157793.0,517058.0,,,,,,,,,,1157793.0,,,,,,1081264.0,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,-616117.0,499472.0,-144504.0,,,,,,,,,,499472.0,,,,,,-616117.0,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,1826934.0,1576749.0,1565732.0,,,,,,,,,,1576749.0,,,,,,1826934.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,41432.0,-64194.0,1663830.0,,,,,,,,,,-64194.0,,,,,,41432.0,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,-6873278.0,434786.0,-34962336.0,,,,,,,,,,434786.0,,,,,,-6873278.0,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,9886195.0,3821952.0,2539312.0,786333.0,,,,,,,,,3821952.0,786333.0,,,,,9886195.0,786333.0,,,,,786333.0,,,,786333.0,,786333.0,786333.0,786333.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,13335370.0,15491758.0,10207595.0,,,,,,,,,13335370.0,10207595.0,,,,,,10207595.0,,,,,10207595.0,,,,10207595.0,,10207595.0,10207595.0,10207595.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,3404902.0,1341397.0,1302568.0,,,,,,,,,3404902.0,1302568.0,,,,,,1302568.0,,,,,1302568.0,,,,1302568.0,,1302568.0,1302568.0,1302568.0,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,29085845.0,19921585.0,20949859.0,,,,,,,,,29085845.0,20949859.0,,,,,,20949859.0,,,,,20949859.0,,,,20949859.0,,20949859.0,20949859.0,20949859.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,444173.0,291416.0,200889.0,,,,,,,,,444173.0,200889.0,,,,,,200889.0,,,,,200889.0,,,,200889.0,,200889.0,200889.0,200889.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,8432901.0,7774472.0,7584779.0,0.0,,,,,,,,,7774472.0,0.0,,,,,8432901.0,0.0,,,,,0.0,,,,0.0,,0.0,0.0,0.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,,61478228.0,48655201.0,38629891.0,,,,,,,,,61478228.0,38629891.0,,,,,,38629891.0,,,,,38629891.0,,,,38629891.0,,38629891.0,38629891.0,38629891.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,10500000.0,11358658.0,5358658.0,,,,,,,,,10500000.0,5358658.0,,,,,,5358658.0,,,,,5358658.0,,,,5358658.0,,5358658.0,5358658.0,5358658.0,CommonMetricExtracted
