,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,9378000.0,9237000.0,10534000.0,12284000.0,6406000.0,12757000.0,,,,,,,,9378000.0,10534000.0,6406000.0,,,,,9378000.0,12284000.0,,,,,10534000.0,,,,9237000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,5005000.0,8950000.0,,,,,,,,,,5005000.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,1282000.0,1095000.0,1284000.0,1543000.0,1610000.0,1969000.0,,,2737000.0,2104000.0,2108000.0,2507000.0,2052000.0,2873000.0,,,,1282000.0,1284000.0,1610000.0,,2737000.0,2108000.0,2052000.0,,,1284000.0,1969000.0,2737000.0,2507000.0,,,1284000.0,,2108000.0,,,1610000.0,2104000.0,,1610000.0,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,1273000.0,763000.0,835000.0,909000.0,946000.0,-165000.0,,,,,,,826000.0,2777000.0,,,,1273000.0,835000.0,946000.0,,,,826000.0,,,835000.0,-165000.0,,,,,835000.0,,,,,946000.0,,,946000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,0.0,5000.0,103000.0,108000.0,177000.0,,,,,,,,,5000.0,108000.0,,,,,,103000.0,,,,,5000.0,,,,0.0,,,,,CommonMetricExtracted
Taxes,,,,,,,12000.0,17000.0,11000.0,13000.0,19000.0,0.0,,,,,,,0.0,3024000.0,,,,12000.0,11000.0,19000.0,,,,0.0,,,11000.0,0.0,,,,,11000.0,,,,,19000.0,,,19000.0,,,CommonMetricExtracted
NetIncome,,,,,,,1261000.0,746000.0,824000.0,896000.0,927000.0,-165000.0,,,-1440000.0,-606000.0,1381000.0,3508000.0,826000.0,5801000.0,,,,1261000.0,824000.0,927000.0,,-1440000.0,1381000.0,826000.0,,,824000.0,-165000.0,-1440000.0,3508000.0,,,824000.0,,1381000.0,,,927000.0,-606000.0,,927000.0,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,4088000.0,1447000.0,2217000.0,,,,,,,,,4088000.0,2217000.0,,,,,,2217000.0,,,,,2217000.0,,,,2217000.0,,2217000.0,2217000.0,2217000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,937000.0,770000.0,1081000.0,785000.0,1018000.0,528000.0,,,1829000.0,1379000.0,1306000.0,1591000.0,784000.0,2826000.0,,,,770000.0,785000.0,528000.0,,1379000.0,1591000.0,2826000.0,,770000.0,1018000.0,,1306000.0,2826000.0,,770000.0,528000.0,1379000.0,2826000.0,,785000.0,1829000.0,2826000.0,785000.0,2826000.0,2826000.0,2826000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,142000.0,168000.0,155000.0,123000.0,184000.0,,,156000.0,118000.0,372000.0,196000.0,203000.0,532000.0,,,,142000.0,155000.0,184000.0,,118000.0,196000.0,532000.0,,142000.0,123000.0,,372000.0,532000.0,,142000.0,184000.0,118000.0,532000.0,,155000.0,156000.0,532000.0,155000.0,532000.0,532000.0,532000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,2415000.0,4132000.0,,,,,,,,,,4132000.0,,,,,,4132000.0,,,,,4132000.0,,,,4132000.0,,4132000.0,4132000.0,4132000.0,CommonMetricExtracted
CurrentAssets,,,,,,,11014000.0,11493000.0,11752000.0,12142000.0,13129000.0,11757000.0,,,6416000.0,5863000.0,8432000.0,8819000.0,7730000.0,10611000.0,,,,11493000.0,12142000.0,11757000.0,,5863000.0,8819000.0,10611000.0,,11493000.0,13129000.0,,8432000.0,10611000.0,,11493000.0,11757000.0,5863000.0,10611000.0,,12142000.0,6416000.0,10611000.0,12142000.0,10611000.0,10611000.0,10611000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,723000.0,671000.0,592000.0,558000.0,458000.0,436000.0,,,517000.0,405000.0,281000.0,4926000.0,7360000.0,7356000.0,,,,671000.0,558000.0,436000.0,,405000.0,4926000.0,7356000.0,,671000.0,458000.0,,281000.0,7356000.0,,671000.0,436000.0,405000.0,7356000.0,,558000.0,517000.0,7356000.0,558000.0,7356000.0,7356000.0,7356000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,0.0,3114000.0,,,,,,,,,,3114000.0,,,,,,3114000.0,,,,,3114000.0,,,,3114000.0,,3114000.0,3114000.0,3114000.0,CommonMetricExtracted
