,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,9914312.0,12052893.0,9542354.0,10278938.0,10849475.0,11833730.0,9724553.0,11008444.0,11609599.0,15354619.0,14832877.0,17132710.0,15058203.0,19699886.0,,,,9914312.0,9542354.0,10849475.0,9724553.0,11609599.0,14832877.0,15058203.0,,,9542354.0,11833730.0,11609599.0,17132710.0,,,9542354.0,9724553.0,14832877.0,,,10849475.0,15354619.0,,10849475.0,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,5142229.0,5886667.0,5010093.0,5545471.0,5634365.0,6195953.0,5272050.0,5711951.0,6361353.0,8041378.0,7835837.0,8520156.0,7406196.0,9855311.0,,,,5142229.0,5010093.0,5634365.0,5272050.0,6361353.0,7835837.0,7406196.0,,,5010093.0,6195953.0,6361353.0,8520156.0,,,5010093.0,5272050.0,7835837.0,,,5634365.0,8041378.0,,5634365.0,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,2180268.0,2398367.0,2214750.0,1957960.0,2153407.0,2371064.0,2217218.0,2516461.0,2686382.0,3403133.0,2789880.0,3367403.0,3169730.0,3695870.0,,,,2180268.0,2214750.0,2153407.0,2217218.0,2686382.0,2789880.0,3169730.0,,,2214750.0,2371064.0,2686382.0,3367403.0,,,2214750.0,2217218.0,2789880.0,,,2153407.0,3403133.0,,2153407.0,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,823089.0,1128729.0,894481.0,885101.0,1015614.0,1268010.0,1275902.0,1280308.0,1324766.0,1427543.0,1644598.0,1729509.0,2149525.0,2885773.0,,,,823089.0,894481.0,1015614.0,1275902.0,1324766.0,1644598.0,2149525.0,,,894481.0,1268010.0,1324766.0,1729509.0,,,894481.0,1275902.0,1644598.0,,,1015614.0,1427543.0,,1015614.0,,,CommonMetricExtracted
OperatingMargin,,,,,,,608445.0,1141774.0,57845.0,614964.0,825557.0,742452.0,76332.0,460063.0,181434.0,1213447.0,1347867.0,2904204.0,789914.0,1744580.0,,,,608445.0,57845.0,825557.0,76332.0,181434.0,1347867.0,789914.0,,,57845.0,742452.0,181434.0,2904204.0,,,57845.0,76332.0,1347867.0,,,825557.0,1213447.0,,825557.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,14500.0,-290519.0,-74406.0,130490.0,219424.0,194723.0,-19374.0,91856.0,19847.0,106005.0,227225.0,361631.0,154009.0,303117.0,,,,14500.0,-74406.0,219424.0,-19374.0,19847.0,227225.0,154009.0,,,-74406.0,194723.0,19847.0,361631.0,,,-74406.0,-19374.0,227225.0,,,219424.0,106005.0,,219424.0,,,CommonMetricExtracted
NetIncome,,,,,,,593945.0,1432293.0,132251.0,484474.0,606133.0,547729.0,95706.0,368207.0,161587.0,1107442.0,1120642.0,2542573.0,635905.0,1441463.0,,,,593945.0,132251.0,606133.0,95706.0,161587.0,1120642.0,635905.0,,,132251.0,547729.0,161587.0,2542573.0,,,132251.0,95706.0,1120642.0,,,606133.0,1107442.0,,606133.0,,,CommonMetricExtracted
Cash,,,,,,1787516.0,1683801.0,2531689.0,1940906.0,3232021.0,2562782.0,2388355.0,2557223.0,2016464.0,3144123.0,3659551.0,4084078.0,4840558.0,3354601.0,2134786.0,,,1787516.0,2531689.0,3232021.0,2388355.0,2016464.0,3659551.0,4840558.0,2134786.0,,2531689.0,2562782.0,2016464.0,4084078.0,2134786.0,,2531689.0,2388355.0,3659551.0,2134786.0,,3232021.0,3144123.0,2134786.0,3232021.0,2134786.0,2134786.0,2134786.0,CommonMetricExtracted
CurrentReceivables,,,,,,,976339.0,754605.0,941032.0,860296.0,1029250.0,1214713.0,1150801.0,774778.0,1397891.0,929701.0,1757802.0,1092505.0,1633866.0,1470711.0,,,,754605.0,860296.0,1214713.0,774778.0,929701.0,1092505.0,1470711.0,,754605.0,1029250.0,774778.0,1757802.0,1470711.0,,754605.0,1214713.0,929701.0,1470711.0,,860296.0,1397891.0,1470711.0,860296.0,1470711.0,1470711.0,1470711.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,131404.0,112392.0,79605.0,160373.0,94487.0,109954.0,127276.0,139406.0,395005.0,153698.0,151316.0,323304.0,254046.0,207738.0,,,,112392.0,160373.0,109954.0,139406.0,153698.0,323304.0,207738.0,,112392.0,94487.0,139406.0,151316.0,207738.0,,112392.0,109954.0,153698.0,207738.0,,160373.0,395005.0,207738.0,160373.0,207738.0,207738.0,207738.0,CommonMetricExtracted
Inventory,,,,,,,1868144.0,2559128.0,1829171.0,1674815.0,2059177.0,1945383.0,1340684.0,1354083.0,1658016.0,2381891.0,2611106.0,2373242.0,3242909.0,5221980.0,,,,2559128.0,1674815.0,1945383.0,1354083.0,2381891.0,2373242.0,5221980.0,,2559128.0,2059177.0,1354083.0,2611106.0,5221980.0,,2559128.0,1945383.0,2381891.0,5221980.0,,1674815.0,1658016.0,5221980.0,1674815.0,5221980.0,5221980.0,5221980.0,CommonMetricExtracted
CurrentAssets,,,,,,,4908788.0,6211801.0,5766624.0,6558299.0,7639181.0,7509008.0,7833339.0,8690631.0,8960741.0,11344081.0,13167772.0,14497599.0,16575422.0,18746566.0,,,,6211801.0,6558299.0,7509008.0,8690631.0,11344081.0,14497599.0,18746566.0,,6211801.0,7639181.0,8690631.0,13167772.0,18746566.0,,6211801.0,7509008.0,11344081.0,18746566.0,,6558299.0,8960741.0,18746566.0,6558299.0,18746566.0,18746566.0,18746566.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,79150.0,83455.0,142523.0,171828.0,175412.0,174027.0,153326.0,136576.0,122941.0,106291.0,95456.0,76015.0,57202.0,47566.0,,,,83455.0,171828.0,174027.0,136576.0,106291.0,76015.0,47566.0,,83455.0,175412.0,136576.0,95456.0,47566.0,,83455.0,174027.0,106291.0,47566.0,,171828.0,122941.0,47566.0,171828.0,47566.0,47566.0,47566.0,CommonMetricExtracted
TotalAssets,,,,,,,7938865.0,9478273.0,9066444.0,9779161.0,10741629.0,10669537.0,10735936.0,11779334.0,12200178.0,14743325.0,16423391.0,17625534.0,20174718.0,23132265.0,,,,9478273.0,9779161.0,10669537.0,11779334.0,14743325.0,17625534.0,23132265.0,,9478273.0,10741629.0,11779334.0,16423391.0,23132265.0,,9478273.0,10669537.0,14743325.0,23132265.0,,9779161.0,12200178.0,23132265.0,9779161.0,23132265.0,23132265.0,23132265.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
