,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,15353000000.0,17127000000.0,15743000000.0,17456000000.0,17657000000.0,16537000000.0,17087000000.0,18467000000.0,17489000000.0,19896000000.0,23031000000.0,23495000000.0,21419000000.0,20375000000.0,23113000000.0,29279000000.0,25253000000.0,26724000000.0,,15353000000.0,15743000000.0,17657000000.0,17087000000.0,17489000000.0,23031000000.0,21419000000.0,23113000000.0,25253000000.0,15353000000.0,17456000000.0,17087000000.0,19896000000.0,21419000000.0,29279000000.0,,15743000000.0,17087000000.0,23031000000.0,23113000000.0,,17456000000.0,17489000000.0,20375000000.0,,17489000000.0,17456000000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,3326000000.0,3506000000.0,3268000000.0,3802000000.0,4231000000.0,4463000000.0,3255000000.0,3642000000.0,4282000000.0,4629000000.0,2551000000.0,4191000000.0,7736000000.0,4885000000.0,3698000000.0,5370000000.0,5826000000.0,7068000000.0,,3326000000.0,3268000000.0,4231000000.0,3255000000.0,4282000000.0,2551000000.0,7736000000.0,3698000000.0,5826000000.0,3326000000.0,3802000000.0,3255000000.0,4629000000.0,7736000000.0,5370000000.0,,3268000000.0,3255000000.0,2551000000.0,3698000000.0,,3802000000.0,4282000000.0,4885000000.0,,4282000000.0,3802000000.0,,CommonMetricExtracted
Interest,,,886000000.0,866000000.0,905000000.0,895000000.0,857000000.0,859000000.0,824000000.0,835000000.0,840000000.0,1317000000.0,1694000000.0,1842000000.0,1736000000.0,1821000000.0,1837000000.0,2022000000.0,2446000000.0,2743000000.0,,886000000.0,905000000.0,857000000.0,824000000.0,840000000.0,1694000000.0,1736000000.0,1837000000.0,2446000000.0,886000000.0,895000000.0,824000000.0,1317000000.0,1736000000.0,2022000000.0,,905000000.0,824000000.0,1694000000.0,1837000000.0,,895000000.0,840000000.0,1821000000.0,,840000000.0,895000000.0,,CommonMetricExtracted
Taxes,,,741000000.0,797000000.0,818000000.0,869000000.0,901000000.0,914000000.0,934000000.0,981000000.0,997000000.0,1113000000.0,1250000000.0,1315000000.0,1230000000.0,1234000000.0,1290000000.0,1411000000.0,1425000000.0,1540000000.0,,741000000.0,818000000.0,901000000.0,934000000.0,997000000.0,1250000000.0,1230000000.0,1290000000.0,1425000000.0,741000000.0,869000000.0,934000000.0,1113000000.0,1230000000.0,1411000000.0,,818000000.0,934000000.0,1250000000.0,1290000000.0,,869000000.0,997000000.0,1234000000.0,,997000000.0,869000000.0,,CommonMetricExtracted
NetIncome,,,1782000000.0,1807000000.0,1708000000.0,2040000000.0,2268000000.0,2415000000.0,1710000000.0,2031000000.0,2435000000.0,2529000000.0,926000000.0,2300000000.0,4744000000.0,3103000000.0,2309000000.0,3428000000.0,3849000000.0,4260000000.0,,1782000000.0,1708000000.0,2268000000.0,1710000000.0,2435000000.0,926000000.0,4744000000.0,2309000000.0,3849000000.0,1782000000.0,2040000000.0,1710000000.0,2529000000.0,4744000000.0,3428000000.0,,1708000000.0,1710000000.0,926000000.0,2309000000.0,,2040000000.0,2435000000.0,3103000000.0,,2435000000.0,2040000000.0,,CommonMetricExtracted
Cash,,167000000.0,201000000.0,417000000.0,690000000.0,447000000.0,1315000000.0,628000000.0,659000000.0,710000000.0,1404000000.0,1975000000.0,2130000000.0,1396000000.0,1975000000.0,1065000000.0,1798000000.0,1917000000.0,748000000.0,1070000000.0,167000000.0,417000000.0,447000000.0,628000000.0,710000000.0,1975000000.0,1396000000.0,1065000000.0,1917000000.0,1070000000.0,690000000.0,628000000.0,1404000000.0,1396000000.0,1798000000.0,1070000000.0,417000000.0,628000000.0,1975000000.0,1065000000.0,1070000000.0,690000000.0,710000000.0,1975000000.0,1070000000.0,710000000.0,1070000000.0,1070000000.0,1070000000.0,CommonMetricExtracted
CurrentReceivables,,,,1080000000.0,978000000.0,1165000000.0,1100000000.0,978000000.0,1045000000.0,1108000000.0,1071000000.0,1626000000.0,1850000000.0,1776000000.0,1663000000.0,1871000000.0,1884000000.0,2846000000.0,2617000000.0,2899000000.0,,1080000000.0,1165000000.0,978000000.0,1108000000.0,1626000000.0,1776000000.0,1871000000.0,2846000000.0,2899000000.0,978000000.0,978000000.0,1071000000.0,1776000000.0,1884000000.0,2899000000.0,1080000000.0,978000000.0,1626000000.0,1871000000.0,2899000000.0,978000000.0,1108000000.0,1663000000.0,2899000000.0,1108000000.0,2899000000.0,2899000000.0,2899000000.0,CommonMetricExtracted
