,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,1472300000.0,1425800000.0,1538600000.0,1525400000.0,1559500000.0,1219500000.0,1460900000.0,1741200000.0,1983900000.0,,,,,,,1425800000.0,1525400000.0,1219500000.0,1741200000.0,,,,1472300000.0,1525400000.0,1460900000.0,,,,1425800000.0,1219500000.0,,,,1559500000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,4061200000.0,3426000000.0,3454000000.0,3926600000.0,3725200000.0,3392300000.0,3357500000.0,1426900000.0,1096500000.0,1095600000.0,1127900000.0,1084300000.0,1080600000.0,787700000.0,937000000.0,1071200000.0,1184500000.0,,,3426000000.0,3926600000.0,3392300000.0,1426900000.0,1095600000.0,1084300000.0,787700000.0,1071200000.0,,3454000000.0,3392300000.0,1096500000.0,1084300000.0,937000000.0,,3426000000.0,3392300000.0,1095600000.0,787700000.0,,3454000000.0,1426900000.0,1080600000.0,,1426900000.0,3454000000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,1127900000.0,959200000.0,1024400000.0,1103000000.0,1120900000.0,963900000.0,1068700000.0,425700000.0,301000000.0,282300000.0,292600000.0,318500000.0,320000000.0,309600000.0,355700000.0,394400000.0,414600000.0,,,959200000.0,1103000000.0,963900000.0,425700000.0,282300000.0,318500000.0,309600000.0,394400000.0,,1024400000.0,963900000.0,301000000.0,318500000.0,355700000.0,,959200000.0,963900000.0,282300000.0,309600000.0,,1024400000.0,425700000.0,320000000.0,,425700000.0,1024400000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,471600000.0,171000000.0,343200000.0,338900000.0,9000000.0,345100000.0,201900000.0,-122200000.0,70000000.0,59900000.0,112500000.0,114000000.0,132000000.0,73700000.0,51000000.0,221900000.0,308300000.0,,,171000000.0,338900000.0,345100000.0,-122200000.0,59900000.0,114000000.0,73700000.0,221900000.0,,343200000.0,345100000.0,70000000.0,114000000.0,51000000.0,,171000000.0,345100000.0,59900000.0,73700000.0,,343200000.0,-122200000.0,132000000.0,,-122200000.0,343200000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,9300000.0,27200000.0,45700000.0,,,,,,,,,,27200000.0,,,,,,9300000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,152300000.0,47100000.0,53100000.0,34400000.0,31900000.0,60300000.0,214100000.0,-2700000.0,9100000.0,-47900000.0,2600000.0,13900000.0,15800000.0,10900000.0,7300000.0,41600000.0,53600000.0,,,47100000.0,34400000.0,60300000.0,-2700000.0,-47900000.0,13900000.0,10900000.0,41600000.0,,53100000.0,60300000.0,9100000.0,13900000.0,7300000.0,,47100000.0,60300000.0,-47900000.0,10900000.0,,53100000.0,-2700000.0,15800000.0,,-2700000.0,53100000.0,,CommonMetricExtracted
NetIncome,,,,247900000.0,31700000.0,205600000.0,180600000.0,,,393400000.0,-82700000.0,-67200000.0,89300000.0,81200000.0,65300000.0,99000000.0,425400000.0,200000.0,89900000.0,200500000.0,,,31700000.0,180600000.0,,-82700000.0,89300000.0,65300000.0,425400000.0,89900000.0,,205600000.0,,-67200000.0,65300000.0,200000.0,,31700000.0,,89300000.0,425400000.0,,205600000.0,-82700000.0,99000000.0,,-82700000.0,205600000.0,,CommonMetricExtracted
Cash,,,354100000.0,475900000.0,522900000.0,455400000.0,551000000.0,984100000.0,691800000.0,427600000.0,101400000.0,99600000.0,124300000.0,,,68300000.0,388200000.0,147800000.0,99400000.0,156900000.0,,475900000.0,455400000.0,984100000.0,427600000.0,99600000.0,,68300000.0,147800000.0,156900000.0,522900000.0,984100000.0,101400000.0,,388200000.0,156900000.0,475900000.0,984100000.0,99600000.0,68300000.0,156900000.0,522900000.0,427600000.0,,156900000.0,427600000.0,156900000.0,156900000.0,156900000.0,CommonMetricExtracted
CurrentReceivables,,,,,1044700000.0,1164800000.0,1416300000.0,1333000000.0,1210400000.0,1067400000.0,367000000.0,251700000.0,267500000.0,231500000.0,,271800000.0,223400000.0,263500000.0,279800000.0,313600000.0,,,1164800000.0,1333000000.0,1067400000.0,251700000.0,231500000.0,271800000.0,263500000.0,313600000.0,1044700000.0,1333000000.0,367000000.0,231500000.0,223400000.0,313600000.0,,1333000000.0,251700000.0,271800000.0,313600000.0,1044700000.0,1067400000.0,,313600000.0,1067400000.0,313600000.0,313600000.0,313600000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,559300000.0,564300000.0,719600000.0,555600000.0,505900000.0,497800000.0,170700000.0,145700000.0,143000000.0,102800000.0,,162000000.0,189800000.0,244000000.0,276700000.0,271000000.0,,,564300000.0,555600000.0,497800000.0,145700000.0,102800000.0,162000000.0,244000000.0,271000000.0,559300000.0,555600000.0,170700000.0,102800000.0,189800000.0,271000000.0,,555600000.0,145700000.0,162000000.0,271000000.0,559300000.0,497800000.0,,271000000.0,497800000.0,271000000.0,271000000.0,271000000.0,CommonMetricExtracted
