,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,17668967.0,19563122.0,19902410.0,,32452112.0,33374142.0,32344013.0,28641111.0,24351792.0,19231109.0,17764281.0,17635614.0,18925275.0,,,,,19563122.0,,33374142.0,28641111.0,19231109.0,17635614.0,,,19563122.0,32452112.0,28641111.0,17764281.0,,,19563122.0,33374142.0,19231109.0,,,,24351792.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,31141558.0,27467410.0,23444119.0,18420257.0,17203310.0,17392397.0,18523813.0,,,,,,,,27467410.0,18420257.0,17392397.0,,,,,27467410.0,17203310.0,,,,,18420257.0,,,,23444119.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,213860.0,208681.0,518567.0,611263.0,370884.0,-47620.0,1215873.0,-335780.0,60855.0,,,,,,,208681.0,611263.0,-47620.0,-335780.0,,,,213860.0,611263.0,1215873.0,,,,208681.0,-47620.0,,,,370884.0,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,-5571083.0,-2842080.0,4452723.0,772934.0,-6261398.0,-1463442.0,1485528.0,13177526.0,-23103864.0,,,,,,,-2842080.0,772934.0,-1463442.0,13177526.0,,,,-5571083.0,772934.0,1485528.0,,,,-2842080.0,-1463442.0,,,,-6261398.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,10391275.0,11540917.0,14702089.0,16516725.0,6510428.0,8036496.0,,,,,,,,11540917.0,16516725.0,8036496.0,,,,,14702089.0,8036496.0,,,,11540917.0,8036496.0,,,10391275.0,8036496.0,,8036496.0,8036496.0,8036496.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
