,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,24405000.0,41807000.0,,,,,,,,,,24405000.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,3692829.0,4965372.0,6787836.0,9516302.0,9706104.0,4328000.0,10054000.0,14904000.0,10345000.0,17376000.0,,,,,,3692829.0,6787836.0,9706104.0,10054000.0,10345000.0,,,,4965372.0,9706104.0,14904000.0,,,,6787836.0,10054000.0,,,3692829.0,4328000.0,,3692829.0,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,5156000.0,7147000.0,,,,,,,,,,5156000.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,1466728.0,1824150.0,5490489.0,6260406.0,6417619.0,4158000.0,3436000.0,3460000.0,3678000.0,4216000.0,,,,,,1466728.0,5490489.0,6417619.0,3436000.0,3678000.0,,,,1824150.0,6417619.0,3460000.0,,,,5490489.0,3436000.0,,,1466728.0,4158000.0,,1466728.0,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,-237267.0,-346448.0,,,,,4119000.0,27990000.0,652000.0,9022000.0,,,,,,-237267.0,,,4119000.0,652000.0,,,,-346448.0,,27990000.0,,,,,4119000.0,,,-237267.0,,,-237267.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,17786.0,21867.0,68881.0,156685.0,,14230.0,2000.0,2000.0,-992000.0,-932000.0,,,,,,17786.0,68881.0,,2000.0,-992000.0,,,,21867.0,,2000.0,,,,68881.0,2000.0,,,17786.0,14230.0,,17786.0,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,3746000.0,167000.0,2375000.0,,,,,,,,,,167000.0,,,,,,3746000.0,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,-237267.0,-346448.0,-3710514.0,-2022761.0,-1700003.0,-6835526.0,4119000.0,24244000.0,485000.0,6647000.0,,,,,,-237267.0,-3710514.0,-1700003.0,4119000.0,485000.0,,,,-346448.0,-1700003.0,24244000.0,,,,-3710514.0,4119000.0,,,-237267.0,-6835526.0,,-237267.0,,,CommonMetricExtracted
Cash,,,,,,,,,,4538713.0,5065068.0,5042477.0,10085468.0,12484256.0,8100288.0,14907000.0,14519000.0,25520000.0,23148000.0,22056000.0,,,,,4538713.0,5042477.0,12484256.0,14907000.0,25520000.0,22056000.0,,,5065068.0,12484256.0,14519000.0,22056000.0,,,5042477.0,14907000.0,22056000.0,,4538713.0,8100288.0,22056000.0,4538713.0,22056000.0,22056000.0,22056000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,2071572.0,3098635.0,4958255.0,13145934.0,14011180.0,3776000.0,12130000.0,17299000.0,10645000.0,19731000.0,,,,,,3098635.0,13145934.0,3776000.0,17299000.0,19731000.0,,,2071572.0,13145934.0,12130000.0,19731000.0,,,3098635.0,3776000.0,19731000.0,,,14011180.0,19731000.0,,19731000.0,19731000.0,19731000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,6261000.0,2986000.0,3347000.0,,,,,,,,,6261000.0,3347000.0,,,,,,3347000.0,,,,,3347000.0,,,,3347000.0,,3347000.0,3347000.0,3347000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,998861.0,1254915.0,1171383.0,1628817.0,2997120.0,4427109.0,1759000.0,3501000.0,11861000.0,10097000.0,,,,,,1254915.0,1628817.0,4427109.0,3501000.0,10097000.0,,,998861.0,1628817.0,1759000.0,10097000.0,,,1254915.0,4427109.0,10097000.0,,,2997120.0,10097000.0,,10097000.0,10097000.0,10097000.0,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,8568288.0,16759118.0,17886713.0,31902191.0,34003170.0,25171061.0,31245000.0,53241000.0,49528000.0,56738000.0,,,,,,16759118.0,31902191.0,25171061.0,53241000.0,56738000.0,,,8568288.0,31902191.0,31245000.0,56738000.0,,,16759118.0,25171061.0,56738000.0,,,34003170.0,56738000.0,,56738000.0,56738000.0,56738000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,320699.0,433408.0,394078.0,891029.0,1082428.0,1356000.0,605000.0,243000.0,464000.0,1997000.0,,,,,,433408.0,891029.0,1356000.0,243000.0,1997000.0,,,320699.0,891029.0,605000.0,1997000.0,,,433408.0,1356000.0,1997000.0,,,1082428.0,1997000.0,,1997000.0,1997000.0,1997000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,,,,,,9636154.0,18947080.0,18835186.0,33251229.0,36924547.0,28010000.0,32240000.0,56735000.0,53710000.0,62165000.0,,,,,,18947080.0,33251229.0,28010000.0,56735000.0,62165000.0,,,9636154.0,33251229.0,32240000.0,62165000.0,,,18947080.0,28010000.0,62165000.0,,,36924547.0,62165000.0,,62165000.0,62165000.0,62165000.0,CommonMetricExtracted
