,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,860661000.0,977025000.0,1078809000.0,1136539000.0,1267945000.0,1573217000.0,2116087000.0,2213803000.0,2232139000.0,,,,,,,977025000.0,1136539000.0,1573217000.0,2213803000.0,,,,860661000.0,1136539000.0,2116087000.0,,,,977025000.0,1573217000.0,,,,1267945000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,450781000.0,533644000.0,598522000.0,644409000.0,691561000.0,818187000.0,1174794000.0,1170048000.0,1206288000.0,,,,,,,533644000.0,644409000.0,818187000.0,1170048000.0,,,,450781000.0,644409000.0,1174794000.0,,,,533644000.0,818187000.0,,,,691561000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,73509000.0,58790000.0,63293000.0,73568000.0,82364000.0,85102000.0,92031000.0,90663000.0,98343000.0,114903000.0,109931000.0,112568000.0,112517000.0,135004000.0,169378000.0,203980000.0,219402000.0,,,58790000.0,73568000.0,85102000.0,90663000.0,114903000.0,112568000.0,135004000.0,203980000.0,,63293000.0,85102000.0,98343000.0,112568000.0,169378000.0,,58790000.0,85102000.0,114903000.0,135004000.0,,63293000.0,90663000.0,112517000.0,,90663000.0,63293000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,20173000.0,18756000.0,21110000.0,25886000.0,35919000.0,36843000.0,39018000.0,46196000.0,46248000.0,47616000.0,43056000.0,47058000.0,50807000.0,59381000.0,68354000.0,92167000.0,93576000.0,,,18756000.0,25886000.0,36843000.0,46196000.0,47616000.0,47058000.0,59381000.0,92167000.0,,21110000.0,36843000.0,46248000.0,47058000.0,68354000.0,,18756000.0,36843000.0,47616000.0,59381000.0,,21110000.0,46196000.0,50807000.0,,46196000.0,21110000.0,,CommonMetricExtracted
OperatingMargin,,,,,31477000.0,78037000.0,78786000.0,61921000.0,81564000.0,99322000.0,108679000.0,138900000.0,144418000.0,172128000.0,178357000.0,249564000.0,358549000.0,448065000.0,476547000.0,434043000.0,,,31477000.0,78786000.0,81564000.0,108679000.0,144418000.0,178357000.0,358549000.0,476547000.0,,78037000.0,81564000.0,138900000.0,178357000.0,448065000.0,,31477000.0,81564000.0,144418000.0,358549000.0,,78037000.0,108679000.0,249564000.0,,108679000.0,78037000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,24451000.0,43056000.0,47234000.0,56958000.0,38265000.0,46492000.0,,113091000.0,114098000.0,133803000.0,201401000.0,259270000.0,347541000.0,348056000.0,285441000.0,,,,43056000.0,56958000.0,46492000.0,113091000.0,133803000.0,259270000.0,348056000.0,,24451000.0,56958000.0,,133803000.0,347541000.0,,,56958000.0,113091000.0,259270000.0,,24451000.0,46492000.0,201401000.0,,46492000.0,24451000.0,,CommonMetricExtracted
NetIncome,,,,,,,,,50971000.0,63531000.0,67888000.0,89734000.0,92617000.0,126633000.0,133982000.0,187000000.0,266447000.0,333995000.0,353987000.0,322224000.0,,,,,50971000.0,67888000.0,92617000.0,133982000.0,266447000.0,353987000.0,,,50971000.0,89734000.0,133982000.0,333995000.0,,,50971000.0,92617000.0,266447000.0,,,67888000.0,187000000.0,,67888000.0,,,CommonMetricExtracted
Cash,,,186142000.0,170750000.0,250381000.0,335049000.0,213817000.0,175553000.0,251208000.0,260307000.0,258825000.0,,168514000.0,160180000.0,,274639000.0,301155000.0,300742000.0,429822000.0,239371000.0,,170750000.0,335049000.0,175553000.0,260307000.0,,160180000.0,274639000.0,300742000.0,239371000.0,250381000.0,175553000.0,258825000.0,160180000.0,301155000.0,239371000.0,170750000.0,175553000.0,,274639000.0,239371000.0,250381000.0,260307000.0,,239371000.0,260307000.0,239371000.0,239371000.0,239371000.0,CommonMetricExtracted
CurrentReceivables,,,,,77317000.0,68256000.0,,82812000.0,90017000.0,92015000.0,106011000.0,,135958000.0,146052000.0,,165128000.0,231021000.0,269124000.0,283975000.0,284392000.0,,,68256000.0,82812000.0,92015000.0,,146052000.0,165128000.0,269124000.0,284392000.0,77317000.0,82812000.0,106011000.0,146052000.0,231021000.0,284392000.0,,82812000.0,,165128000.0,284392000.0,77317000.0,92015000.0,,284392000.0,92015000.0,284392000.0,284392000.0,284392000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,163754000.0,152297000.0,,204124000.0,197728000.0,216545000.0,195757000.0,,252996000.0,276088000.0,,283742000.0,443756000.0,556801000.0,551575000.0,593175000.0,,,152297000.0,204124000.0,216545000.0,,276088000.0,283742000.0,556801000.0,593175000.0,163754000.0,204124000.0,195757000.0,276088000.0,443756000.0,593175000.0,,204124000.0,,283742000.0,593175000.0,163754000.0,216545000.0,,593175000.0,216545000.0,593175000.0,593175000.0,593175000.0,CommonMetricExtracted
CurrentAssets,,,,,530075000.0,591256000.0,,498054000.0,571018000.0,604318000.0,589272000.0,,583941000.0,599529000.0,,753139000.0,998835000.0,1179250000.0,1312441000.0,1176321000.0,,,591256000.0,498054000.0,604318000.0,,599529000.0,753139000.0,1179250000.0,1176321000.0,530075000.0,498054000.0,589272000.0,599529000.0,998835000.0,1176321000.0,,498054000.0,,753139000.0,1176321000.0,530075000.0,604318000.0,,1176321000.0,604318000.0,1176321000.0,1176321000.0,1176321000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,187814000.0,177072000.0,,213452000.0,209533000.0,207027000.0,213716000.0,,273020000.0,254597000.0,,255184000.0,259869000.0,361555000.0,418612000.0,531655000.0,,,177072000.0,213452000.0,207027000.0,,254597000.0,255184000.0,361555000.0,531655000.0,187814000.0,213452000.0,213716000.0,254597000.0,259869000.0,531655000.0,,213452000.0,,255184000.0,531655000.0,187814000.0,207027000.0,,531655000.0,207027000.0,531655000.0,531655000.0,531655000.0,CommonMetricExtracted
