,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,494317000.0,557111000.0,623250000.0,650523000.0,666686000.0,773415000.0,827826000.0,874587000.0,935262000.0,,,,,,,557111000.0,650523000.0,773415000.0,874587000.0,,,,494317000.0,650523000.0,827826000.0,,,,557111000.0,773415000.0,,,,666686000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,203129000.0,233102000.0,267671000.0,278176000.0,259573000.0,277659000.0,314306000.0,352630000.0,396297000.0,,,,,,,233102000.0,278176000.0,277659000.0,352630000.0,,,,203129000.0,278176000.0,314306000.0,,,,233102000.0,277659000.0,,,,259573000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,17820000.0,31929000.0,45107000.0,56738000.0,82125000.0,106636000.0,126626000.0,146464000.0,166448000.0,181730000.0,159241000.0,204878000.0,203154000.0,214749000.0,222704000.0,,,,31929000.0,56738000.0,106636000.0,146464000.0,181730000.0,204878000.0,214749000.0,,17820000.0,56738000.0,126626000.0,181730000.0,203154000.0,,,56738000.0,146464000.0,204878000.0,,17820000.0,106636000.0,159241000.0,,106636000.0,17820000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,4591000.0,9777000.0,16330000.0,21764000.0,38301000.0,41322000.0,47789000.0,52486000.0,58897000.0,57216000.0,46038000.0,52014000.0,65434000.0,96162000.0,88417000.0,,,,9777000.0,21764000.0,41322000.0,52486000.0,57216000.0,52014000.0,96162000.0,,4591000.0,21764000.0,47789000.0,57216000.0,65434000.0,,,21764000.0,52486000.0,52014000.0,,4591000.0,41322000.0,46038000.0,,41322000.0,4591000.0,,CommonMetricExtracted
OperatingMargin,,,,,,19795000.0,22890000.0,21852000.0,43323000.0,39036000.0,41018000.0,45786000.0,26349000.0,32452000.0,20155000.0,85266000.0,108106000.0,93624000.0,68400000.0,68708000.0,,,,22890000.0,43323000.0,41018000.0,26349000.0,20155000.0,108106000.0,68400000.0,,19795000.0,43323000.0,45786000.0,20155000.0,93624000.0,,,43323000.0,26349000.0,108106000.0,,19795000.0,41018000.0,85266000.0,,41018000.0,19795000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,1336000.0,1857000.0,10561000.0,,,,,,,,,,1857000.0,,,,,,1336000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,876000.0,1036000.0,-25738000.0,16896000.0,16088000.0,14720000.0,11869000.0,13354000.0,11426000.0,4808000.0,17757000.0,12853000.0,14934000.0,12199000.0,26616000.0,,,,1036000.0,16896000.0,14720000.0,13354000.0,4808000.0,12853000.0,12199000.0,,876000.0,16896000.0,11869000.0,4808000.0,14934000.0,,,16896000.0,13354000.0,12853000.0,,876000.0,14720000.0,17757000.0,,14720000.0,876000.0,,CommonMetricExtracted
NetIncome,,,,,,,,,26479000.0,22089000.0,19552000.0,32628000.0,16727000.0,54687000.0,20108000.0,71766000.0,91883000.0,76103000.0,110269000.0,35932000.0,,,,,26479000.0,19552000.0,16727000.0,20108000.0,91883000.0,110269000.0,,,26479000.0,32628000.0,20108000.0,76103000.0,,,26479000.0,16727000.0,91883000.0,,,19552000.0,71766000.0,,19552000.0,,,CommonMetricExtracted
Cash,,,,,4937000.0,6544000.0,14097000.0,102096000.0,155355000.0,233453000.0,241304000.0,224190000.0,253428000.0,,303261000.0,428574000.0,314017000.0,115154000.0,100490000.0,111251000.0,,,6544000.0,102096000.0,233453000.0,224190000.0,,428574000.0,115154000.0,111251000.0,4937000.0,102096000.0,241304000.0,,314017000.0,111251000.0,,102096000.0,224190000.0,428574000.0,111251000.0,4937000.0,233453000.0,303261000.0,111251000.0,233453000.0,111251000.0,111251000.0,111251000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,647000.0,1738000.0,6081000.0,15251000.0,28464000.0,38107000.0,49932000.0,,47016000.0,43846000.0,47707000.0,67249000.0,91139000.0,95225000.0,,,,1738000.0,15251000.0,38107000.0,,43846000.0,67249000.0,95225000.0,,1738000.0,28464000.0,,47707000.0,95225000.0,,1738000.0,38107000.0,43846000.0,95225000.0,,15251000.0,47016000.0,95225000.0,15251000.0,95225000.0,95225000.0,95225000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,1554000.0,2008000.0,19809000.0,12141000.0,11713000.0,22569000.0,37109000.0,33376000.0,26703000.0,16650000.0,26491000.0,33268000.0,100944000.0,49482000.0,,,,2008000.0,12141000.0,22569000.0,33376000.0,16650000.0,33268000.0,49482000.0,,2008000.0,11713000.0,33376000.0,26491000.0,49482000.0,,2008000.0,22569000.0,16650000.0,49482000.0,,12141000.0,26703000.0,49482000.0,12141000.0,49482000.0,49482000.0,49482000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,18074000.0,125975000.0,243188000.0,323530000.0,335675000.0,339838000.0,340469000.0,,376980000.0,489070000.0,388215000.0,215671000.0,292573000.0,255958000.0,,,,125975000.0,323530000.0,339838000.0,,489070000.0,215671000.0,255958000.0,,125975000.0,335675000.0,,388215000.0,255958000.0,,125975000.0,339838000.0,489070000.0,255958000.0,,323530000.0,376980000.0,255958000.0,323530000.0,255958000.0,255958000.0,255958000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,3844000.0,5255000.0,20256000.0,26744000.0,32094000.0,56101000.0,85698000.0,,58834000.0,50906000.0,48074000.0,54548000.0,64300000.0,66400000.0,,,,5255000.0,26744000.0,56101000.0,,50906000.0,54548000.0,66400000.0,,5255000.0,32094000.0,,48074000.0,66400000.0,,5255000.0,56101000.0,50906000.0,66400000.0,,26744000.0,58834000.0,66400000.0,26744000.0,66400000.0,66400000.0,66400000.0,CommonMetricExtracted
