,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,645258000.0,819830000.0,782813000.0,613766000.0,203272000.0,,174109000.0,,,,,,,,819830000.0,613766000.0,,,,,,819830000.0,203272000.0,,,,,613766000.0,,,,782813000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,886144000.0,807416000.0,792809000.0,675579000.0,680134000.0,648675000.0,507188000.0,,,543999000.0,670100000.0,619854000.0,484153000.0,161736000.0,,125616000.0,,,886144000.0,792809000.0,680134000.0,507188000.0,,670100000.0,484153000.0,,,807416000.0,680134000.0,,670100000.0,161736000.0,,886144000.0,680134000.0,,484153000.0,,807416000.0,507188000.0,619854000.0,,507188000.0,807416000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,99938000.0,92855000.0,85187000.0,99409000.0,86972000.0,72020000.0,59667000.0,,,101972000.0,144078000.0,103261000.0,96528000.0,40373000.0,,37478000.0,,,99938000.0,85187000.0,86972000.0,59667000.0,,144078000.0,96528000.0,,,92855000.0,86972000.0,,144078000.0,40373000.0,,99938000.0,86972000.0,,96528000.0,,92855000.0,59667000.0,103261000.0,,59667000.0,92855000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,-11835000.0,-9256000.0,,87980000.0,,,,,,,,,-11835000.0,,,,,,,-9256000.0,,,,,-11835000.0,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,996000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,819000.0,3035000.0,3779000.0,4682000.0,2283000.0,,,-71202000.0,4670000.0,5917000.0,8837000.0,11388000.0,,-67023000.0,,,,819000.0,3779000.0,2283000.0,,4670000.0,8837000.0,,,,3779000.0,,4670000.0,11388000.0,,,3779000.0,,8837000.0,,,2283000.0,5917000.0,,2283000.0,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,35380000.0,-68856000.0,-7413000.0,-46520000.0,-13097000.0,,85845000.0,,,,,,,,-68856000.0,-46520000.0,,,,,,-68856000.0,-13097000.0,,,,,-46520000.0,,,,-7413000.0,,,,,CommonMetricExtracted
Cash,,,,160585000.0,168767000.0,163970000.0,154217000.0,95618000.0,,,,,,92138000.0,32500000.0,75887000.0,96931000.0,53142000.0,,248614000.0,,160585000.0,163970000.0,95618000.0,,,92138000.0,75887000.0,53142000.0,248614000.0,168767000.0,95618000.0,,92138000.0,96931000.0,248614000.0,160585000.0,95618000.0,,75887000.0,248614000.0,168767000.0,,32500000.0,248614000.0,,248614000.0,248614000.0,248614000.0,CommonMetricExtracted
CurrentReceivables,,,,,,150311000.0,140892000.0,156195000.0,,,,,,99254000.0,112141000.0,93072000.0,69805000.0,40083000.0,,33443000.0,,,150311000.0,156195000.0,,,99254000.0,93072000.0,40083000.0,33443000.0,,156195000.0,,99254000.0,69805000.0,33443000.0,,156195000.0,,93072000.0,33443000.0,,,112141000.0,33443000.0,,33443000.0,33443000.0,33443000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,13060000.0,12084000.0,10325000.0,,,,,,13415000.0,31445000.0,20475000.0,22222000.0,3551000.0,,4462000.0,,,13060000.0,10325000.0,,,13415000.0,20475000.0,3551000.0,4462000.0,,10325000.0,,13415000.0,22222000.0,4462000.0,,10325000.0,,20475000.0,4462000.0,,,31445000.0,4462000.0,,4462000.0,4462000.0,4462000.0,CommonMetricExtracted
Inventory,,,,,,67107000.0,79667000.0,94675000.0,,,,,,47786000.0,23674000.0,15354000.0,16228000.0,8151000.0,,6733000.0,,,67107000.0,94675000.0,,,47786000.0,15354000.0,8151000.0,6733000.0,,94675000.0,,47786000.0,16228000.0,6733000.0,,94675000.0,,15354000.0,6733000.0,,,23674000.0,6733000.0,,6733000.0,6733000.0,6733000.0,CommonMetricExtracted
CurrentAssets,,,,,,394732000.0,387082000.0,356945000.0,,,,,,264281000.0,213324000.0,223543000.0,213399000.0,109830000.0,,295828000.0,,,394732000.0,356945000.0,,,264281000.0,223543000.0,109830000.0,295828000.0,,356945000.0,,264281000.0,213399000.0,295828000.0,,356945000.0,,223543000.0,295828000.0,,,213324000.0,295828000.0,,295828000.0,295828000.0,295828000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,56529000.0,50072000.0,43493000.0,,,,,,106632000.0,91268000.0,79678000.0,58862000.0,3534000.0,,5536000.0,,,56529000.0,43493000.0,,,106632000.0,79678000.0,3534000.0,5536000.0,,43493000.0,,106632000.0,58862000.0,5536000.0,,43493000.0,,79678000.0,5536000.0,,,91268000.0,5536000.0,,5536000.0,5536000.0,5536000.0,CommonMetricExtracted
Goodwill,,,,,25708000.0,42007000.0,3058000.0,3058000.0,,,,,,254352000.0,257128000.0,257128000.0,231470000.0,19655000.0,,19703000.0,,,42007000.0,3058000.0,,,254352000.0,257128000.0,19655000.0,19703000.0,25708000.0,3058000.0,,254352000.0,231470000.0,19703000.0,,3058000.0,,257128000.0,19703000.0,25708000.0,,257128000.0,19703000.0,,19703000.0,19703000.0,19703000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,192964000.0,162518000.0,135263000.0,115005000.0,4730000.0,,31036000.0,,,,,,,192964000.0,135263000.0,4730000.0,31036000.0,,,,192964000.0,115005000.0,31036000.0,,,,135263000.0,31036000.0,,,162518000.0,31036000.0,,31036000.0,31036000.0,31036000.0,CommonMetricExtracted
TotalAssets,,,,,,543698000.0,469517000.0,430195000.0,,,,,,827050000.0,731563000.0,759172000.0,676381000.0,137749000.0,,485628000.0,,,543698000.0,430195000.0,,,827050000.0,759172000.0,137749000.0,485628000.0,,430195000.0,,827050000.0,676381000.0,485628000.0,,430195000.0,,759172000.0,485628000.0,,,731563000.0,485628000.0,,485628000.0,485628000.0,485628000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,156233000.0,150210000.0,173746000.0,,,,,,231168000.0,205988000.0,189436000.0,171731000.0,69996000.0,,59781000.0,,,156233000.0,173746000.0,,,231168000.0,189436000.0,69996000.0,59781000.0,,173746000.0,,231168000.0,171731000.0,59781000.0,,173746000.0,,189436000.0,59781000.0,,,205988000.0,59781000.0,,59781000.0,59781000.0,59781000.0,CommonMetricExtracted
CurrentLiability,,,,,,301375000.0,282395000.0,297019000.0,,,,,,418499000.0,422070000.0,424335000.0,374867000.0,137047000.0,,111988000.0,,,301375000.0,297019000.0,,,418499000.0,424335000.0,137047000.0,111988000.0,,297019000.0,,418499000.0,374867000.0,111988000.0,,297019000.0,,424335000.0,111988000.0,,,422070000.0,111988000.0,,111988000.0,111988000.0,111988000.0,CommonMetricExtracted
