,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,819031000.0,,898309000.0,1091064000.0,1181929000.0,,1242600000.0,1145134000.0,1279593000.0,1260852000.0,1190022000.0,,789213000.0,812624000.0,630297000.0,723728000.0,,,819031000.0,898309000.0,1181929000.0,1242600000.0,1279593000.0,1190022000.0,789213000.0,630297000.0,,,1181929000.0,1145134000.0,1190022000.0,812624000.0,,819031000.0,1181929000.0,1279593000.0,789213000.0,,,1242600000.0,,,1242600000.0,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,1134506000.0,1137382000.0,1074769000.0,,680136000.0,714904000.0,541680000.0,627424000.0,,,,,,,1134506000.0,1074769000.0,680136000.0,541680000.0,,,,,1074769000.0,714904000.0,,,,1134506000.0,680136000.0,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,88337000.0,,95486000.0,82878000.0,89040000.0,,94609000.0,85754000.0,127507000.0,108248000.0,108340000.0,,89463000.0,76874000.0,78654000.0,79406000.0,,,88337000.0,95486000.0,89040000.0,94609000.0,127507000.0,108340000.0,89463000.0,78654000.0,,,89040000.0,85754000.0,108340000.0,76874000.0,,88337000.0,89040000.0,127507000.0,89463000.0,,,94609000.0,,,94609000.0,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,1561000.0,,34875000.0,44778000.0,28481000.0,,43917000.0,9147000.0,-137893000.0,-80115000.0,37294000.0,,-11085000.0,8241000.0,8268000.0,15590000.0,,,1561000.0,34875000.0,28481000.0,43917000.0,-137893000.0,37294000.0,-11085000.0,8268000.0,,,28481000.0,9147000.0,37294000.0,8241000.0,,1561000.0,28481000.0,-137893000.0,-11085000.0,,,43917000.0,,,43917000.0,,,CommonMetricExtracted
Interest,,,,,13839000.0,,9749000.0,9333000.0,7860000.0,,7764000.0,15669000.0,32504000.0,34406000.0,34677000.0,,30042000.0,8769000.0,26909000.0,24908000.0,,,13839000.0,9749000.0,7860000.0,7764000.0,32504000.0,34677000.0,30042000.0,26909000.0,,,7860000.0,15669000.0,34677000.0,8769000.0,,13839000.0,7860000.0,32504000.0,30042000.0,,,7764000.0,,,7764000.0,,,CommonMetricExtracted
Taxes,,,,,-3038000.0,,6058000.0,9498000.0,8423000.0,,12043000.0,-3390000.0,-35829000.0,-5378000.0,3221000.0,,-2740000.0,-3366000.0,3269000.0,1470000.0,,,-3038000.0,6058000.0,8423000.0,12043000.0,-35829000.0,3221000.0,-2740000.0,3269000.0,,,8423000.0,-3390000.0,3221000.0,-3366000.0,,-3038000.0,8423000.0,-35829000.0,-2740000.0,,,12043000.0,,,12043000.0,,,CommonMetricExtracted
NetIncome,,,,,-6763000.0,,61066000.0,24224000.0,-8524000.0,,13101000.0,-22471000.0,-135320000.0,-109205000.0,-758000.0,,82428000.0,-1172000.0,-175018000.0,-17393000.0,,,-6763000.0,61066000.0,-8524000.0,13101000.0,-135320000.0,-758000.0,82428000.0,-175018000.0,,,-8524000.0,-22471000.0,-758000.0,-1172000.0,,-6763000.0,-8524000.0,-135320000.0,82428000.0,,,13101000.0,,,13101000.0,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,8448000.0,7460000.0,,,,,,,,,,7460000.0,,,,,,7460000.0,,,,,7460000.0,,,,7460000.0,,7460000.0,7460000.0,7460000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,98777000.0,115128000.0,116033000.0,,128129000.0,139140000.0,137158000.0,139160000.0,128925000.0,,79659000.0,92961000.0,69579000.0,50428000.0,,,,115128000.0,,139140000.0,139160000.0,,92961000.0,50428000.0,,115128000.0,128129000.0,139160000.0,79659000.0,50428000.0,,115128000.0,139140000.0,,50428000.0,,,128925000.0,50428000.0,,50428000.0,50428000.0,50428000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,30023000.0,20538000.0,16067000.0,,18935000.0,20088000.0,33213000.0,29024000.0,35985000.0,,21665000.0,16638000.0,25235000.0,14680000.0,,,,20538000.0,,20088000.0,29024000.0,,16638000.0,14680000.0,,20538000.0,18935000.0,29024000.0,21665000.0,14680000.0,,20538000.0,20088000.0,,14680000.0,,,35985000.0,14680000.0,,14680000.0,14680000.0,14680000.0,CommonMetricExtracted
Inventory,,,,,,,200278000.0,255738000.0,274286000.0,,264256000.0,371223000.0,354978000.0,361957000.0,323546000.0,,147748000.0,220143000.0,85070000.0,92798000.0,,,,255738000.0,,371223000.0,361957000.0,,220143000.0,92798000.0,,255738000.0,264256000.0,361957000.0,147748000.0,92798000.0,,255738000.0,371223000.0,,92798000.0,,,323546000.0,92798000.0,,92798000.0,92798000.0,92798000.0,CommonMetricExtracted
CurrentAssets,,,,,,,332707000.0,407492000.0,419729000.0,,429365000.0,597055000.0,528577000.0,533421000.0,489954000.0,,249323000.0,329969000.0,184245000.0,159458000.0,,,,407492000.0,,597055000.0,533421000.0,,329969000.0,159458000.0,,407492000.0,429365000.0,533421000.0,249323000.0,159458000.0,,407492000.0,597055000.0,,159458000.0,,,489954000.0,159458000.0,,159458000.0,159458000.0,159458000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,115200000.0,140579000.0,158073000.0,,134920000.0,176513000.0,163624000.0,171032000.0,184550000.0,,158048000.0,219537000.0,320199000.0,343618000.0,,,,140579000.0,,176513000.0,171032000.0,,219537000.0,343618000.0,,140579000.0,134920000.0,171032000.0,158048000.0,343618000.0,,140579000.0,176513000.0,,343618000.0,,,184550000.0,343618000.0,,343618000.0,343618000.0,343618000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,3998000.0,,3998000.0,3998000.0,3998000.0,3998000.0,,,,,,,,,3998000.0,3998000.0,,,,,3998000.0,3998000.0,,,,,3998000.0,,,3998000.0,3998000.0,,3998000.0,3998000.0,3998000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,60200000.0,52885000.0,47991000.0,,40640000.0,195008000.0,172059000.0,160975000.0,150009000.0,,133317000.0,148440000.0,21861000.0,20077000.0,,,,52885000.0,,195008000.0,160975000.0,,148440000.0,20077000.0,,52885000.0,40640000.0,160975000.0,133317000.0,20077000.0,,52885000.0,195008000.0,,20077000.0,,,150009000.0,20077000.0,,20077000.0,20077000.0,20077000.0,CommonMetricExtracted
TotalAssets,,,,,,,609300000.0,707310000.0,705935000.0,,640950000.0,1219203000.0,982173000.0,896738000.0,923359000.0,,585615000.0,755119000.0,669424000.0,668527000.0,,,,707310000.0,,1219203000.0,896738000.0,,755119000.0,668527000.0,,707310000.0,640950000.0,896738000.0,585615000.0,668527000.0,,707310000.0,1219203000.0,,668527000.0,,,923359000.0,668527000.0,,668527000.0,668527000.0,668527000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,22247000.0,6925000.0,6354000.0,,5927000.0,1773000.0,2228000.0,1840000.0,2987000.0,,3478000.0,9760000.0,24647000.0,29393000.0,,,,6925000.0,,1773000.0,1840000.0,,9760000.0,29393000.0,,6925000.0,5927000.0,1840000.0,3478000.0,29393000.0,,6925000.0,1773000.0,,29393000.0,,,2987000.0,29393000.0,,29393000.0,29393000.0,29393000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,973000.0,4125000.0,2564000.0,,3090000.0,1720000.0,1351000.0,2208000.0,1272000.0,,1431000.0,0.0,100191000.0,111876000.0,,,,4125000.0,,1720000.0,2208000.0,,0.0,111876000.0,,4125000.0,3090000.0,2208000.0,1431000.0,111876000.0,,4125000.0,1720000.0,,111876000.0,,,1272000.0,111876000.0,,111876000.0,111876000.0,111876000.0,CommonMetricExtracted
CurrentLiability,,,,,,,233926000.0,279520000.0,287156000.0,,236328000.0,379669000.0,410052000.0,446346000.0,422879000.0,,149201000.0,155596000.0,196774000.0,204365000.0,,,,279520000.0,,379669000.0,446346000.0,,155596000.0,204365000.0,,279520000.0,236328000.0,446346000.0,149201000.0,204365000.0,,279520000.0,379669000.0,,204365000.0,,,422879000.0,204365000.0,,204365000.0,204365000.0,204365000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,52020000.0,,24582000.0,53079000.0,100607000.0,99653000.0,,,,,,,,,53079000.0,99653000.0,,,,,24582000.0,99653000.0,,,,,99653000.0,,,52020000.0,99653000.0,,99653000.0,99653000.0,99653000.0,CommonMetricExtracted
TotalLiability,,,,,,,304173000.0,363775000.0,363323000.0,,287622000.0,793024000.0,660059000.0,683597000.0,710926000.0,,252686000.0,421990000.0,496326000.0,504885000.0,,,,363775000.0,,793024000.0,683597000.0,,421990000.0,504885000.0,,363775000.0,287622000.0,683597000.0,252686000.0,504885000.0,,363775000.0,793024000.0,,504885000.0,,,710926000.0,504885000.0,,504885000.0,504885000.0,504885000.0,CommonMetricExtracted
ShareholderEquity,,,,,,,291042000.0,326151000.0,325304000.0,,340689000.0,421039000.0,240346000.0,130335000.0,128021000.0,,218029000.0,,161025000.0,148594000.0,,,,326151000.0,,421039000.0,130335000.0,,,148594000.0,,326151000.0,340689000.0,130335000.0,218029000.0,148594000.0,,326151000.0,421039000.0,,148594000.0,,,128021000.0,148594000.0,,148594000.0,148594000.0,148594000.0,CommonMetricExtracted
OperatingCashFlow,,,,,57468000.0,,10277000.0,31035000.0,34660000.0,,25017000.0,26430000.0,31463000.0,6000000.0,-17008000.0,,52663000.0,38207000.0,3575000.0,52339000.0,,,57468000.0,10277000.0,34660000.0,25017000.0,31463000.0,-17008000.0,52663000.0,3575000.0,,,34660000.0,26430000.0,-17008000.0,38207000.0,,57468000.0,34660000.0,31463000.0,52663000.0,,,25017000.0,,,25017000.0,,,CommonMetricExtracted
CapitalExpenditures,,,,,10798000.0,,19372000.0,24251000.0,33928000.0,,19925000.0,31186000.0,41139000.0,31603000.0,32764000.0,,24754000.0,58297000.0,46125000.0,31928000.0,,,10798000.0,19372000.0,33928000.0,19925000.0,41139000.0,32764000.0,24754000.0,46125000.0,,,33928000.0,31186000.0,32764000.0,58297000.0,,10798000.0,33928000.0,41139000.0,24754000.0,,,19925000.0,,,19925000.0,,,CommonMetricExtracted
InvestingCashFlow,,,,,-14132000.0,,-12847000.0,-49747000.0,-33001000.0,,22888000.0,-522820000.0,-40122000.0,-28771000.0,27219000.0,,324518000.0,-94450000.0,44032000.0,-18680000.0,,,-14132000.0,-12847000.0,-33001000.0,22888000.0,-40122000.0,27219000.0,324518000.0,44032000.0,,,-33001000.0,-522820000.0,27219000.0,-94450000.0,,-14132000.0,-33001000.0,-40122000.0,324518000.0,,,22888000.0,,,22888000.0,,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,6800000.0,6800000.0,,4078000.0,5247000.0,1732000.0,305000.0,,,,,,,,6800000.0,4078000.0,1732000.0,,,,,6800000.0,5247000.0,,,,,4078000.0,,,,,,,,,CommonMetricExtracted
