,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,10771000000.0,11184000000.0,10390000000.0,10509000000.0,10681000000.0,11661000000.0,7384000000.0,6551000000.0,,,,,,,10771000000.0,10390000000.0,10681000000.0,7384000000.0,,,,,10390000000.0,11661000000.0,,,,10771000000.0,10681000000.0,,,,10509000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,8395000000.0,8191000000.0,8825000000.0,10255000000.0,10411000000.0,9878000000.0,9930000000.0,8545000000.0,7597000000.0,7820000000.0,7458000000.0,7667000000.0,7764000000.0,8192000000.0,6033000000.0,5015000000.0,,,8395000000.0,8825000000.0,10411000000.0,9930000000.0,7597000000.0,7458000000.0,7764000000.0,6033000000.0,,8191000000.0,10411000000.0,8545000000.0,7458000000.0,8192000000.0,,8395000000.0,10411000000.0,7597000000.0,7764000000.0,,8191000000.0,9930000000.0,7667000000.0,,9930000000.0,8191000000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,537000000.0,437000000.0,445000000.0,528000000.0,635000000.0,722000000.0,857000000.0,635000000.0,606000000.0,562000000.0,453000000.0,473000000.0,502000000.0,559000000.0,491000000.0,460000000.0,,,537000000.0,445000000.0,635000000.0,857000000.0,606000000.0,453000000.0,502000000.0,491000000.0,,437000000.0,635000000.0,635000000.0,453000000.0,559000000.0,,537000000.0,635000000.0,606000000.0,502000000.0,,437000000.0,857000000.0,473000000.0,,857000000.0,437000000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,953000000.0,877000000.0,875000000.0,1006000000.0,1133000000.0,1226000000.0,1353000000.0,1237000000.0,1232000000.0,1026000000.0,991000000.0,973000000.0,903000000.0,941000000.0,797000000.0,654000000.0,,,953000000.0,875000000.0,1133000000.0,1353000000.0,1232000000.0,991000000.0,903000000.0,797000000.0,,877000000.0,1133000000.0,1237000000.0,991000000.0,941000000.0,,953000000.0,1133000000.0,1232000000.0,903000000.0,,877000000.0,1353000000.0,973000000.0,,1353000000.0,877000000.0,,CommonMetricExtracted
OperatingMargin,,,,,-2665000000.0,1740000000.0,806000000.0,3108000000.0,2091000000.0,1776000000.0,2058000000.0,445000000.0,1054000000.0,1634000000.0,1487000000.0,1300000000.0,1492000000.0,1955000000.0,-342000000.0,452000000.0,,,-2665000000.0,806000000.0,2091000000.0,2058000000.0,1054000000.0,1487000000.0,1492000000.0,-342000000.0,,1740000000.0,2091000000.0,445000000.0,1487000000.0,1955000000.0,,-2665000000.0,2091000000.0,1054000000.0,1492000000.0,,1740000000.0,2058000000.0,1300000000.0,,2058000000.0,1740000000.0,,CommonMetricExtracted
Interest,,,,,143000000.0,174000000.0,214000000.0,241000000.0,214000000.0,195000000.0,207000000.0,193000000.0,222000000.0,236000000.0,224000000.0,201000000.0,220000000.0,249000000.0,313000000.0,332000000.0,,,143000000.0,214000000.0,214000000.0,207000000.0,222000000.0,224000000.0,220000000.0,313000000.0,,174000000.0,214000000.0,193000000.0,224000000.0,249000000.0,,143000000.0,214000000.0,222000000.0,220000000.0,,174000000.0,207000000.0,201000000.0,,207000000.0,174000000.0,,CommonMetricExtracted
Taxes,,,,,311000000.0,-40000000.0,68000000.0,20000000.0,-7000000.0,-14000000.0,228000000.0,26000000.0,43000000.0,236000000.0,-640000000.0,28000000.0,34000000.0,30000000.0,33000000.0,110000000.0,,,311000000.0,68000000.0,-7000000.0,228000000.0,43000000.0,-640000000.0,34000000.0,33000000.0,,-40000000.0,-7000000.0,26000000.0,-640000000.0,30000000.0,,311000000.0,-7000000.0,43000000.0,34000000.0,,-40000000.0,228000000.0,28000000.0,,228000000.0,-40000000.0,,CommonMetricExtracted
NetIncome,,,,,-3125000000.0,1609000000.0,511000000.0,2862000000.0,1838000000.0,1570000000.0,1742000000.0,248000000.0,772000000.0,1182000000.0,2012000000.0,1004000000.0,1314000000.0,1649000000.0,-529000000.0,335000000.0,,,-3125000000.0,511000000.0,1838000000.0,1742000000.0,772000000.0,2012000000.0,1314000000.0,-529000000.0,,1609000000.0,1838000000.0,248000000.0,2012000000.0,1649000000.0,,-3125000000.0,1838000000.0,772000000.0,1314000000.0,,1609000000.0,1742000000.0,1004000000.0,,1742000000.0,1609000000.0,,CommonMetricExtracted
Cash,,,,990000000.0,1427000000.0,2263000000.0,2677000000.0,1707000000.0,1708000000.0,2634000000.0,2479000000.0,1125000000.0,2539000000.0,1853000000.0,2220000000.0,1722000000.0,1209000000.0,615000000.0,786000000.0,1358000000.0,,990000000.0,2263000000.0,1707000000.0,2634000000.0,1125000000.0,1853000000.0,1722000000.0,615000000.0,1358000000.0,1427000000.0,1707000000.0,2479000000.0,1853000000.0,1209000000.0,1358000000.0,990000000.0,1707000000.0,1125000000.0,1722000000.0,1358000000.0,1427000000.0,2634000000.0,2220000000.0,1358000000.0,2634000000.0,1358000000.0,1358000000.0,1358000000.0,CommonMetricExtracted
CurrentReceivables,,,,,,1400000000.0,1495000000.0,2319000000.0,1670000000.0,1729000000.0,1735000000.0,1318000000.0,1199000000.0,1184000000.0,989000000.0,1115000000.0,1158000000.0,1532000000.0,621000000.0,429000000.0,,,1400000000.0,2319000000.0,1729000000.0,1318000000.0,1184000000.0,1115000000.0,1532000000.0,429000000.0,,2319000000.0,1735000000.0,1184000000.0,1158000000.0,429000000.0,,2319000000.0,1318000000.0,1115000000.0,429000000.0,,1729000000.0,989000000.0,429000000.0,1729000000.0,429000000.0,429000000.0,429000000.0,CommonMetricExtracted
