,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,22450000.0,130399000.0,4882000.0,8303000.0,20049000.0,22500000.0,11834000.0,13682000.0,10896000.0,24139000.0,25966000.0,27633000.0,73332000.0,944043000.0,38369000.0,180119000.0,143482000.0,,22450000.0,4882000.0,20049000.0,11834000.0,10896000.0,25966000.0,73332000.0,38369000.0,143482000.0,130399000.0,20049000.0,13682000.0,25966000.0,944043000.0,143482000.0,22450000.0,20049000.0,10896000.0,73332000.0,143482000.0,130399000.0,11834000.0,27633000.0,143482000.0,11834000.0,143482000.0,143482000.0,143482000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,35033000.0,6376000.0,3911000.0,,,,,,,,,35033000.0,3911000.0,,,,,,3911000.0,,,,,3911000.0,,,,3911000.0,,3911000.0,3911000.0,3911000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,6299082000.0,6136096000.0,,7417365000.0,7656193000.0,8269427000.0,8723389000.0,9427659000.0,9522973000.0,11385036000.0,11162272000.0,10225633000.0,9560869000.0,9786337000.0,9613344000.0,,,6299082000.0,,7656193000.0,8723389000.0,9522973000.0,11162272000.0,9560869000.0,9613344000.0,,,8269427000.0,9522973000.0,10225633000.0,9613344000.0,,,8723389000.0,11162272000.0,9613344000.0,,7656193000.0,11385036000.0,9613344000.0,7656193000.0,9613344000.0,9613344000.0,9613344000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,105749000.0,378218000.0,325845000.0,283241000.0,252357000.0,130622000.0,107956000.0,,,,,,,105749000.0,325845000.0,252357000.0,107956000.0,,,,105749000.0,283241000.0,107956000.0,,,,325845000.0,107956000.0,,,378218000.0,107956000.0,,107956000.0,107956000.0,107956000.0,CommonMetricExtracted
