,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,8950082.0,5852459.0,4922076.0,8610392.0,8889232.0,7805056.0,8606195.0,7879443.0,,,,,,,8950082.0,4922076.0,8889232.0,8606195.0,,,,,4922076.0,7805056.0,,,,8950082.0,8889232.0,,,,8610392.0,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,-912194908.0,-237738711.0,-1244268436.0,-1195750777.0,-458458134.0,-1532383201.0,-423738003.0,-1281724048.0,-1683963883.0,95781413.0,-2481411020.0,-39371749.0,,,,,-912194908.0,-1244268436.0,-458458134.0,-423738003.0,-1683963883.0,-2481411020.0,,,-912194908.0,-1195750777.0,-423738003.0,95781413.0,,,-912194908.0,-458458134.0,-1683963883.0,,,-1244268436.0,-1281724048.0,,-1244268436.0,,,CommonMetricExtracted
Cash,,,,,,,,,,35899231.0,48049225.0,39482473.0,55713112.0,729259407.0,770114050.0,1651161384.0,394413910.0,625964378.0,1209034101.0,1765501542.0,,,,,35899231.0,39482473.0,729259407.0,1651161384.0,625964378.0,1765501542.0,,,48049225.0,729259407.0,394413910.0,1765501542.0,,,39482473.0,1651161384.0,1765501542.0,,35899231.0,770114050.0,1765501542.0,35899231.0,1765501542.0,1765501542.0,1765501542.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,114087773.0,75701465.0,41862862.0,46074352.0,135027236.0,90437591.0,158004259.0,229317372.0,528705546.0,29270938.0,19980490.0,,,,,114087773.0,41862862.0,135027236.0,158004259.0,528705546.0,19980490.0,,,75701465.0,135027236.0,229317372.0,19980490.0,,,41862862.0,158004259.0,19980490.0,,114087773.0,90437591.0,19980490.0,114087773.0,19980490.0,19980490.0,19980490.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
