,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,2144743000.0,1893824000.0,1830371000.0,1887188000.0,,,,,2460490000.0,2548792000.0,2880013000.0,3119917000.0,3298873000.0,3680451000.0,4960009000.0,5433972000.0,5112445000.0,,,1893824000.0,1887188000.0,,,2548792000.0,3119917000.0,3680451000.0,5433972000.0,,1830371000.0,,2460490000.0,3119917000.0,4960009000.0,,1893824000.0,,2548792000.0,3680451000.0,,1830371000.0,,3298873000.0,,,1830371000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,1024423000.0,1148963000.0,1387689000.0,1573227000.0,1729429000.0,1955467000.0,2529318000.0,2617402000.0,2415101000.0,,,,,,,1148963000.0,1573227000.0,1955467000.0,2617402000.0,,,,1024423000.0,1573227000.0,2529318000.0,,,,1148963000.0,1955467000.0,,,,1729429000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,207862000.0,208391000.0,232117000.0,250080000.0,,,,,315474000.0,343124000.0,357433000.0,371811000.0,423004000.0,369547000.0,-24398000.0,418330000.0,483771000.0,,,208391000.0,250080000.0,,,343124000.0,371811000.0,369547000.0,418330000.0,,232117000.0,,315474000.0,371811000.0,-24398000.0,,208391000.0,,343124000.0,369547000.0,,232117000.0,,423004000.0,,,232117000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,242750000.0,292286000.0,297043000.0,,,,,,,,,,292286000.0,,,,,,242750000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,36780000.0,37318000.0,38869000.0,40949000.0,,,,,52376000.0,57946000.0,59898000.0,62328000.0,63460000.0,80343000.0,93383000.0,88751000.0,88965000.0,,,37318000.0,40949000.0,,,57946000.0,62328000.0,80343000.0,88751000.0,,38869000.0,,52376000.0,62328000.0,93383000.0,,37318000.0,,57946000.0,80343000.0,,38869000.0,,63460000.0,,,38869000.0,,CommonMetricExtracted
NetIncome,,,,60973000.0,87118000.0,103453000.0,111763000.0,132639000.0,144873000.0,141148000.0,139430000.0,153055000.0,193942000.0,181652000.0,216647000.0,238985000.0,207202000.0,-197684000.0,155517000.0,204836000.0,,,87118000.0,111763000.0,144873000.0,139430000.0,193942000.0,216647000.0,207202000.0,155517000.0,,103453000.0,144873000.0,153055000.0,216647000.0,-197684000.0,,87118000.0,144873000.0,193942000.0,207202000.0,,103453000.0,139430000.0,238985000.0,,139430000.0,103453000.0,,CommonMetricExtracted
Cash,,,31991000.0,26399000.0,65315000.0,116096000.0,21937000.0,25530000.0,41077000.0,39566000.0,35997000.0,28066000.0,43622000.0,85361000.0,49539000.0,83352000.0,222697000.0,123078000.0,106536000.0,363789000.0,,26399000.0,116096000.0,25530000.0,39566000.0,28066000.0,85361000.0,83352000.0,123078000.0,363789000.0,65315000.0,25530000.0,35997000.0,85361000.0,222697000.0,363789000.0,26399000.0,25530000.0,28066000.0,83352000.0,363789000.0,65315000.0,39566000.0,49539000.0,363789000.0,39566000.0,363789000.0,363789000.0,363789000.0,CommonMetricExtracted
CurrentReceivables,,,,,166271000.0,169119000.0,217039000.0,199858000.0,223259000.0,303677000.0,348687000.0,289600000.0,355335000.0,428579000.0,505848000.0,533056000.0,723943000.0,874984000.0,888484000.0,725036000.0,,,169119000.0,199858000.0,303677000.0,289600000.0,428579000.0,533056000.0,874984000.0,725036000.0,166271000.0,199858000.0,348687000.0,428579000.0,723943000.0,725036000.0,,199858000.0,289600000.0,533056000.0,725036000.0,166271000.0,303677000.0,505848000.0,725036000.0,303677000.0,725036000.0,725036000.0,725036000.0,CommonMetricExtracted
PrepaidExpenses,,,,,88685000.0,87877000.0,96598000.0,107910000.0,108289000.0,99975000.0,95199000.0,136833000.0,165294000.0,243701000.0,180957000.0,170152000.0,292082000.0,433850000.0,218832000.0,265113000.0,,,87877000.0,107910000.0,99975000.0,136833000.0,243701000.0,170152000.0,433850000.0,265113000.0,88685000.0,107910000.0,95199000.0,243701000.0,292082000.0,265113000.0,,107910000.0,136833000.0,170152000.0,265113000.0,88685000.0,99975000.0,180957000.0,265113000.0,99975000.0,265113000.0,265113000.0,265113000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,417632000.0,445894000.0,461632000.0,458417000.0,494672000.0,606783000.0,558174000.0,533307000.0,657032000.0,839769000.0,859856000.0,871013000.0,1614767000.0,3707662000.0,1881114000.0,1464475000.0,,,445894000.0,458417000.0,606783000.0,533307000.0,839769000.0,871013000.0,3707662000.0,1464475000.0,417632000.0,458417000.0,558174000.0,839769000.0,1614767000.0,1464475000.0,,458417000.0,533307000.0,871013000.0,1464475000.0,417632000.0,606783000.0,859856000.0,1464475000.0,606783000.0,1464475000.0,1464475000.0,1464475000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,7134239000.0,7813221000.0,8384000000.0,10789690000.0,9453907000.0,10140362000.0,10844895000.0,,,,,,,7134239000.0,8384000000.0,9453907000.0,10844895000.0,,,,7134239000.0,10789690000.0,10844895000.0,,,,8384000000.0,10844895000.0,,,7813221000.0,10844895000.0,,10844895000.0,10844895000.0,10844895000.0,CommonMetricExtracted
Goodwill,,,,,,,,,17810000.0,143160000.0,126145000.0,139983000.0,179314000.0,359045000.0,343023000.0,345184000.0,1781332000.0,787250000.0,789729000.0,781201000.0,,,,,143160000.0,139983000.0,359045000.0,345184000.0,787250000.0,781201000.0,,,126145000.0,359045000.0,1781332000.0,781201000.0,,,139983000.0,345184000.0,781201000.0,,143160000.0,343023000.0,781201000.0,143160000.0,781201000.0,781201000.0,781201000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,3906292000.0,3984193000.0,4276007000.0,4488057000.0,4565174000.0,5214515000.0,5358685000.0,5581126000.0,6237066000.0,7357729000.0,8170048000.0,8735853000.0,12765257000.0,13196614000.0,11869896000.0,12023836000.0,,,3984193000.0,4488057000.0,5214515000.0,5581126000.0,7357729000.0,8735853000.0,13196614000.0,12023836000.0,3906292000.0,4488057000.0,5358685000.0,7357729000.0,12765257000.0,12023836000.0,,4488057000.0,5581126000.0,8735853000.0,12023836000.0,3906292000.0,5214515000.0,8170048000.0,12023836000.0,5214515000.0,12023836000.0,12023836000.0,12023836000.0,CommonMetricExtracted
ShorttermDebt,,,,,1327000.0,75080000.0,322618000.0,50137000.0,11105000.0,19192000.0,19475000.0,50101000.0,25346000.0,33060000.0,163512000.0,40433000.0,297324000.0,44557000.0,42552000.0,30018000.0,,,75080000.0,50137000.0,19192000.0,50101000.0,33060000.0,40433000.0,44557000.0,30018000.0,1327000.0,50137000.0,19475000.0,33060000.0,297324000.0,30018000.0,,50137000.0,50101000.0,40433000.0,30018000.0,1327000.0,19192000.0,163512000.0,30018000.0,19192000.0,30018000.0,30018000.0,30018000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,178500000.0,185698000.0,203454000.0,171747000.0,201431000.0,184456000.0,181970000.0,204517000.0,252131000.0,271445000.0,262319000.0,264393000.0,391063000.0,703336000.0,384329000.0,373694000.0,,,185698000.0,171747000.0,184456000.0,204517000.0,271445000.0,264393000.0,703336000.0,373694000.0,178500000.0,171747000.0,181970000.0,271445000.0,391063000.0,373694000.0,,171747000.0,204517000.0,264393000.0,373694000.0,178500000.0,184456000.0,262319000.0,373694000.0,184456000.0,373694000.0,373694000.0,373694000.0,CommonMetricExtracted
