,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,647885000.0,770452000.0,791579000.0,604535000.0,656232000.0,735339000.0,741048000.0,720635000.0,,,,,,,647885000.0,791579000.0,656232000.0,741048000.0,,,,,791579000.0,735339000.0,,,,647885000.0,656232000.0,,,,604535000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,389831000.0,426156000.0,475164000.0,477911000.0,524656000.0,499333000.0,502504000.0,566581000.0,523519000.0,389080000.0,414971000.0,465393000.0,455952000.0,438634000.0,,,,389831000.0,475164000.0,524656000.0,502504000.0,523519000.0,414971000.0,455952000.0,,,475164000.0,499333000.0,523519000.0,465393000.0,,,475164000.0,502504000.0,414971000.0,,,524656000.0,389080000.0,,524656000.0,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,137807000.0,146995000.0,159601000.0,165786000.0,165837000.0,170219000.0,174060000.0,206419000.0,184733000.0,148499000.0,163063000.0,169890000.0,172335000.0,169599000.0,,,,137807000.0,159601000.0,165837000.0,174060000.0,184733000.0,163063000.0,172335000.0,,,159601000.0,170219000.0,184733000.0,169890000.0,,,159601000.0,174060000.0,163063000.0,,,165837000.0,148499000.0,,165837000.0,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,55256000.0,64580000.0,63829000.0,65868000.0,78644000.0,70344000.0,65026000.0,84039000.0,79476000.0,60528000.0,59165000.0,88294000.0,171089000.0,101738000.0,,,,55256000.0,63829000.0,78644000.0,65026000.0,79476000.0,59165000.0,171089000.0,,,63829000.0,70344000.0,79476000.0,88294000.0,,,63829000.0,65026000.0,59165000.0,,,78644000.0,60528000.0,,78644000.0,,,CommonMetricExtracted
Interest,,,,,,,2107000.0,2280000.0,2469000.0,2249000.0,3161000.0,2871000.0,4043000.0,8030000.0,10760000.0,7475000.0,5992000.0,5874000.0,5405000.0,4544000.0,,,,2107000.0,2469000.0,3161000.0,4043000.0,10760000.0,5992000.0,5405000.0,,,2469000.0,2871000.0,10760000.0,5874000.0,,,2469000.0,4043000.0,5992000.0,,,3161000.0,7475000.0,,3161000.0,,,CommonMetricExtracted
Taxes,,,,,,,14922000.0,15912000.0,15910000.0,18054000.0,20874000.0,16295000.0,15355000.0,40620000.0,18688000.0,13060000.0,14157000.0,19807000.0,24796000.0,21532000.0,,,,14922000.0,15910000.0,20874000.0,15355000.0,18688000.0,14157000.0,24796000.0,,,15910000.0,16295000.0,18688000.0,19807000.0,,,15910000.0,15355000.0,14157000.0,,,20874000.0,13060000.0,,20874000.0,,,CommonMetricExtracted
NetIncome,,,,,,,35367000.0,30905000.0,44848000.0,42866000.0,54743000.0,52056000.0,46545000.0,36604000.0,67914000.0,20188000.0,36473000.0,61393000.0,138992000.0,73074000.0,,,,35367000.0,44848000.0,54743000.0,46545000.0,67914000.0,36473000.0,138992000.0,,,44848000.0,52056000.0,67914000.0,61393000.0,,,44848000.0,46545000.0,36473000.0,,,54743000.0,20188000.0,,54743000.0,,,CommonMetricExtracted
Cash,,,,,,33630000.0,14407000.0,54749000.0,51064000.0,74260000.0,96128000.0,121988000.0,88566000.0,109602000.0,93145000.0,118809000.0,136367000.0,104844000.0,195706000.0,154203000.0,,,33630000.0,54749000.0,74260000.0,121988000.0,109602000.0,118809000.0,104844000.0,154203000.0,,54749000.0,96128000.0,109602000.0,136367000.0,154203000.0,,54749000.0,121988000.0,118809000.0,154203000.0,,74260000.0,93145000.0,154203000.0,74260000.0,154203000.0,154203000.0,154203000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,99432000.0,102268000.0,107674000.0,110478000.0,103974000.0,127060000.0,134228000.0,119589000.0,98157000.0,109883000.0,117075000.0,123440000.0,121365000.0,,,,99432000.0,107674000.0,103974000.0,134228000.0,98157000.0,117075000.0,121365000.0,,99432000.0,110478000.0,134228000.0,109883000.0,121365000.0,,99432000.0,103974000.0,98157000.0,121365000.0,,107674000.0,119589000.0,121365000.0,107674000.0,121365000.0,121365000.0,121365000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,6255000.0,7776000.0,7034000.0,7070000.0,4784000.0,8397000.0,10558000.0,30872000.0,18870000.0,23504000.0,45210000.0,64739000.0,22028000.0,,,,6255000.0,7034000.0,4784000.0,10558000.0,18870000.0,45210000.0,22028000.0,,6255000.0,7070000.0,10558000.0,23504000.0,22028000.0,,6255000.0,4784000.0,18870000.0,22028000.0,,7034000.0,30872000.0,22028000.0,7034000.0,22028000.0,22028000.0,22028000.0,CommonMetricExtracted
Inventory,,,,,,,,73076000.0,84956000.0,97065000.0,108305000.0,105402000.0,119401000.0,127223000.0,88645000.0,85031000.0,91862000.0,105339000.0,98537000.0,87106000.0,,,,73076000.0,97065000.0,105402000.0,127223000.0,85031000.0,105339000.0,87106000.0,,73076000.0,108305000.0,127223000.0,91862000.0,87106000.0,,73076000.0,105402000.0,85031000.0,87106000.0,,97065000.0,88645000.0,87106000.0,97065000.0,87106000.0,87106000.0,87106000.0,CommonMetricExtracted
CurrentAssets,,,,,,,,249270000.0,258302000.0,299936000.0,335402000.0,355849000.0,360884000.0,383959000.0,333873000.0,331997000.0,374366000.0,378998000.0,483253000.0,430095000.0,,,,249270000.0,299936000.0,355849000.0,383959000.0,331997000.0,378998000.0,430095000.0,,249270000.0,335402000.0,383959000.0,374366000.0,430095000.0,,249270000.0,355849000.0,331997000.0,430095000.0,,299936000.0,333873000.0,430095000.0,299936000.0,430095000.0,430095000.0,430095000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,82563000.0,95020000.0,96697000.0,108536000.0,106686000.0,133160000.0,144570000.0,148024000.0,132533000.0,133373000.0,128584000.0,130937000.0,134963000.0,,,,82563000.0,96697000.0,106686000.0,144570000.0,132533000.0,128584000.0,134963000.0,,82563000.0,108536000.0,144570000.0,133373000.0,134963000.0,,82563000.0,106686000.0,132533000.0,134963000.0,,96697000.0,148024000.0,134963000.0,96697000.0,134963000.0,134963000.0,134963000.0,CommonMetricExtracted
Goodwill,,,,,,,102439000.0,100633000.0,111905000.0,125965000.0,154732000.0,157354000.0,242690000.0,251762000.0,281503000.0,271221000.0,278054000.0,267906000.0,264821000.0,281283000.0,,,,100633000.0,125965000.0,157354000.0,251762000.0,271221000.0,267906000.0,281283000.0,,100633000.0,154732000.0,251762000.0,278054000.0,281283000.0,,100633000.0,157354000.0,271221000.0,281283000.0,,125965000.0,281503000.0,281283000.0,125965000.0,281283000.0,281283000.0,281283000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,19818000.0,25837000.0,31490000.0,38048000.0,40412000.0,102503000.0,98075000.0,118660000.0,106412000.0,98929000.0,85770000.0,75651000.0,78673000.0,,,,19818000.0,31490000.0,40412000.0,98075000.0,106412000.0,85770000.0,78673000.0,,19818000.0,38048000.0,98075000.0,98929000.0,78673000.0,,19818000.0,40412000.0,106412000.0,78673000.0,,31490000.0,118660000.0,78673000.0,31490000.0,78673000.0,78673000.0,78673000.0,CommonMetricExtracted
TotalAssets,,,,,,,,479811000.0,510573000.0,578160000.0,660341000.0,690457000.0,867676000.0,916937000.0,921889000.0,930878000.0,962223000.0,934439000.0,1024929000.0,1005057000.0,,,,479811000.0,578160000.0,690457000.0,916937000.0,930878000.0,934439000.0,1005057000.0,,479811000.0,660341000.0,916937000.0,962223000.0,1005057000.0,,479811000.0,690457000.0,930878000.0,1005057000.0,,578160000.0,921889000.0,1005057000.0,578160000.0,1005057000.0,1005057000.0,1005057000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,116785000.0,118473000.0,141170000.0,138791000.0,132579000.0,159964000.0,161341000.0,140995000.0,122267000.0,143709000.0,150768000.0,140967000.0,127565000.0,,,,116785000.0,141170000.0,132579000.0,161341000.0,122267000.0,150768000.0,127565000.0,,116785000.0,138791000.0,161341000.0,143709000.0,127565000.0,,116785000.0,132579000.0,122267000.0,127565000.0,,141170000.0,140995000.0,127565000.0,141170000.0,127565000.0,127565000.0,127565000.0,CommonMetricExtracted
