,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,11325000000.0,12444000000.0,13601000000.0,14884000000.0,14351000000.0,17108000000.0,18449000000.0,20498000000.0,22595000000.0,,,,,,,12444000000.0,14884000000.0,17108000000.0,20498000000.0,,,,11325000000.0,14884000000.0,18449000000.0,,,,12444000000.0,17108000000.0,,,,14351000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,3821000000.0,4264000000.0,4663000000.0,5188000000.0,5294000000.0,6140000000.0,6871000000.0,7440000000.0,8155000000.0,,,,,,,4264000000.0,5188000000.0,6140000000.0,7440000000.0,,,,3821000000.0,5188000000.0,6871000000.0,,,,4264000000.0,6140000000.0,,,,5294000000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,2625100000.0,2506300000.0,2707300000.0,3150000000.0,3466000000.0,4066000000.0,3575000000.0,3610000000.0,4137000000.0,4552000000.0,5099000000.0,5356000000.0,5361000000.0,6427000000.0,6455000000.0,7129000000.0,7685000000.0,,,2506300000.0,3150000000.0,4066000000.0,3610000000.0,4552000000.0,5356000000.0,6427000000.0,7129000000.0,,2707300000.0,4066000000.0,4137000000.0,5356000000.0,6455000000.0,,2506300000.0,4066000000.0,4552000000.0,6427000000.0,,2707300000.0,3610000000.0,5361000000.0,,3610000000.0,2707300000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,367800000.0,336200000.0,394000000.0,462000000.0,471000000.0,536000000.0,614000000.0,625000000.0,715000000.0,787000000.0,862000000.0,971000000.0,984000000.0,1235000000.0,1454000000.0,1388000000.0,1466000000.0,,,336200000.0,462000000.0,536000000.0,625000000.0,787000000.0,971000000.0,1235000000.0,1388000000.0,,394000000.0,536000000.0,715000000.0,971000000.0,1454000000.0,,336200000.0,536000000.0,787000000.0,1235000000.0,,394000000.0,625000000.0,984000000.0,,625000000.0,394000000.0,,CommonMetricExtracted
OperatingMargin,,,,1519000000.0,1594400000.0,1751400000.0,1686000000.0,1741000000.0,1256000000.0,1246000000.0,1861000000.0,2175000000.0,2297000000.0,2537000000.0,2713000000.0,2223000000.0,2584000000.0,2841000000.0,3888000000.0,3689000000.0,,,1594400000.0,1686000000.0,1256000000.0,1861000000.0,2297000000.0,2713000000.0,2584000000.0,3888000000.0,,1751400000.0,1256000000.0,2175000000.0,2713000000.0,2841000000.0,,1594400000.0,1256000000.0,2297000000.0,2584000000.0,,1751400000.0,1861000000.0,2223000000.0,,1861000000.0,1751400000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,432400000.0,517000000.0,456200000.0,341000000.0,407000000.0,206000000.0,645000000.0,296000000.0,274000000.0,1043000000.0,-1197000000.0,479000000.0,355000000.0,287000000.0,325000000.0,508000000.0,499000000.0,,,517000000.0,341000000.0,206000000.0,296000000.0,1043000000.0,479000000.0,287000000.0,508000000.0,,456200000.0,206000000.0,274000000.0,479000000.0,325000000.0,,517000000.0,206000000.0,1043000000.0,287000000.0,,456200000.0,296000000.0,355000000.0,,296000000.0,456200000.0,,CommonMetricExtracted
NetIncome,,,,1147800000.0,1107400000.0,1273400000.0,1345000000.0,1298000000.0,1006000000.0,515000000.0,1439000000.0,1647000000.0,1020000000.0,3553000000.0,2083000000.0,1599000000.0,1994000000.0,2358000000.0,3165000000.0,2993000000.0,,,1107400000.0,1345000000.0,1006000000.0,1439000000.0,1020000000.0,2083000000.0,1994000000.0,3165000000.0,,1273400000.0,1006000000.0,1647000000.0,2083000000.0,2358000000.0,,1107400000.0,1006000000.0,1020000000.0,1994000000.0,,1273400000.0,1439000000.0,1599000000.0,,1439000000.0,1273400000.0,,CommonMetricExtracted
Cash,,,290500000.0,701100000.0,659000000.0,1758000000.0,905000000.0,1395000000.0,1339000000.0,1795000000.0,3379000000.0,3316000000.0,2542000000.0,3616000000.0,4337000000.0,2943000000.0,2944000000.0,1844000000.0,2971000000.0,3652000000.0,,701100000.0,1758000000.0,1395000000.0,1795000000.0,3316000000.0,3616000000.0,2943000000.0,1844000000.0,3652000000.0,659000000.0,1395000000.0,3379000000.0,3616000000.0,2944000000.0,3652000000.0,701100000.0,1395000000.0,3316000000.0,2943000000.0,3652000000.0,659000000.0,1795000000.0,4337000000.0,3652000000.0,1795000000.0,3652000000.0,3652000000.0,3652000000.0,CommonMetricExtracted
CurrentReceivables,,,,,1147100000.0,1252000000.0,1417000000.0,1430000000.0,1518000000.0,1572000000.0,1662000000.0,1967000000.0,2198000000.0,2332000000.0,2893000000.0,2701000000.0,3022000000.0,3565000000.0,3765000000.0,3987000000.0,,,1252000000.0,1430000000.0,1572000000.0,1967000000.0,2332000000.0,2701000000.0,3565000000.0,3987000000.0,1147100000.0,1430000000.0,1662000000.0,2332000000.0,3022000000.0,3987000000.0,,1430000000.0,1967000000.0,2701000000.0,3987000000.0,1147100000.0,1572000000.0,2893000000.0,3987000000.0,1572000000.0,3987000000.0,3987000000.0,3987000000.0,CommonMetricExtracted
