,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,5907000.0,3994000.0,6432000.0,12381000.0,18869000.0,21686000.0,11848000.0,6438000.0,11982000.0,21088000.0,16808000.0,24989000.0,31704000.0,,,,,3994000.0,12381000.0,21686000.0,6438000.0,21088000.0,24989000.0,,,3994000.0,18869000.0,6438000.0,16808000.0,,,3994000.0,21686000.0,21088000.0,,,12381000.0,11982000.0,,12381000.0,,,CommonMetricExtracted
OperatingMargin,,,,,,,,26000.0,-790000.0,4238000.0,-507000.0,179000.0,398000.0,643000.0,262000.0,466000.0,237000.0,1110000.0,3193000.0,4558000.0,,,,,-790000.0,-507000.0,398000.0,262000.0,237000.0,3193000.0,,,-790000.0,179000.0,262000.0,1110000.0,,,-790000.0,398000.0,237000.0,,,-507000.0,466000.0,,-507000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,-5000.0,-1000.0,-6000.0,-5000.0,11000.0,-20000.0,20000.0,,,-211000.0,-477000.0,657000.0,33000.0,,,,,-1000.0,-5000.0,-20000.0,,-211000.0,657000.0,,,-1000.0,11000.0,,-477000.0,,,-1000.0,-20000.0,-211000.0,,,-5000.0,,,-5000.0,,,CommonMetricExtracted
NetIncome,,,,,,,,-7970000.0,-7912000.0,-3342000.0,-21377000.0,-28526000.0,-29964000.0,-20729000.0,-7830000.0,-33978000.0,-47252000.0,-65952000.0,-40420000.0,-44596000.0,,,,,-7912000.0,-21377000.0,-29964000.0,-7830000.0,-47252000.0,-40420000.0,,,-7912000.0,-28526000.0,-7830000.0,-65952000.0,,,-7912000.0,-29964000.0,-47252000.0,,,-21377000.0,-33978000.0,,-21377000.0,,,CommonMetricExtracted
Cash,,,,,,,3270000.0,2409000.0,2793000.0,68840000.0,40031000.0,36392000.0,21170000.0,19371000.0,6181000.0,168598000.0,35724000.0,24127000.0,39586000.0,162798000.0,,,,2409000.0,68840000.0,36392000.0,19371000.0,168598000.0,24127000.0,162798000.0,,2409000.0,40031000.0,19371000.0,35724000.0,162798000.0,,2409000.0,36392000.0,168598000.0,162798000.0,,68840000.0,6181000.0,162798000.0,68840000.0,162798000.0,162798000.0,162798000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,1006000.0,1345000.0,1438000.0,1339000.0,1369000.0,744000.0,787000.0,1883000.0,1776000.0,3125000.0,1863000.0,,,,,1006000.0,1438000.0,1369000.0,787000.0,1776000.0,1863000.0,,,1345000.0,1369000.0,1883000.0,1863000.0,,,1438000.0,787000.0,1863000.0,,1006000.0,744000.0,1863000.0,1006000.0,1863000.0,1863000.0,1863000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
