,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,5091388000.0,5019943000.0,4986829000.0,5180471000.0,5345277000.0,4901236000.0,5009438000.0,5210000000.0,5155000000.0,5044000000.0,5109000000.0,5176000000.0,5225000000.0,5329000000.0,5413000000.0,5160000000.0,4964000000.0,,,5019943000.0,5180471000.0,4901236000.0,5210000000.0,5044000000.0,5176000000.0,5329000000.0,5160000000.0,,4986829000.0,4901236000.0,5155000000.0,5176000000.0,5413000000.0,,5019943000.0,4901236000.0,5044000000.0,5329000000.0,,4986829000.0,5210000000.0,5225000000.0,,5210000000.0,4986829000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,1927272000.0,1964431000.0,2011772000.0,2011861000.0,2033901000.0,1947778000.0,1865807000.0,1781000000.0,1762000000.0,1689000000.0,1694000000.0,1717000000.0,1681000000.0,1677000000.0,1768000000.0,1753000000.0,1721000000.0,,,1964431000.0,2011861000.0,1947778000.0,1781000000.0,1689000000.0,1717000000.0,1677000000.0,1753000000.0,,2011772000.0,1947778000.0,1762000000.0,1717000000.0,1768000000.0,,1964431000.0,1947778000.0,1689000000.0,1677000000.0,,2011772000.0,1781000000.0,1681000000.0,,1781000000.0,2011772000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,128747000.0,407844000.0,296091000.0,362502000.0,183863000.0,235359000.0,-189864000.0,431000000.0,111000000.0,-105000000.0,205000000.0,179000000.0,259000000.0,261000000.0,122000000.0,-414000000.0,63000000.0,,,407844000.0,362502000.0,235359000.0,431000000.0,-105000000.0,179000000.0,261000000.0,-414000000.0,,296091000.0,235359000.0,111000000.0,179000000.0,122000000.0,,407844000.0,235359000.0,-105000000.0,261000000.0,,296091000.0,431000000.0,259000000.0,,431000000.0,296091000.0,,CommonMetricExtracted
Interest,,,,139304000.0,126209000.0,116810000.0,118201000.0,86745000.0,98811000.0,111397000.0,142000000.0,170000000.0,170000000.0,172000000.0,165000000.0,168000000.0,232000000.0,174000000.0,244000000.0,279000000.0,,,126209000.0,118201000.0,98811000.0,142000000.0,170000000.0,165000000.0,232000000.0,244000000.0,,116810000.0,98811000.0,170000000.0,165000000.0,174000000.0,,126209000.0,98811000.0,170000000.0,232000000.0,,116810000.0,142000000.0,168000000.0,,142000000.0,116810000.0,,CommonMetricExtracted
Taxes,,,,34299000.0,135539000.0,95188000.0,113503000.0,73582000.0,126043000.0,-4932000.0,172000000.0,40000000.0,-279000000.0,46000000.0,64000000.0,19000000.0,33000000.0,53000000.0,10000000.0,6000000.0,,,135539000.0,113503000.0,126043000.0,172000000.0,-279000000.0,64000000.0,33000000.0,10000000.0,,95188000.0,126043000.0,40000000.0,64000000.0,53000000.0,,135539000.0,126043000.0,-279000000.0,33000000.0,,95188000.0,172000000.0,19000000.0,,172000000.0,95188000.0,,CommonMetricExtracted
NetIncome,,,,29399000.0,58602000.0,45737000.0,49676000.0,40792000.0,24894000.0,-10937000.0,44000000.0,9000000.0,4000000.0,40000000.0,26000000.0,43000000.0,32000000.0,10000000.0,13000000.0,2000000.0,,,58602000.0,49676000.0,24894000.0,44000000.0,4000000.0,26000000.0,32000000.0,13000000.0,,45737000.0,24894000.0,9000000.0,26000000.0,10000000.0,,58602000.0,24894000.0,4000000.0,32000000.0,,45737000.0,44000000.0,43000000.0,,44000000.0,45737000.0,,CommonMetricExtracted
Cash,,,1174446000.0,777309000.0,674469000.0,368134000.0,563275000.0,740481000.0,830014000.0,472000000.0,985000000.0,900000000.0,619000000.0,921000000.0,,1429000000.0,367000000.0,360000000.0,236000000.0,364000000.0,,777309000.0,368134000.0,740481000.0,472000000.0,900000000.0,921000000.0,1429000000.0,360000000.0,364000000.0,674469000.0,740481000.0,985000000.0,921000000.0,367000000.0,364000000.0,777309000.0,740481000.0,900000000.0,1429000000.0,364000000.0,674469000.0,472000000.0,,364000000.0,472000000.0,364000000.0,364000000.0,364000000.0,CommonMetricExtracted
CurrentReceivables,,,,,515443000.0,577931000.0,628213000.0,583953000.0,733511000.0,797389000.0,873407000.0,861000000.0,963000000.0,1111000000.0,,1299000000.0,1335000000.0,1240000000.0,1078000000.0,1043000000.0,,,577931000.0,583953000.0,797389000.0,861000000.0,1111000000.0,1299000000.0,1240000000.0,1043000000.0,515443000.0,583953000.0,873407000.0,1111000000.0,1335000000.0,1043000000.0,,583953000.0,861000000.0,1299000000.0,1043000000.0,515443000.0,797389000.0,,1043000000.0,797389000.0,1043000000.0,1043000000.0,1043000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,94336000.0,76935000.0,80628000.0,86385000.0,87920000.0,86506000.0,112235000.0,115000000.0,112000000.0,103000000.0,90000000.0,105000000.0,103000000.0,102000000.0,86000000.0,72000000.0,,,76935000.0,86385000.0,86506000.0,115000000.0,103000000.0,105000000.0,102000000.0,72000000.0,94336000.0,86385000.0,112235000.0,103000000.0,103000000.0,72000000.0,,86385000.0,115000000.0,105000000.0,72000000.0,94336000.0,86506000.0,90000000.0,72000000.0,86506000.0,72000000.0,72000000.0,72000000.0,CommonMetricExtracted
Inventory,,,,,156987000.0,116330000.0,130044000.0,160692000.0,244560000.0,273707000.0,158222000.0,151000000.0,145000000.0,150000000.0,,154000000.0,178000000.0,268000000.0,208000000.0,183000000.0,,,116330000.0,160692000.0,273707000.0,151000000.0,150000000.0,154000000.0,268000000.0,183000000.0,156987000.0,160692000.0,158222000.0,150000000.0,178000000.0,183000000.0,,160692000.0,151000000.0,154000000.0,183000000.0,156987000.0,273707000.0,,183000000.0,273707000.0,183000000.0,183000000.0,183000000.0,CommonMetricExtracted
CurrentAssets,,,,,1647671000.0,1596076000.0,1705680000.0,1763437000.0,2087337000.0,1766955000.0,2158343000.0,2059000000.0,1966000000.0,2330000000.0,,3026000000.0,2044000000.0,2028000000.0,1660000000.0,1695000000.0,,,1596076000.0,1763437000.0,1766955000.0,2059000000.0,2330000000.0,3026000000.0,2028000000.0,1695000000.0,1647671000.0,1763437000.0,2158343000.0,2330000000.0,2044000000.0,1695000000.0,,1763437000.0,2059000000.0,3026000000.0,1695000000.0,1647671000.0,1766955000.0,,1695000000.0,1766955000.0,1695000000.0,1695000000.0,1695000000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,3507845000.0,3558334000.0,3784535000.0,3997266000.0,3878144000.0,3846125000.0,3764477000.0,3555000000.0,3424000000.0,3346000000.0,,3972000000.0,4361000000.0,4760000000.0,5062000000.0,4994000000.0,,,3558334000.0,3997266000.0,3846125000.0,3555000000.0,3346000000.0,3972000000.0,4760000000.0,4994000000.0,3507845000.0,3997266000.0,3764477000.0,3346000000.0,4361000000.0,4994000000.0,,3997266000.0,3555000000.0,3972000000.0,4994000000.0,3507845000.0,3846125000.0,,4994000000.0,3846125000.0,4994000000.0,4994000000.0,4994000000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,26589000.0,30810000.0,50734000.0,58522000.0,71454000.0,64499000.0,47000000.0,33000000.0,279000000.0,253000000.0,,213000000.0,197000000.0,204000000.0,183000000.0,161000000.0,,,30810000.0,58522000.0,64499000.0,33000000.0,253000000.0,213000000.0,204000000.0,161000000.0,26589000.0,58522000.0,47000000.0,253000000.0,197000000.0,161000000.0,,58522000.0,33000000.0,213000000.0,161000000.0,26589000.0,64499000.0,,161000000.0,64499000.0,161000000.0,161000000.0,161000000.0,CommonMetricExtracted
TotalAssets,,,,7665851000.0,7612313000.0,7762519000.0,8201005000.0,8623900000.0,8904147000.0,8906939000.0,9422462000.0,9446000000.0,9295000000.0,9783000000.0,,12525000000.0,13493000000.0,14550000000.0,13921000000.0,13682000000.0,,7665851000.0,7762519000.0,8623900000.0,8906939000.0,9446000000.0,9783000000.0,12525000000.0,14550000000.0,13682000000.0,7612313000.0,8623900000.0,9422462000.0,9783000000.0,13493000000.0,13682000000.0,7665851000.0,8623900000.0,9446000000.0,12525000000.0,13682000000.0,7612313000.0,8906939000.0,,13682000000.0,8906939000.0,13682000000.0,13682000000.0,13682000000.0,CommonMetricExtracted
ShorttermDebt,,,,,2509000.0,1711000.0,1509000.0,1233000.0,1646000.0,808000.0,14306000.0,12000000.0,20000000.0,21000000.0,,5000000.0,6000000.0,19000000.0,26000000.0,31000000.0,,,1711000.0,1233000.0,808000.0,12000000.0,21000000.0,5000000.0,19000000.0,31000000.0,2509000.0,1233000.0,14306000.0,21000000.0,6000000.0,31000000.0,,1233000.0,12000000.0,5000000.0,31000000.0,2509000.0,808000.0,,31000000.0,808000.0,31000000.0,31000000.0,31000000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,409916000.0,390465000.0,405815000.0,425528000.0,566587000.0,433859000.0,390000000.0,409000000.0,432000000.0,409000000.0,,577000000.0,536000000.0,564000000.0,415000000.0,335000000.0,,,390465000.0,425528000.0,433859000.0,409000000.0,409000000.0,577000000.0,564000000.0,335000000.0,409916000.0,425528000.0,390000000.0,409000000.0,536000000.0,335000000.0,,425528000.0,409000000.0,577000000.0,335000000.0,409916000.0,433859000.0,,335000000.0,433859000.0,335000000.0,335000000.0,335000000.0,CommonMetricExtracted
CurrentLiability,,,,,1010313000.0,1054591000.0,1125853000.0,1193545000.0,1519161000.0,1359608000.0,1184782000.0,1113000000.0,1373000000.0,1317000000.0,218000000.0,1708000000.0,1818000000.0,2445000000.0,1927000000.0,1814000000.0,,,1054591000.0,1193545000.0,1359608000.0,1113000000.0,1317000000.0,1708000000.0,2445000000.0,1814000000.0,1010313000.0,1193545000.0,1184782000.0,1317000000.0,1818000000.0,1814000000.0,,1193545000.0,1113000000.0,1708000000.0,1814000000.0,1010313000.0,1359608000.0,218000000.0,1814000000.0,1359608000.0,1814000000.0,1814000000.0,1814000000.0,CommonMetricExtracted
