,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,10314295.0,8099897.0,,,,,,,,,,10314295.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,2703111.0,,3856889.0,3994390.0,,,,,,,,,2703111.0,3856889.0,,,,,,,,,,,2703111.0,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,0.0,-81909.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,4086245.0,,-5625115.0,-12500968.0,,,,,,,,,4086245.0,-5625115.0,,,,,,,,,,,4086245.0,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,12232256.0,24321951.0,3193078.0,3008449.0,,,,,,,,,24321951.0,3008449.0,,,,,12232256.0,3008449.0,,,,,3008449.0,,,,3008449.0,,3008449.0,3008449.0,3008449.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,1450451.0,,79584772.0,30661984.0,,,,,,,,,,30661984.0,,,,,1450451.0,30661984.0,,,,,30661984.0,,,,30661984.0,,30661984.0,30661984.0,30661984.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,314945.0,,515407.0,385795.0,,,,,,,,,,385795.0,,,,,314945.0,385795.0,,,,,385795.0,,,,385795.0,,385795.0,385795.0,385795.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,124732175.0,,124339151.0,115902944.0,,,,,,,,,,115902944.0,,,,,124732175.0,115902944.0,,,,,115902944.0,,,,115902944.0,,115902944.0,115902944.0,115902944.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,,,93292068.0,30647049.0,,,,,,,,,,30647049.0,,,,,,30647049.0,,,,,30647049.0,,,,30647049.0,,30647049.0,30647049.0,30647049.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,,224618.0,,106918.0,0.0,,,,,,,,,,0.0,,,,,224618.0,0.0,,,,,0.0,,,,0.0,,0.0,0.0,0.0,CommonMetricExtracted
