,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,4582112000.0,7246952000.0,8328909000.0,7864758000.0,8167933000.0,12317380000.0,16312525000.0,11121605000.0,10043408000.0,,,,,,,7246952000.0,7864758000.0,12317380000.0,11121605000.0,,,,4582112000.0,7864758000.0,16312525000.0,,,,7246952000.0,12317380000.0,,,,8167933000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,1369359000.0,1969471000.0,2422373000.0,2727884000.0,2817256000.0,3055060000.0,3449274000.0,3855787000.0,6203369000.0,7164243000.0,6891664000.0,7049726000.0,10422407000.0,13506495000.0,9525252000.0,8591446000.0,,,1369359000.0,2422373000.0,2817256000.0,3449274000.0,6203369000.0,6891664000.0,10422407000.0,9525252000.0,,1969471000.0,2817256000.0,3855787000.0,6891664000.0,13506495000.0,,1369359000.0,2817256000.0,6203369000.0,10422407000.0,,1969471000.0,3449274000.0,7049726000.0,,3449274000.0,1969471000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,124578000.0,147407000.0,180858000.0,169154000.0,194650000.0,208712000.0,250891000.0,306269000.0,419847000.0,477444000.0,536044000.0,634119000.0,869916000.0,1116462000.0,870054000.0,895531000.0,,,124578000.0,180858000.0,194650000.0,250891000.0,419847000.0,536044000.0,869916000.0,870054000.0,,147407000.0,194650000.0,306269000.0,536044000.0,1116462000.0,,124578000.0,194650000.0,419847000.0,869916000.0,,147407000.0,250891000.0,634119000.0,,250891000.0,147407000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,132337000.0,165388000.0,221972000.0,252819000.0,292895000.0,383313000.0,556386000.0,633029000.0,184666000.0,272896000.0,844581000.0,1459864000.0,499353000.0,348844000.0,,,,132337000.0,221972000.0,292895000.0,556386000.0,184666000.0,844581000.0,499353000.0,,,221972000.0,383313000.0,184666000.0,1459864000.0,,,221972000.0,556386000.0,844581000.0,,,292895000.0,272896000.0,,292895000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,108670000.0,106530000.0,121746000.0,152900000.0,179024000.0,199385000.0,256519000.0,374254000.0,430151000.0,76271000.0,306971000.0,677500000.0,911576000.0,487331000.0,240149000.0,,,,106530000.0,152900000.0,199385000.0,374254000.0,76271000.0,677500000.0,487331000.0,,108670000.0,152900000.0,256519000.0,76271000.0,911576000.0,,,152900000.0,374254000.0,677500000.0,,108670000.0,199385000.0,306971000.0,,199385000.0,108670000.0,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,374254000.0,430151000.0,132465000.0,221384000.0,660870000.0,1138243000.0,374240000.0,265400000.0,,,,,,,374254000.0,132465000.0,660870000.0,374240000.0,,,,,132465000.0,1138243000.0,,,,374254000.0,660870000.0,,,,221384000.0,,,,,CommonMetricExtracted
Cash,,,,189620000.0,221684000.0,247751000.0,215435000.0,218642000.0,236601000.0,289336000.0,183478000.0,209902000.0,223258000.0,275249000.0,425615000.0,538519000.0,445852000.0,311553000.0,441232000.0,501316000.0,,189620000.0,247751000.0,218642000.0,289336000.0,209902000.0,275249000.0,538519000.0,311553000.0,501316000.0,221684000.0,218642000.0,183478000.0,275249000.0,445852000.0,501316000.0,189620000.0,218642000.0,209902000.0,538519000.0,501316000.0,221684000.0,289336000.0,425615000.0,501316000.0,289336000.0,501316000.0,501316000.0,501316000.0,CommonMetricExtracted
CurrentReceivables,,,,,,165399000.0,169493000.0,232085000.0,246379000.0,279793000.0,269694000.0,392539000.0,484844000.0,487235000.0,542822000.0,670949000.0,949932000.0,944181000.0,643219000.0,700895000.0,,,165399000.0,232085000.0,279793000.0,392539000.0,487235000.0,670949000.0,944181000.0,700895000.0,,232085000.0,269694000.0,487235000.0,949932000.0,700895000.0,,232085000.0,392539000.0,670949000.0,700895000.0,,279793000.0,542822000.0,700895000.0,279793000.0,700895000.0,700895000.0,700895000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,6179000.0,5238000.0,5740000.0,8323000.0,10548000.0,11577000.0,11281000.0,41880000.0,30382000.0,35501000.0,51972000.0,56059000.0,81178000.0,,,,6179000.0,5740000.0,10548000.0,11281000.0,30382000.0,51972000.0,81178000.0,,6179000.0,8323000.0,11281000.0,35501000.0,81178000.0,,6179000.0,10548000.0,30382000.0,81178000.0,,5740000.0,41880000.0,81178000.0,5740000.0,81178000.0,81178000.0,81178000.0,CommonMetricExtracted
Inventory,,,,,,142680000.0,184498000.0,186083000.0,153036000.0,216354000.0,246115000.0,403869000.0,460488000.0,537909000.0,827988000.0,716305000.0,1369384000.0,1754773000.0,1653070000.0,1366638000.0,,,142680000.0,186083000.0,216354000.0,403869000.0,537909000.0,716305000.0,1754773000.0,1366638000.0,,186083000.0,246115000.0,537909000.0,1369384000.0,1366638000.0,,186083000.0,403869000.0,716305000.0,1366638000.0,,216354000.0,827988000.0,1366638000.0,216354000.0,1366638000.0,1366638000.0,1366638000.0,CommonMetricExtracted
CurrentAssets,,,,,,601770000.0,623767000.0,684886000.0,830704000.0,844049000.0,775841000.0,1016858000.0,1180167000.0,1311674000.0,2037357000.0,2102277000.0,2803523000.0,3062479000.0,2793580000.0,2650027000.0,,,601770000.0,684886000.0,844049000.0,1016858000.0,1311674000.0,2102277000.0,3062479000.0,2650027000.0,,684886000.0,775841000.0,1311674000.0,2803523000.0,2650027000.0,,684886000.0,1016858000.0,2102277000.0,2650027000.0,,844049000.0,2037357000.0,2650027000.0,844049000.0,2650027000.0,2650027000.0,2650027000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,15254000.0,16241000.0,11044000.0,10642000.0,12928000.0,10892000.0,15969000.0,16521000.0,17815000.0,17595000.0,15440000.0,38590000.0,61700000.0,54720000.0,32278000.0,,,15254000.0,11044000.0,12928000.0,15969000.0,17815000.0,15440000.0,61700000.0,32278000.0,,11044000.0,10892000.0,17815000.0,38590000.0,32278000.0,,11044000.0,15969000.0,15440000.0,32278000.0,,12928000.0,17595000.0,32278000.0,12928000.0,32278000.0,32278000.0,32278000.0,CommonMetricExtracted
Goodwill,,,,,148411000.0,150901000.0,244452000.0,245209000.0,238103000.0,256579000.0,312622000.0,377693000.0,377693000.0,377693000.0,1358032000.0,1476541000.0,1563255000.0,1804151000.0,1800422000.0,1786973000.0,,,150901000.0,245209000.0,256579000.0,377693000.0,377693000.0,1476541000.0,1804151000.0,1786973000.0,148411000.0,245209000.0,312622000.0,377693000.0,1563255000.0,1786973000.0,,245209000.0,377693000.0,1476541000.0,1786973000.0,148411000.0,256579000.0,1358032000.0,1786973000.0,256579000.0,1786973000.0,1786973000.0,1786973000.0,CommonMetricExtracted
IntangibleAssets,,,,,,5728000.0,125255000.0,114227000.0,97753000.0,119783000.0,169018000.0,507391000.0,443466000.0,388348000.0,970811000.0,914724000.0,937171000.0,1117492000.0,996979000.0,861133000.0,,,5728000.0,114227000.0,119783000.0,507391000.0,388348000.0,914724000.0,1117492000.0,861133000.0,,114227000.0,169018000.0,388348000.0,937171000.0,861133000.0,,114227000.0,507391000.0,914724000.0,861133000.0,,119783000.0,970811000.0,861133000.0,119783000.0,861133000.0,861133000.0,861133000.0,CommonMetricExtracted
TotalAssets,,,,,951124000.0,964073000.0,1198070000.0,1243054000.0,1328268000.0,1408718000.0,1503248000.0,2325464000.0,2557931000.0,2778665000.0,5660446000.0,5771460000.0,6654088000.0,7408132000.0,7260830000.0,7020823000.0,,,964073000.0,1243054000.0,1408718000.0,2325464000.0,2778665000.0,5771460000.0,7408132000.0,7020823000.0,951124000.0,1243054000.0,1503248000.0,2778665000.0,6654088000.0,7020823000.0,,1243054000.0,2325464000.0,5771460000.0,7020823000.0,951124000.0,1408718000.0,5660446000.0,7020823000.0,1408718000.0,7020823000.0,7020823000.0,7020823000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,17370000.0,13817000.0,12411000.0,13190000.0,11368000.0,32650000.0,,,,,,,,13817000.0,13190000.0,32650000.0,,,,,12411000.0,32650000.0,,,,13817000.0,32650000.0,,,17370000.0,32650000.0,,32650000.0,32650000.0,32650000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,146451000.0,145876000.0,170321000.0,168970000.0,200561000.0,193404000.0,329757000.0,426271000.0,365452000.0,708366000.0,817777000.0,1129703000.0,1014138000.0,1000316000.0,873049000.0,,,146451000.0,170321000.0,200561000.0,329757000.0,365452000.0,817777000.0,1014138000.0,873049000.0,,170321000.0,193404000.0,365452000.0,1129703000.0,873049000.0,,170321000.0,329757000.0,817777000.0,873049000.0,,200561000.0,708366000.0,873049000.0,200561000.0,873049000.0,873049000.0,873049000.0,CommonMetricExtracted
CurrentLiability,,,,,,300356000.0,329025000.0,367535000.0,424375000.0,433003000.0,444168000.0,755738000.0,902519000.0,890465000.0,1646141000.0,1751442000.0,2115526000.0,2083493000.0,1971930000.0,1812389000.0,,,300356000.0,367535000.0,433003000.0,755738000.0,890465000.0,1751442000.0,2083493000.0,1812389000.0,,367535000.0,444168000.0,890465000.0,2115526000.0,1812389000.0,,367535000.0,755738000.0,1751442000.0,1812389000.0,,433003000.0,1646141000.0,1812389000.0,433003000.0,1812389000.0,1812389000.0,1812389000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,64376000.0,98513000.0,96824000.0,88185000.0,77535000.0,86944000.0,447205000.0,245427000.0,130742000.0,2202031000.0,2031822000.0,2098131000.0,2215711000.0,1740086000.0,1571425000.0,,,64376000.0,96824000.0,77535000.0,447205000.0,130742000.0,2031822000.0,2215711000.0,1571425000.0,,96824000.0,86944000.0,130742000.0,2098131000.0,1571425000.0,,96824000.0,447205000.0,2031822000.0,1571425000.0,,77535000.0,2202031000.0,1571425000.0,77535000.0,1571425000.0,1571425000.0,1571425000.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,135703000.0,123802000.0,113598000.0,115931000.0,75668000.0,74401000.0,,,,,,,,123802000.0,115931000.0,74401000.0,,,,,113598000.0,74401000.0,,,,123802000.0,74401000.0,,,135703000.0,74401000.0,,74401000.0,74401000.0,74401000.0,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,,,1265222000.0,1576540000.0,1937741000.0,2095228000.0,2345569000.0,2948106000.0,3600654000.0,3983398000.0,4074053000.0,,,,,,1265222000.0,1937741000.0,2345569000.0,3600654000.0,4074053000.0,,,,1937741000.0,2948106000.0,4074053000.0,,,1265222000.0,2345569000.0,4074053000.0,,,2095228000.0,4074053000.0,,4074053000.0,4074053000.0,4074053000.0,CommonMetricExtracted
OperatingCashFlow,,,,,48570000.0,100652000.0,114802000.0,118841000.0,145066000.0,149261000.0,247860000.0,341209000.0,419333000.0,466508000.0,508019000.0,540941000.0,526482000.0,990253000.0,981633000.0,545548000.0,,,48570000.0,114802000.0,145066000.0,247860000.0,419333000.0,508019000.0,526482000.0,981633000.0,,100652000.0,145066000.0,341209000.0,508019000.0,990253000.0,,48570000.0,145066000.0,419333000.0,526482000.0,,100652000.0,247860000.0,540941000.0,,247860000.0,100652000.0,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,115027000.0,138197000.0,130224000.0,106697000.0,128835000.0,242357000.0,208194000.0,139635000.0,,,,,,,115027000.0,130224000.0,128835000.0,208194000.0,,,,,130224000.0,242357000.0,,,,115027000.0,128835000.0,,,,106697000.0,,,,,CommonMetricExtracted
InvestingCashFlow,,,,,-307000.0,82977000.0,-126352000.0,-7854000.0,-13996000.0,2928000.0,-234968000.0,-601473000.0,-116655000.0,-183493000.0,-1865503000.0,-84249000.0,-428493000.0,-1049257000.0,-222483000.0,-146812000.0,,,-307000.0,-126352000.0,-13996000.0,-234968000.0,-116655000.0,-1865503000.0,-428493000.0,-222483000.0,,82977000.0,-13996000.0,-601473000.0,-1865503000.0,-1049257000.0,,-307000.0,-13996000.0,-116655000.0,-428493000.0,,82977000.0,-234968000.0,-84249000.0,,-234968000.0,82977000.0,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,77989000.0,84139000.0,88318000.0,90801000.0,94944000.0,95969000.0,102137000.0,,,,,,,,84139000.0,90801000.0,95969000.0,,,,,84139000.0,94944000.0,,,,,90801000.0,,,,88318000.0,,,,,CommonMetricExtracted
