,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,4852600000.0,4587800000.0,4288900000.0,4349700000.0,4327600000.0,3454000000.0,3431600000.0,3354000000.0,,,,,,,4852600000.0,4288900000.0,4327600000.0,3431600000.0,,,,,4288900000.0,3454000000.0,,,,4852600000.0,4327600000.0,,,,4349700000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,1818378000.0,2339498000.0,2562102000.0,5049706000.0,5226700000.0,4856700000.0,3492100000.0,3547500000.0,3629500000.0,2939100000.0,2855500000.0,2805600000.0,,,,,1818378000.0,2562102000.0,5226700000.0,3492100000.0,3629500000.0,2855500000.0,,,1818378000.0,5049706000.0,3492100000.0,2939100000.0,,,1818378000.0,5226700000.0,3629500000.0,,,2562102000.0,3547500000.0,,2562102000.0,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,115731000.0,107938000.0,120120000.0,142341000.0,136779000.0,134998000.0,174602000.0,180503000.0,404800000.0,402300000.0,378400000.0,256900000.0,263000000.0,283200000.0,219000000.0,171600000.0,153300000.0,,,107938000.0,142341000.0,134998000.0,180503000.0,402300000.0,256900000.0,283200000.0,171600000.0,,120120000.0,134998000.0,404800000.0,256900000.0,219000000.0,,107938000.0,134998000.0,402300000.0,283200000.0,,120120000.0,180503000.0,263000000.0,,180503000.0,120120000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,87125000.0,130809000.0,176553000.0,188275000.0,176827000.0,178164000.0,218154000.0,239736000.0,-95500000.0,79200000.0,83400000.0,-16100000.0,149100000.0,21300000.0,-12600000.0,146900000.0,103100000.0,,,130809000.0,188275000.0,178164000.0,239736000.0,79200000.0,-16100000.0,21300000.0,146900000.0,,176553000.0,178164000.0,-95500000.0,-16100000.0,-12600000.0,,130809000.0,178164000.0,79200000.0,21300000.0,,176553000.0,239736000.0,149100000.0,,239736000.0,176553000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,69900000.0,74800000.0,63400000.0,,,,,,,,,,74800000.0,,,,,,69900000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,10895000.0,40760000.0,45481000.0,45391000.0,35846000.0,37922000.0,46690000.0,56354000.0,33231000.0,-139800000.0,-11400000.0,-45500000.0,-32100000.0,-4400000.0,10300000.0,24400000.0,6200000.0,,,40760000.0,45391000.0,37922000.0,56354000.0,-139800000.0,-45500000.0,-4400000.0,24400000.0,,45481000.0,37922000.0,33231000.0,-45500000.0,10300000.0,,40760000.0,37922000.0,-139800000.0,-4400000.0,,45481000.0,56354000.0,-32100000.0,,56354000.0,45481000.0,,CommonMetricExtracted
NetIncome,,,,28224000.0,81314000.0,90919000.0,94407000.0,88363000.0,86988000.0,89880000.0,114910000.0,-228594000.0,-279500000.0,-61400000.0,-361000000.0,13800000.0,-12500000.0,-146300000.0,53100000.0,26900000.0,,,81314000.0,94407000.0,86988000.0,114910000.0,-279500000.0,-361000000.0,-12500000.0,53100000.0,,90919000.0,86988000.0,-228594000.0,-361000000.0,-146300000.0,,81314000.0,86988000.0,-279500000.0,-12500000.0,,90919000.0,114910000.0,13800000.0,,114910000.0,90919000.0,,CommonMetricExtracted
Cash,,,,,4415000.0,6323000.0,3279000.0,94407000.0,46475000.0,52000000.0,34919000.0,62111000.0,132800000.0,164300000.0,202300000.0,364600000.0,308600000.0,43000000.0,,289600000.0,,,6323000.0,94407000.0,52000000.0,62111000.0,164300000.0,364600000.0,43000000.0,289600000.0,4415000.0,94407000.0,34919000.0,164300000.0,308600000.0,289600000.0,,94407000.0,62111000.0,364600000.0,289600000.0,4415000.0,52000000.0,202300000.0,289600000.0,52000000.0,289600000.0,289600000.0,289600000.0,CommonMetricExtracted
CurrentReceivables,,,,,86557000.0,126644000.0,115168000.0,124648000.0,152763000.0,233656000.0,203198000.0,429033000.0,329800000.0,351300000.0,270600000.0,308800000.0,209200000.0,158800000.0,,146800000.0,,,126644000.0,124648000.0,233656000.0,429033000.0,351300000.0,308800000.0,158800000.0,146800000.0,86557000.0,124648000.0,203198000.0,351300000.0,209200000.0,146800000.0,,124648000.0,429033000.0,308800000.0,146800000.0,86557000.0,233656000.0,270600000.0,146800000.0,233656000.0,146800000.0,146800000.0,146800000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,12861000.0,12638000.0,14005000.0,14164000.0,24989000.0,16583000.0,77600000.0,103800000.0,61800000.0,44500000.0,86100000.0,60200000.0,23200000.0,,34000000.0,,,12861000.0,14005000.0,24989000.0,77600000.0,61800000.0,86100000.0,23200000.0,34000000.0,,14005000.0,16583000.0,61800000.0,60200000.0,34000000.0,,14005000.0,77600000.0,86100000.0,34000000.0,,24989000.0,44500000.0,34000000.0,24989000.0,34000000.0,34000000.0,34000000.0,CommonMetricExtracted
Inventory,,,,,264933000.0,287395000.0,329374000.0,347353000.0,405698000.0,594098000.0,584115000.0,978037000.0,918300000.0,839700000.0,544000000.0,598600000.0,677800000.0,589500000.0,,539300000.0,,,287395000.0,347353000.0,594098000.0,978037000.0,839700000.0,598600000.0,589500000.0,539300000.0,264933000.0,347353000.0,584115000.0,839700000.0,677800000.0,539300000.0,,347353000.0,978037000.0,598600000.0,539300000.0,264933000.0,594098000.0,544000000.0,539300000.0,594098000.0,539300000.0,539300000.0,539300000.0,CommonMetricExtracted
CurrentAssets,,,,,370652000.0,440803000.0,468394000.0,588411000.0,649689000.0,949436000.0,847203000.0,1560749000.0,1484700000.0,1678000000.0,1219500000.0,1428800000.0,2182500000.0,839400000.0,,1009700000.0,,,440803000.0,588411000.0,949436000.0,1560749000.0,1678000000.0,1428800000.0,839400000.0,1009700000.0,370652000.0,588411000.0,847203000.0,1678000000.0,2182500000.0,1009700000.0,,588411000.0,1560749000.0,1428800000.0,1009700000.0,370652000.0,949436000.0,1219500000.0,1009700000.0,949436000.0,1009700000.0,1009700000.0,1009700000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,575007000.0,1076321000.0,1068419000.0,1073191000.0,1119204000.0,1667985000.0,1649800000.0,2792100000.0,2182000000.0,2161400000.0,2107300000.0,2178700000.0,2181400000.0,1817600000.0,,1819300000.0,,,1076321000.0,1073191000.0,1667985000.0,2792100000.0,2161400000.0,2178700000.0,1817600000.0,1819300000.0,575007000.0,1073191000.0,1649800000.0,2161400000.0,2181400000.0,1819300000.0,,1073191000.0,2792100000.0,2178700000.0,1819300000.0,575007000.0,1667985000.0,2107300000.0,1819300000.0,1667985000.0,1819300000.0,1819300000.0,1819300000.0,CommonMetricExtracted
IntangibleAssets,,,,,152526000.0,463617000.0,437860000.0,417561000.0,475756000.0,716298000.0,646655000.0,1137600000.0,773000000.0,700200000.0,554700000.0,615000000.0,555000000.0,296000000.0,,212900000.0,,,463617000.0,417561000.0,716298000.0,1137600000.0,700200000.0,615000000.0,296000000.0,212900000.0,152526000.0,417561000.0,646655000.0,700200000.0,555000000.0,212900000.0,,417561000.0,1137600000.0,615000000.0,212900000.0,152526000.0,716298000.0,554700000.0,212900000.0,716298000.0,212900000.0,212900000.0,212900000.0,CommonMetricExtracted
TotalAssets,,,,,1384428000.0,2391248000.0,2404529000.0,2525873000.0,2721054000.0,3903004000.0,3702796000.0,6545822000.0,5779300000.0,5629300000.0,5139400000.0,5485700000.0,5207800000.0,4253900000.0,,3980000000.0,,,2391248000.0,2525873000.0,3903004000.0,6545822000.0,5629300000.0,5485700000.0,4253900000.0,3980000000.0,1384428000.0,2525873000.0,3702796000.0,5629300000.0,5207800000.0,3980000000.0,,2525873000.0,6545822000.0,5485700000.0,3980000000.0,1384428000.0,3903004000.0,5139400000.0,3980000000.0,3903004000.0,3980000000.0,3980000000.0,3980000000.0,CommonMetricExtracted
ShorttermDebt,,,,,906000.0,976000.0,1954000.0,1944000.0,1551000.0,14373000.0,14893000.0,66421000.0,10100000.0,1200000.0,15300000.0,15700000.0,15600000.0,600000.0,,1100000.0,,,976000.0,1944000.0,14373000.0,66421000.0,1200000.0,15700000.0,600000.0,1100000.0,906000.0,1944000.0,14893000.0,1200000.0,15600000.0,1100000.0,,1944000.0,66421000.0,15700000.0,1100000.0,906000.0,14373000.0,15300000.0,1100000.0,14373000.0,1100000.0,1100000.0,1100000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,589700000.0,834000000.0,781600000.0,968300000.0,1060600000.0,827200000.0,,743800000.0,,,,,,,834000000.0,968300000.0,827200000.0,743800000.0,,,,834000000.0,1060600000.0,743800000.0,,,,968300000.0,743800000.0,,,781600000.0,743800000.0,,743800000.0,743800000.0,743800000.0,CommonMetricExtracted
