,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,33183744000.0,35864664000.0,38972934000.0,41716977000.0,32137000000.0,48550000000.0,49936000000.0,54217000000.0,,,,,,,33183744000.0,38972934000.0,32137000000.0,49936000000.0,,,,,38972934000.0,48550000000.0,,,,33183744000.0,32137000000.0,,,,41716977000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,23565754000.0,25502167000.0,27831177000.0,29845780000.0,24534000000.0,34714000000.0,36149000000.0,37951000000.0,,,,,,,23565754000.0,27831177000.0,24534000000.0,36149000000.0,,,,,27831177000.0,34714000000.0,,,,23565754000.0,24534000000.0,,,,29845780000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,2997263000.0,3135589000.0,3328944000.0,,3890144000.0,4250446000.0,4467089000.0,4695384000.0,5205715000.0,5768467000.0,6375071000.0,6923564000.0,7454988000.0,7021000000.0,9081238000.0,8927000000.0,10469000000.0,,,3135589000.0,,4250446000.0,4695384000.0,5768467000.0,6923564000.0,7021000000.0,8927000000.0,,3328944000.0,4250446000.0,5205715000.0,6923564000.0,9081238000.0,,3135589000.0,4250446000.0,5768467000.0,7021000000.0,,3328944000.0,4695384000.0,7454988000.0,,4695384000.0,3328944000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,3319489000.0,3549884000.0,3658300000.0,3723043000.0,3856588000.0,4173211000.0,4406183000.0,89263000.0,4398000000.0,4636000000.0,5967000000.0,,,,,,3549884000.0,3723043000.0,4173211000.0,89263000.0,4636000000.0,,,,3658300000.0,4173211000.0,4398000000.0,,,,3723043000.0,89263000.0,,,3549884000.0,4406183000.0,,3549884000.0,,,CommonMetricExtracted
Interest,,,,,,,,-35648000.0,-29175000.0,-31081000.0,-39787000.0,-46400000.0,-43534000.0,-31588000.0,-8860000.0,-10026000.0,-180734000.0,-115000000.0,-6000000.0,170000000.0,,,,,-29175000.0,-39787000.0,-43534000.0,-8860000.0,-180734000.0,-6000000.0,,,-29175000.0,-46400000.0,-8860000.0,-115000000.0,,,-29175000.0,-43534000.0,-180734000.0,,,-39787000.0,-10026000.0,,-39787000.0,,,CommonMetricExtracted
Taxes,,,,477655000.0,536054000.0,737990000.0,,915324000.0,1170664000.0,1182093000.0,1334756000.0,1380642000.0,1424809000.0,1248640000.0,1113413000.0,1133990000.0,-1000000.0,1115000000.0,1138000000.0,1493000000.0,,,536054000.0,,1170664000.0,1334756000.0,1424809000.0,1113413000.0,-1000000.0,1138000000.0,,737990000.0,1170664000.0,1380642000.0,1113413000.0,1115000000.0,,536054000.0,1170664000.0,1424809000.0,-1000000.0,,737990000.0,1334756000.0,1133990000.0,,1334756000.0,737990000.0,,CommonMetricExtracted
NetIncome,,,,,,,,,1906687000.0,2137396000.0,2215128000.0,2277658000.0,2298234000.0,2607948000.0,3059798000.0,3272193000.0,90470000.0,3283000000.0,3498000000.0,4474000000.0,,,,,1906687000.0,2215128000.0,2298234000.0,3059798000.0,90470000.0,3498000000.0,,,1906687000.0,2277658000.0,3059798000.0,3283000000.0,,,1906687000.0,2298234000.0,90470000.0,,,2215128000.0,3272193000.0,,2215128000.0,,,CommonMetricExtracted
Cash,,,856669000.0,732612000.0,453527000.0,1614607000.0,1741751000.0,1507112000.0,1811957000.0,2149746000.0,2493775000.0,2095473000.0,2929849000.0,2758477000.0,3030229000.0,3216752000.0,10469570000.0,6227000000.0,5477000000.0,5600000000.0,,732612000.0,1614607000.0,1507112000.0,2149746000.0,2095473000.0,2758477000.0,3216752000.0,6227000000.0,5600000000.0,453527000.0,1507112000.0,2493775000.0,2758477000.0,10469570000.0,5600000000.0,732612000.0,1507112000.0,2095473000.0,3216752000.0,5600000000.0,453527000.0,2149746000.0,3030229000.0,5600000000.0,2149746000.0,5600000000.0,5600000000.0,5600000000.0,CommonMetricExtracted
CurrentReceivables,,,,,143500000.0,148126000.0,200147000.0,204304000.0,,,226299000.0,249131000.0,258831000.0,327166000.0,346298000.0,433230000.0,497401000.0,633000000.0,682000000.0,588000000.0,,,148126000.0,204304000.0,,249131000.0,327166000.0,433230000.0,633000000.0,588000000.0,143500000.0,204304000.0,226299000.0,327166000.0,497401000.0,588000000.0,,204304000.0,249131000.0,433230000.0,588000000.0,143500000.0,,346298000.0,588000000.0,,588000000.0,588000000.0,588000000.0,CommonMetricExtracted
