,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,18274000000.0,20918000000.0,24358000000.0,25542000000.0,32218000000.0,39211000000.0,44915000000.0,42857000000.0,42879000000.0,,,,,,,20918000000.0,25542000000.0,39211000000.0,42857000000.0,,,,18274000000.0,25542000000.0,44915000000.0,,,,20918000000.0,39211000000.0,,,,32218000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,35400000.0,60800000.0,60400000.0,100400000.0,82100000.0,77700000.0,-598200000.0,116000000.0,189200000.0,97000000.0,50000000.0,-413000000.0,99000000.0,197000000.0,114000000.0,459000000.0,379000000.0,,,60800000.0,100400000.0,77700000.0,116000000.0,97000000.0,-413000000.0,197000000.0,459000000.0,,60400000.0,77700000.0,189200000.0,-413000000.0,114000000.0,,60800000.0,77700000.0,97000000.0,197000000.0,,60400000.0,116000000.0,99000000.0,,116000000.0,60400000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,2692300000.0,2668900000.0,2826200000.0,3126500000.0,3354900000.0,3446300000.0,4896100000.0,4612100000.0,4976000000.0,5504000000.0,6057000000.0,6144000000.0,6930000000.0,8007000000.0,8993000000.0,8445000000.0,8595000000.0,,,2668900000.0,3126500000.0,3446300000.0,4612100000.0,5504000000.0,6144000000.0,8007000000.0,8445000000.0,,2826200000.0,3446300000.0,4976000000.0,6144000000.0,8993000000.0,,2668900000.0,3446300000.0,5504000000.0,8007000000.0,,2826200000.0,4612100000.0,6930000000.0,,4612100000.0,2826200000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,284400000.0,340200000.0,376400000.0,395500000.0,691100000.0,692300000.0,755000000.0,888000000.0,967000000.0,1003000000.0,1181000000.0,1406000000.0,1471000000.0,1337000000.0,1390000000.0,,,,340200000.0,395500000.0,692300000.0,888000000.0,1003000000.0,1406000000.0,1337000000.0,,284400000.0,395500000.0,755000000.0,1003000000.0,1471000000.0,,,395500000.0,888000000.0,1406000000.0,,284400000.0,692300000.0,1181000000.0,,692300000.0,284400000.0,,CommonMetricExtracted
OperatingMargin,,,,1229400000.0,1048900000.0,1264900000.0,1250800000.0,1482100000.0,1609600000.0,2503000000.0,2336200000.0,2458000000.0,2968000000.0,3783000000.0,4594000000.0,7794000000.0,10028000000.0,8393000000.0,6859000000.0,7337000000.0,,,1048900000.0,1250800000.0,1609600000.0,2336200000.0,2968000000.0,4594000000.0,10028000000.0,6859000000.0,,1264900000.0,1609600000.0,2458000000.0,4594000000.0,8393000000.0,,1048900000.0,1609600000.0,2968000000.0,10028000000.0,,1264900000.0,2336200000.0,7794000000.0,,2336200000.0,1264900000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,726000000.0,1375000000.0,1390000000.0,,,,,,,,,,1375000000.0,,,,,,726000000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,152600000.0,75800000.0,131500000.0,109400000.0,11000000.0,40400000.0,191700000.0,-43900000.0,-1000000.0,201000000.0,324000000.0,374000000.0,850000000.0,1109000000.0,703000000.0,284000000.0,657000000.0,,,75800000.0,109400000.0,40400000.0,-43900000.0,201000000.0,374000000.0,1109000000.0,284000000.0,,131500000.0,40400000.0,-1000000.0,374000000.0,703000000.0,,75800000.0,40400000.0,201000000.0,1109000000.0,,131500000.0,-43900000.0,850000000.0,,-43900000.0,131500000.0,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,3698000000.0,6377000000.0,7728000000.0,6960000000.0,5955000000.0,6338000000.0,,,,,,,,3698000000.0,7728000000.0,5955000000.0,,,,,3698000000.0,6960000000.0,,,,,7728000000.0,,,,6377000000.0,,,,,CommonMetricExtracted
Cash,,,625100000.0,1280500000.0,1564100000.0,917100000.0,1016300000.0,851000000.0,5826000000.0,1343500000.0,452100000.0,786200000.0,1335000000.0,,,10325000000.0,4477000000.0,8524000000.0,8077000000.0,4009000000.0,,1280500000.0,917100000.0,851000000.0,1343500000.0,786200000.0,,10325000000.0,8524000000.0,4009000000.0,1564100000.0,851000000.0,452100000.0,,4477000000.0,4009000000.0,1280500000.0,851000000.0,786200000.0,10325000000.0,4009000000.0,1564100000.0,1343500000.0,,4009000000.0,1343500000.0,4009000000.0,4009000000.0,4009000000.0,CommonMetricExtracted
CurrentReceivables,,,,,1409600000.0,1516800000.0,1814100000.0,1804900000.0,1942300000.0,2473600000.0,2544900000.0,3049000000.0,3879000000.0,3871000000.0,,5741000000.0,7977000000.0,8115000000.0,8221000000.0,8191000000.0,,,1516800000.0,1804900000.0,2473600000.0,3049000000.0,3871000000.0,5741000000.0,8115000000.0,8191000000.0,1409600000.0,1804900000.0,2544900000.0,3871000000.0,7977000000.0,8191000000.0,,1804900000.0,3049000000.0,5741000000.0,8191000000.0,1409600000.0,2473600000.0,,8191000000.0,2473600000.0,8191000000.0,8191000000.0,8191000000.0,CommonMetricExtracted
