,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,37490000000.0,40604000000.0,43310000000.0,44998000000.0,68397000000.0,80118000000.0,79571000000.0,78558000000.0,81400000000.0,,,,,,,40604000000.0,44998000000.0,80118000000.0,78558000000.0,,,,37490000000.0,44998000000.0,79571000000.0,,,,40604000000.0,80118000000.0,,,,68397000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,447582000.0,567730000.0,621660000.0,6728000000.0,6796000000.0,7382000000.0,8863000000.0,10189000000.0,11378000000.0,12259000000.0,13161000000.0,14139000000.0,18926000000.0,20238000000.0,21607000000.0,21311000000.0,20818000000.0,,,567730000.0,6728000000.0,7382000000.0,10189000000.0,12259000000.0,14139000000.0,20238000000.0,21311000000.0,,621660000.0,7382000000.0,11378000000.0,14139000000.0,21607000000.0,,567730000.0,7382000000.0,12259000000.0,20238000000.0,,621660000.0,10189000000.0,18926000000.0,,10189000000.0,621660000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,467767000.0,535288000.0,718898000.0,747538000.0,823969000.0,996000000.0,1416000000.0,2479000000.0,4050000000.0,4888000000.0,5309000000.0,5722000000.0,6636000000.0,6892000000.0,6543000000.0,14266000000.0,18010000000.0,,,535288000.0,747538000.0,996000000.0,2479000000.0,4888000000.0,5722000000.0,6892000000.0,14266000000.0,,718898000.0,996000000.0,4050000000.0,5722000000.0,6543000000.0,,535288000.0,996000000.0,4888000000.0,6892000000.0,,718898000.0,2479000000.0,6636000000.0,,2479000000.0,718898000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,131374000.0,198037000.0,203340000.0,293430000.0,393865000.0,-3000000.0,245000000.0,731000000.0,1462000000.0,4543000000.0,2556000000.0,2932000000.0,2351000000.0,3240000000.0,2909000000.0,8399000000.0,11446000000.0,,,198037000.0,293430000.0,-3000000.0,731000000.0,4543000000.0,2932000000.0,3240000000.0,8399000000.0,,203340000.0,-3000000.0,1462000000.0,2932000000.0,2909000000.0,,198037000.0,-3000000.0,4543000000.0,3240000000.0,,203340000.0,731000000.0,2351000000.0,,731000000.0,203340000.0,,CommonMetricExtracted
NetIncome,,,,149438000.0,176844000.0,193415000.0,301310000.0,394172000.0,35000000.0,247000000.0,733000000.0,1460000000.0,4536000000.0,2888000000.0,3468000000.0,3064000000.0,3024000000.0,2590000000.0,8317000000.0,11339000000.0,,,176844000.0,301310000.0,35000000.0,733000000.0,4536000000.0,3468000000.0,3024000000.0,8317000000.0,,193415000.0,35000000.0,1460000000.0,3468000000.0,2590000000.0,,176844000.0,35000000.0,4536000000.0,3024000000.0,,193415000.0,733000000.0,3064000000.0,,733000000.0,193415000.0,,CommonMetricExtracted
Cash,,,1470208000.0,697948000.0,929381000.0,796531000.0,1943282000.0,2368302000.0,5891000000.0,5315000000.0,4582000000.0,5500000000.0,1219000000.0,,,10385000000.0,6631000000.0,4507000000.0,5135000000.0,5409000000.0,,697948000.0,796531000.0,2368302000.0,5315000000.0,5500000000.0,,10385000000.0,4507000000.0,5409000000.0,929381000.0,2368302000.0,4582000000.0,,6631000000.0,5409000000.0,697948000.0,2368302000.0,5500000000.0,10385000000.0,5409000000.0,929381000.0,5315000000.0,,5409000000.0,5315000000.0,5409000000.0,5409000000.0,5409000000.0,CommonMetricExtracted
CurrentReceivables,,,,,51536000.0,58056000.0,,2678000000.0,5090000000.0,4927000000.0,4166000000.0,3826000000.0,4205000000.0,,,7831000000.0,8942000000.0,9568000000.0,9148000000.0,8655000000.0,,,58056000.0,2678000000.0,4927000000.0,3826000000.0,,7831000000.0,9568000000.0,8655000000.0,51536000.0,2678000000.0,4166000000.0,,8942000000.0,8655000000.0,,2678000000.0,3826000000.0,7831000000.0,8655000000.0,51536000.0,4927000000.0,,8655000000.0,4927000000.0,8655000000.0,8655000000.0,8655000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,48353000.0,50477000.0,55712000.0,65069000.0,,,,,,,,624000000.0,746000000.0,673000000.0,702000000.0,880000000.0,,,50477000.0,65069000.0,,,,624000000.0,673000000.0,880000000.0,48353000.0,65069000.0,,,746000000.0,880000000.0,,65069000.0,,624000000.0,880000000.0,48353000.0,,,880000000.0,,880000000.0,880000000.0,880000000.0,CommonMetricExtracted
Inventory,,,,,,,,457000000.0,586000000.0,1085000000.0,1295000000.0,1111000000.0,1566000000.0,,,2527000000.0,2567000000.0,1884000000.0,1678000000.0,1607000000.0,,,,457000000.0,1085000000.0,1111000000.0,,2527000000.0,1884000000.0,1607000000.0,,457000000.0,1295000000.0,,2567000000.0,1607000000.0,,457000000.0,1111000000.0,2527000000.0,1607000000.0,,1085000000.0,,1607000000.0,1085000000.0,1607000000.0,1607000000.0,1607000000.0,CommonMetricExtracted
CurrentAssets,,,,,1491391000.0,1593885000.0,2743593000.0,5541000000.0,12228000000.0,13984000000.0,14890000000.0,14217000000.0,8915000000.0,,,23885000000.0,20891000000.0,19067000000.0,19015000000.0,18404000000.0,,,1593885000.0,5541000000.0,13984000000.0,14217000000.0,,23885000000.0,19067000000.0,18404000000.0,1491391000.0,5541000000.0,14890000000.0,,20891000000.0,18404000000.0,,5541000000.0,14217000000.0,23885000000.0,18404000000.0,1491391000.0,13984000000.0,,18404000000.0,13984000000.0,18404000000.0,18404000000.0,18404000000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,3252213000.0,3659445000.0,4017999000.0,12807000000.0,15349000000.0,16245000000.0,20000000000.0,20943000000.0,22196000000.0,,21020000000.0,41175000000.0,39803000000.0,42086000000.0,40432000000.0,38533000000.0,,,3659445000.0,12807000000.0,16245000000.0,20943000000.0,,41175000000.0,42086000000.0,38533000000.0,3252213000.0,12807000000.0,20000000000.0,,39803000000.0,38533000000.0,,12807000000.0,20943000000.0,41175000000.0,38533000000.0,3252213000.0,16245000000.0,21020000000.0,38533000000.0,16245000000.0,38533000000.0,38533000000.0,38533000000.0,CommonMetricExtracted
