,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,4973076000.0,4757208000.0,4454662000.0,4450832000.0,5318763000.0,4641830000.0,3790755000.0,3880227000.0,4326922000.0,,,,,,,4757208000.0,4450832000.0,4641830000.0,3880227000.0,,,,4973076000.0,4450832000.0,3790755000.0,,,,4757208000.0,4641830000.0,,,,5318763000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,4515886000.0,4302803000.0,4000209000.0,4209060000.0,4832610000.0,4175439000.0,3761143000.0,3739603000.0,4129884000.0,,,,,,,4302803000.0,4209060000.0,4175439000.0,3739603000.0,,,,4515886000.0,4209060000.0,3761143000.0,,,,4302803000.0,4175439000.0,,,,4832610000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,1098000.0,-2280000.0,4421000.0,-1857000.0,,,,6977000.0,43882000.0,4256000.0,6667000.0,-11853000.0,2004000.0,6732000.0,17200000.0,19878000.0,,,1098000.0,4421000.0,,,43882000.0,6667000.0,2004000.0,17200000.0,,-2280000.0,,6977000.0,6667000.0,6732000.0,,1098000.0,,43882000.0,2004000.0,,-2280000.0,,-11853000.0,,,-2280000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,69638000.0,85157000.0,89133000.0,,,,,,,,,,85157000.0,,,,,,69638000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,68079000.0,55968000.0,50899000.0,-2442000.0,52319000.0,79502000.0,28547000.0,53293000.0,-569000.0,34832000.0,-65609000.0,21942000.0,25632000.0,-75098000.0,-54957000.0,-50669000.0,,,68079000.0,50899000.0,52319000.0,28547000.0,-569000.0,-65609000.0,25632000.0,-54957000.0,,55968000.0,52319000.0,53293000.0,-65609000.0,-75098000.0,,68079000.0,52319000.0,-569000.0,25632000.0,,55968000.0,28547000.0,21942000.0,,28547000.0,55968000.0,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,6162000.0,14345000.0,27465000.0,43943000.0,42225000.0,17437000.0,43558000.0,41382000.0,,,,,,,6162000.0,27465000.0,42225000.0,43558000.0,,,,,27465000.0,17437000.0,,,,6162000.0,42225000.0,,,,43943000.0,,,,,CommonMetricExtracted
Cash,,,,386172000.0,348309000.0,471378000.0,204240000.0,168056000.0,119923000.0,135583000.0,75452000.0,146103000.0,192868000.0,,,374289000.0,202197000.0,259351000.0,380564000.0,455084000.0,,386172000.0,471378000.0,168056000.0,135583000.0,146103000.0,,374289000.0,259351000.0,455084000.0,348309000.0,168056000.0,75452000.0,,202197000.0,455084000.0,386172000.0,168056000.0,146103000.0,374289000.0,455084000.0,348309000.0,135583000.0,,455084000.0,135583000.0,455084000.0,455084000.0,455084000.0,CommonMetricExtracted
CurrentReceivables,,,,,,880614000.0,1275031000.0,1224613000.0,1291246000.0,1479504000.0,1473615000.0,1743300000.0,1265717000.0,1265717000.0,,2063504000.0,2023200000.0,1756641000.0,1634940000.0,1547056000.0,,,880614000.0,1224613000.0,1479504000.0,1743300000.0,1265717000.0,2063504000.0,1756641000.0,1547056000.0,,1224613000.0,1473615000.0,1265717000.0,2023200000.0,1547056000.0,,1224613000.0,1743300000.0,2063504000.0,1547056000.0,,1479504000.0,,1547056000.0,1479504000.0,1547056000.0,1547056000.0,1547056000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,1561042000.0,1950034000.0,1981847000.0,2085920000.0,2472556000.0,2635245000.0,2837756000.0,3074392000.0,,,4080457000.0,3862492000.0,3678771000.0,3521354000.0,3286667000.0,,,1561042000.0,1981847000.0,2472556000.0,2837756000.0,,4080457000.0,3678771000.0,3286667000.0,,1981847000.0,2635245000.0,,3862492000.0,3286667000.0,,1981847000.0,2837756000.0,4080457000.0,3286667000.0,,2472556000.0,,3286667000.0,2472556000.0,3286667000.0,3286667000.0,3286667000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,362437000.0,491377000.0,485095000.0,498125000.0,527602000.0,523525000.0,477626000.0,467499000.0,,,489217000.0,429645000.0,435088000.0,441291000.0,422988000.0,,,362437000.0,485095000.0,527602000.0,477626000.0,,489217000.0,435088000.0,422988000.0,,485095000.0,523525000.0,,429645000.0,422988000.0,,485095000.0,477626000.0,489217000.0,422988000.0,,527602000.0,,422988000.0,527602000.0,422988000.0,422988000.0,422988000.0,CommonMetricExtracted
Goodwill,,,,,,788818000.0,1058631000.0,570646000.0,577756000.0,585006000.0,585006000.0,585006000.0,585006000.0,,,205143000.0,205143000.0,205143000.0,205143000.0,205143000.0,,,788818000.0,570646000.0,585006000.0,585006000.0,,205143000.0,205143000.0,205143000.0,,570646000.0,585006000.0,,205143000.0,205143000.0,,570646000.0,585006000.0,205143000.0,205143000.0,,585006000.0,,205143000.0,585006000.0,205143000.0,205143000.0,205143000.0,CommonMetricExtracted
IntangibleAssets,,,,,,132551000.0,197999000.0,126821000.0,113740000.0,100254000.0,96540000.0,92997000.0,89454000.0,,,123115000.0,85068000.0,70542000.0,68305000.0,66069000.0,,,132551000.0,126821000.0,100254000.0,92997000.0,,123115000.0,70542000.0,66069000.0,,126821000.0,96540000.0,,85068000.0,66069000.0,,126821000.0,92997000.0,123115000.0,66069000.0,,100254000.0,,66069000.0,100254000.0,66069000.0,66069000.0,66069000.0,CommonMetricExtracted
TotalAssets,,,,,,2779220000.0,3613127000.0,3296410000.0,3397438000.0,3773315000.0,4042441000.0,4038620000.0,4264123000.0,,,5045617000.0,4724898000.0,4542800000.0,4429856000.0,4242710000.0,,,2779220000.0,3296410000.0,3773315000.0,4038620000.0,,5045617000.0,4542800000.0,4242710000.0,,3296410000.0,4042441000.0,,4724898000.0,4242710000.0,,3296410000.0,4038620000.0,5045617000.0,4242710000.0,,3773315000.0,,4242710000.0,3773315000.0,4242710000.0,4242710000.0,4242710000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,30748000.0,,,100188000.0,24406000.0,70285000.0,117431000.0,24113000.0,,,,,,,,100188000.0,70285000.0,24113000.0,,,,,24406000.0,24113000.0,,,,100188000.0,24113000.0,,,,24113000.0,,24113000.0,24113000.0,24113000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,747030000.0,948993000.0,864799000.0,916242000.0,957988000.0,1096480000.0,1101941000.0,1094229000.0,961791000.0,185894000.0,1324953000.0,991018000.0,921430000.0,903992000.0,1091964000.0,,,747030000.0,864799000.0,957988000.0,1101941000.0,961791000.0,1324953000.0,921430000.0,1091964000.0,,864799000.0,1096480000.0,961791000.0,991018000.0,1091964000.0,,864799000.0,1101941000.0,1324953000.0,1091964000.0,,957988000.0,185894000.0,1091964000.0,957988000.0,1091964000.0,1091964000.0,1091964000.0,CommonMetricExtracted
CurrentLiability,,,,,,1061602000.0,1556502000.0,1402596000.0,1456503000.0,1518390000.0,1632724000.0,1626868000.0,2171153000.0,496654000.0,185894000.0,3318792000.0,2748819000.0,3122862000.0,3442792000.0,3768848000.0,,,1061602000.0,1402596000.0,1518390000.0,1626868000.0,496654000.0,3318792000.0,3122862000.0,3768848000.0,,1402596000.0,1632724000.0,496654000.0,2748819000.0,3768848000.0,,1402596000.0,1626868000.0,3318792000.0,3768848000.0,,1518390000.0,185894000.0,3768848000.0,1518390000.0,3768848000.0,3768848000.0,3768848000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,44680000.0,109597000.0,138996000.0,117858000.0,114796000.0,140665000.0,162018000.0,163465000.0,,183343000.0,230066000.0,233828000.0,240486000.0,237722000.0,241379000.0,,,44680000.0,138996000.0,114796000.0,162018000.0,,230066000.0,240486000.0,241379000.0,,138996000.0,140665000.0,,233828000.0,241379000.0,,138996000.0,162018000.0,230066000.0,241379000.0,,114796000.0,183343000.0,241379000.0,114796000.0,241379000.0,241379000.0,241379000.0,CommonMetricExtracted
TotalLiability,,,,,,,2213300000.0,2152546000.0,2149903000.0,2407810000.0,2622214000.0,2485597000.0,2559343000.0,,,3502672000.0,3051178000.0,3100816000.0,3145945000.0,3084104000.0,,,,2152546000.0,2407810000.0,2485597000.0,,3502672000.0,3100816000.0,3084104000.0,,2152546000.0,2622214000.0,,3051178000.0,3084104000.0,,2152546000.0,2485597000.0,3502672000.0,3084104000.0,,2407810000.0,,3084104000.0,2407810000.0,3084104000.0,3084104000.0,3084104000.0,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,,1420227000.0,1553023000.0,1704780000.0,,,1542945000.0,1673720000.0,1441984000.0,1283911000.0,1158606000.0,,,,,,1553023000.0,,1542945000.0,1441984000.0,1158606000.0,,,1420227000.0,,1673720000.0,1158606000.0,,,1553023000.0,1542945000.0,1158606000.0,,,,1158606000.0,,1158606000.0,1158606000.0,1158606000.0,CommonMetricExtracted
OperatingCashFlow,,,,,-26047000.0,26272000.0,-30524000.0,-67863000.0,50728000.0,-56678000.0,,,,21402000.0,136530000.0,172772000.0,-148454000.0,206971000.0,308471000.0,503544000.0,,,-26047000.0,-30524000.0,50728000.0,,,136530000.0,-148454000.0,308471000.0,,26272000.0,50728000.0,,136530000.0,206971000.0,,-26047000.0,50728000.0,,-148454000.0,,26272000.0,,172772000.0,,,26272000.0,,CommonMetricExtracted
CapitalExpenditures,,,,,37005000.0,25200000.0,66747000.0,41352000.0,42360000.0,75013000.0,35912000.0,15743000.0,,77069000.0,84196000.0,54781000.0,38594000.0,59780000.0,52953000.0,37409000.0,,,37005000.0,66747000.0,42360000.0,35912000.0,,84196000.0,38594000.0,52953000.0,,25200000.0,42360000.0,15743000.0,84196000.0,59780000.0,,37005000.0,42360000.0,,38594000.0,,25200000.0,35912000.0,54781000.0,,35912000.0,25200000.0,,CommonMetricExtracted
InvestingCashFlow,,,,,-40886000.0,-70797000.0,-375221000.0,-16855000.0,-43574000.0,-26957000.0,,,,-70208000.0,-76055000.0,-46358000.0,-37339000.0,-65636000.0,-78245000.0,-40687000.0,,,-40886000.0,-375221000.0,-43574000.0,,,-76055000.0,-37339000.0,-78245000.0,,-70797000.0,-43574000.0,,-76055000.0,-65636000.0,,-40886000.0,-43574000.0,,-37339000.0,,-70797000.0,,-46358000.0,,,-70797000.0,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,29070000.0,174328000.0,141607000.0,48534000.0,-55287000.0,99295000.0,,,,-28979000.0,21763000.0,123337000.0,-54663000.0,-78900000.0,-109377000.0,-393349000.0,,,29070000.0,141607000.0,-55287000.0,,,21763000.0,-54663000.0,-109377000.0,,174328000.0,-55287000.0,,21763000.0,-78900000.0,,29070000.0,-55287000.0,,-54663000.0,,174328000.0,,123337000.0,,,174328000.0,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,0.9080669589606111,0.9044807374409528,0.897982607883606,0.9456793696099965,0.9085966041352096,0.8995243255354031,0.9921883635318031,0.9637588213266904,0.9544623175550657,,,,,,,0.9044807374409528,0.9456793696099965,0.8995243255354031,0.9637588213266904,,,,0.9080669589606111,0.9456793696099965,0.9921883635318031,,,,0.9044807374409528,0.8995243255354031,,,,0.9085966041352096,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,457190000.0,454405000.0,454453000.0,241772000.0,486153000.0,466391000.0,29612000.0,140624000.0,197038000.0,,,,,,,454405000.0,241772000.0,466391000.0,140624000.0,,,,457190000.0,241772000.0,29612000.0,,,,454405000.0,466391000.0,,,,486153000.0,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,0.0919330410393889,0.09551926255904723,0.10201739211639402,0.05432063039000349,0.09140339586479036,0.10047567446459693,0.0078116364681969684,0.036241178673309574,0.0455376824449343,,,,,,,0.09551926255904723,0.05432063039000349,0.10047567446459693,0.036241178673309574,,,,0.0919330410393889,0.05432063039000349,0.0078116364681969684,,,,0.09551926255904723,0.10047567446459693,,,,0.09140339586479036,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,0.00140295463009212,0.009224318129457447,0.0009554035749513656,0.0014979221862339446,-0.002228525692910175,0.00043172628036787215,0.0017758995239734565,0.004432730353146865,0.004594027810069144,,,,,,,0.009224318129457447,0.0014979221862339446,0.00043172628036787215,0.004432730353146865,,,,0.00140295463009212,0.0014979221862339446,0.0017758995239734565,,,,0.009224318129457447,0.00043172628036787215,,,,-0.002228525692910175,,,,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,10.344325609031491,4.950988372093024,4.4840024147298525,,,,,,,,,,4.950988372093024,,,,,,10.344325609031491,,,,,,,,,,,,,,CommonMetricCalculated
TaxesPercentOfOperatingMargin,,,,,62.00273224043716,-24.54736842105263,11.513006107215562,1.3150242326332795,,,,7.638383259280493,-0.012966592224602343,8.18421052631579,-9.840857957102145,-1.8511769172361427,12.790419161676647,-11.155377302436126,-3.195174418604651,-2.5489988932488177,,,62.00273224043716,11.513006107215562,,,-0.012966592224602343,-9.840857957102145,12.790419161676647,-3.195174418604651,,-24.54736842105263,,7.638383259280493,-9.840857957102145,-11.155377302436126,,62.00273224043716,,-0.012966592224602343,12.790419161676647,,-24.54736842105263,,-1.8511769172361427,,,-24.54736842105263,,CommonMetricCalculated
NetIncomePercentOfRevenue,,,,,,,,,,,,,0.0012952975779070412,0.0032202218709298258,0.006170756388917847,0.008261883449215541,0.009096627838589522,0.004599875222745865,0.011225631902463439,0.009563842380334104,,,,,,,0.0012952975779070412,0.006170756388917847,0.009096627838589522,0.011225631902463439,,,,,0.006170756388917847,0.004599875222745865,,,,0.0012952975779070412,0.009096627838589522,,,,0.008261883449215541,,,,,CommonMetricCalculated
CashPercentOfCurrentAssets,,,,,,0.3019636883568796,0.1047366353612296,0.08479766601559051,0.05749165835698397,0.05483515843523867,0.028631872937810336,0.05148539902655479,0.06273370474552367,,,0.09172722565144051,0.05234884628887257,0.0704993597046405,0.10807320138787523,0.13846367764060064,,,0.3019636883568796,0.08479766601559051,0.05483515843523867,0.05148539902655479,,0.09172722565144051,0.0704993597046405,0.13846367764060064,,0.08479766601559051,0.028631872937810336,,0.05234884628887257,0.13846367764060064,,0.08479766601559051,0.05148539902655479,0.09172722565144051,0.13846367764060064,,0.05483515843523867,,0.13846367764060064,0.05483515843523867,0.13846367764060064,0.13846367764060064,0.13846367764060064,CommonMetricCalculated
ReceivablesCurrentPercentOfCurrentAssets,,,,,,0.5641193510488507,0.6538506508091654,0.6179150055478551,0.6190294929815141,0.5983702694701354,0.5591946858830963,0.6143234302033015,0.4116966866944749,,,0.5057041404921067,0.5238069101502346,0.4775075697834956,0.46429299638718513,0.4707066459729568,,,0.5641193510488507,0.6179150055478551,0.5983702694701354,0.6143234302033015,,0.5057041404921067,0.4775075697834956,0.4707066459729568,,0.6179150055478551,0.5591946858830963,,0.5238069101502346,0.4707066459729568,,0.6179150055478551,0.6143234302033015,0.5057041404921067,0.4707066459729568,,0.5983702694701354,,0.4707066459729568,0.5983702694701354,0.4707066459729568,0.4707066459729568,0.4707066459729568,CommonMetricCalculated
PrepaidExpensesPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
InventoryPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
CurrentAssetsPercentOfTotaltAssets,,,,,,0.5616834939299515,0.5397081253994116,0.6012137446494823,0.6139685256949501,0.6552742084877621,0.651894486524355,0.7026548672566372,0.7209904592339386,,,0.8087131861177731,0.8174762714454364,0.8098025446860967,0.7949138753042988,0.7746621852542361,,,0.5616834939299515,0.6012137446494823,0.6552742084877621,0.7026548672566372,,0.8087131861177731,0.8098025446860967,0.7746621852542361,,0.6012137446494823,0.651894486524355,,0.8174762714454364,0.7746621852542361,,0.6012137446494823,0.7026548672566372,0.8087131861177731,0.7746621852542361,,0.6552742084877621,,0.7746621852542361,0.6552742084877621,0.7746621852542361,0.7746621852542361,0.7746621852542361,CommonMetricCalculated
PropertyPlantEquipmentPercentOfTotaltAssets,,,,,,0.13040961132979756,0.13599771057037296,0.14715857554127065,0.1466178337912274,0.13982453094957617,0.12950714679571082,0.11826465475830854,0.10963543969064682,,,0.09695880602907435,0.09093212170929404,0.09577529277097825,0.09961745934856574,0.09969759894029995,,,0.13040961132979756,0.14715857554127065,0.13982453094957617,0.11826465475830854,,0.09695880602907435,0.09577529277097825,0.09969759894029995,,0.14715857554127065,0.12950714679571082,,0.09093212170929404,0.09969759894029995,,0.14715857554127065,0.11826465475830854,0.09695880602907435,0.09969759894029995,,0.13982453094957617,,0.09969759894029995,0.13982453094957617,0.09969759894029995,0.09969759894029995,0.09969759894029995,CommonMetricCalculated
