,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,143898000.0,155141000.0,160898000.0,173099000.0,173335000.0,204959000.0,230569000.0,259481000.0,,,,,,,143898000.0,160898000.0,173335000.0,230569000.0,,,,,160898000.0,204959000.0,,,,143898000.0,173335000.0,,,,173099000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,61767000.0,67888000.0,82896000.0,84892000.0,88718000.0,94537000.0,93047000.0,108928000.0,117700000.0,121555000.0,130621000.0,127217000.0,146520000.0,162214000.0,175675000.0,,,,67888000.0,84892000.0,94537000.0,108928000.0,121555000.0,127217000.0,162214000.0,,61767000.0,84892000.0,93047000.0,121555000.0,146520000.0,,,84892000.0,108928000.0,127217000.0,,61767000.0,94537000.0,130621000.0,,94537000.0,61767000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,10682000.0,11756000.0,13751000.0,13001000.0,14039000.0,13913000.0,13625000.0,16554000.0,16564000.0,16956000.0,17985000.0,17743000.0,20649000.0,24761000.0,28710000.0,,,,11756000.0,13001000.0,13913000.0,16554000.0,16956000.0,17743000.0,24761000.0,,10682000.0,13001000.0,13625000.0,16956000.0,20649000.0,,,13001000.0,16554000.0,17743000.0,,10682000.0,13913000.0,17985000.0,,13913000.0,10682000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,2381000.0,4587000.0,5428000.0,5946000.0,6705000.0,6768000.0,6302000.0,7934000.0,9026000.0,10229000.0,10850000.0,11073000.0,14143000.0,16248000.0,19781000.0,,,,4587000.0,5946000.0,6768000.0,7934000.0,10229000.0,11073000.0,16248000.0,,2381000.0,5946000.0,6302000.0,10229000.0,14143000.0,,,5946000.0,7934000.0,11073000.0,,2381000.0,6768000.0,10850000.0,,6768000.0,2381000.0,,CommonMetricExtracted
Interest,,,,,,63000.0,73000.0,134000.0,,,,,,,,,,810000.0,2417000.0,1835000.0,,,,73000.0,,,,,,2417000.0,,63000.0,,,,810000.0,,,,,,,63000.0,,,,,63000.0,,CommonMetricExtracted
Taxes,,,,,,832000.0,1694000.0,1944000.0,2014000.0,2462000.0,2397000.0,1883000.0,2642000.0,2026000.0,2090000.0,1663000.0,2191000.0,1810000.0,2799000.0,4792000.0,,,,1694000.0,2014000.0,2397000.0,2642000.0,2090000.0,2191000.0,2799000.0,,832000.0,2014000.0,1883000.0,2090000.0,1810000.0,,,2014000.0,2642000.0,2191000.0,,832000.0,2397000.0,1663000.0,,2397000.0,832000.0,,CommonMetricExtracted
NetIncome,,,,,,1451000.0,2788000.0,3302000.0,3704000.0,3984000.0,4026000.0,4124000.0,4522000.0,5922000.0,7145000.0,8067000.0,7791000.0,11380000.0,10688000.0,13647000.0,,,,2788000.0,3704000.0,4026000.0,4522000.0,7145000.0,7791000.0,10688000.0,,1451000.0,3704000.0,4124000.0,7145000.0,11380000.0,,,3704000.0,4522000.0,7791000.0,,1451000.0,4026000.0,8067000.0,,4026000.0,1451000.0,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,1531000.0,19646000.0,,,,,,,,,,19646000.0,,,,,,19646000.0,,,,,19646000.0,,,,19646000.0,,19646000.0,19646000.0,19646000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,12064000.0,13800000.0,15411000.0,15663000.0,18070000.0,17961000.0,23276000.0,26045000.0,28585000.0,32084000.0,34378000.0,40295000.0,45204000.0,48285000.0,,,,13800000.0,15663000.0,17961000.0,26045000.0,32084000.0,40295000.0,48285000.0,,13800000.0,18070000.0,26045000.0,34378000.0,48285000.0,,13800000.0,17961000.0,32084000.0,48285000.0,,15663000.0,28585000.0,48285000.0,15663000.0,48285000.0,48285000.0,48285000.0,CommonMetricExtracted
