,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,1704900000.0,1933800000.0,2317200000.0,2656100000.0,2716600000.0,2960200000.0,3709900000.0,3831200000.0,4183800000.0,,,,,,,1933800000.0,2656100000.0,2960200000.0,3831200000.0,,,,1704900000.0,2656100000.0,3709900000.0,,,,1933800000.0,2960200000.0,,,,2716600000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,354800000.0,434900000.0,499700000.0,560100000.0,585400000.0,707700000.0,812100000.0,860300000.0,943900000.0,1337400000.0,1171600000.0,1239300000.0,,,,,354800000.0,499700000.0,585400000.0,812100000.0,943900000.0,1171600000.0,,,354800000.0,560100000.0,812100000.0,1337400000.0,,,354800000.0,585400000.0,943900000.0,,,499700000.0,860300000.0,,499700000.0,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,169200000.0,128400000.0,197100000.0,300500000.0,464700000.0,512500000.0,607800000.0,567900000.0,651900000.0,630500000.0,128500000.0,666700000.0,,,,,169200000.0,197100000.0,464700000.0,607800000.0,651900000.0,128500000.0,,,169200000.0,300500000.0,607800000.0,630500000.0,,,169200000.0,464700000.0,651900000.0,,,197100000.0,567900000.0,,197100000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,230900000.0,288200000.0,265200000.0,,,,,,,,,,288200000.0,,,,,,230900000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,-7500000.0,,,2300000.0,2600000.0,11300000.0,74000000.0,-79100000.0,54500000.0,83900000.0,100200000.0,131900000.0,119900000.0,44700000.0,98800000.0,,,,,2300000.0,11300000.0,-79100000.0,83900000.0,131900000.0,44700000.0,,-7500000.0,2300000.0,74000000.0,83900000.0,119900000.0,,,2300000.0,-79100000.0,131900000.0,,-7500000.0,11300000.0,100200000.0,,11300000.0,-7500000.0,,CommonMetricExtracted
NetIncome,,,,,,,,,-28200000.0,-4400000.0,15300000.0,131400000.0,451600000.0,287500000.0,352000000.0,355600000.0,1405400000.0,284700000.0,-190800000.0,302300000.0,,,,,-28200000.0,15300000.0,451600000.0,352000000.0,1405400000.0,-190800000.0,,,-28200000.0,131400000.0,352000000.0,284700000.0,,,-28200000.0,451600000.0,1405400000.0,,,15300000.0,355600000.0,,15300000.0,,,CommonMetricExtracted
Cash,,,,,,,,154300000.0,111200000.0,77900000.0,133200000.0,182200000.0,115800000.0,187400000.0,274100000.0,493000000.0,1842400000.0,585300000.0,476200000.0,679500000.0,,,,154300000.0,77900000.0,182200000.0,187400000.0,493000000.0,585300000.0,679500000.0,,154300000.0,133200000.0,187400000.0,1842400000.0,679500000.0,,154300000.0,182200000.0,493000000.0,679500000.0,,77900000.0,274100000.0,679500000.0,77900000.0,679500000.0,679500000.0,679500000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,163600000.0,165000000.0,200400000.0,228300000.0,277900000.0,326700000.0,456800000.0,443900000.0,453700000.0,558000000.0,602200000.0,723000000.0,798900000.0,,,,163600000.0,200400000.0,277900000.0,456800000.0,453700000.0,602200000.0,798900000.0,,163600000.0,228300000.0,456800000.0,558000000.0,798900000.0,,163600000.0,277900000.0,453700000.0,798900000.0,,200400000.0,443900000.0,798900000.0,200400000.0,798900000.0,798900000.0,798900000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,400600000.0,349700000.0,401000000.0,427500000.0,550000000.0,588700000.0,841500000.0,888200000.0,1106200000.0,2632000000.0,1450200000.0,1475100000.0,1801800000.0,,,,400600000.0,401000000.0,550000000.0,841500000.0,1106200000.0,1450200000.0,1801800000.0,,400600000.0,427500000.0,841500000.0,2632000000.0,1801800000.0,,400600000.0,550000000.0,1106200000.0,1801800000.0,,401000000.0,888200000.0,1801800000.0,401000000.0,1801800000.0,1801800000.0,1801800000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,121200000.0,150400000.0,181400000.0,183000000.0,197500000.0,198600000.0,220300000.0,219000000.0,223200000.0,247700000.0,218200000.0,199300000.0,203500000.0,,,,121200000.0,181400000.0,197500000.0,220300000.0,223200000.0,218200000.0,203500000.0,,121200000.0,183000000.0,220300000.0,247700000.0,203500000.0,,121200000.0,197500000.0,223200000.0,203500000.0,,181400000.0,219000000.0,203500000.0,181400000.0,203500000.0,203500000.0,203500000.0,CommonMetricExtracted
Goodwill,,,,,,,,1804200000.0,1909700000.0,2023900000.0,1983400000.0,2173900000.0,2368800000.0,3293600000.0,3377800000.0,3461500000.0,5525700000.0,5551400000.0,5176000000.0,5144300000.0,,,,1804200000.0,2023900000.0,2173900000.0,3293600000.0,3461500000.0,5551400000.0,5144300000.0,,1804200000.0,1983400000.0,3293600000.0,5525700000.0,5144300000.0,,1804200000.0,2173900000.0,3461500000.0,5144300000.0,,2023900000.0,3377800000.0,5144300000.0,2023900000.0,5144300000.0,5144300000.0,5144300000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,1911600000.0,1934000000.0,1939600000.0,1770100000.0,1762300000.0,1825800000.0,2548100000.0,2391900000.0,2284600000.0,3770600000.0,3675500000.0,3515300000.0,3257500000.0,,,,1911600000.0,1939600000.0,1762300000.0,2548100000.0,2284600000.0,3675500000.0,3257500000.0,,1911600000.0,1770100000.0,2548100000.0,3770600000.0,3257500000.0,,1911600000.0,1762300000.0,2284600000.0,3257500000.0,,1939600000.0,2391900000.0,3257500000.0,1939600000.0,3257500000.0,3257500000.0,3257500000.0,CommonMetricExtracted
TotalAssets,,,,,,,,4378800000.0,4492300000.0,4665800000.0,4446700000.0,4781200000.0,5118500000.0,7039800000.0,7113200000.0,7311600000.0,12635000000.0,11666300000.0,11105100000.0,10984800000.0,,,,4378800000.0,4665800000.0,4781200000.0,7039800000.0,7311600000.0,11666300000.0,10984800000.0,,4378800000.0,4446700000.0,7039800000.0,12635000000.0,10984800000.0,,4378800000.0,4781200000.0,7311600000.0,10984800000.0,,4665800000.0,7113200000.0,10984800000.0,4665800000.0,10984800000.0,10984800000.0,10984800000.0,CommonMetricExtracted
