,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,53823000000.0,81462000000.0,96773000000.0,97690000000.0,,,,,,,,,53823000000.0,96773000000.0,,,,,,81462000000.0,,,,,53823000000.0,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,102408000.0,86013000.0,142647000.0,383189000.0,1557234000.0,2316685000.0,3122522000.0,5400875000.0,9536264000.0,17419000000.0,20509000000.0,24906000000.0,40217000000.0,60609000000.0,79113000000.0,80240000000.0,,,102408000.0,142647000.0,1557234000.0,3122522000.0,9536264000.0,20509000000.0,40217000000.0,79113000000.0,,86013000.0,1557234000.0,5400875000.0,20509000000.0,60609000000.0,,102408000.0,1557234000.0,9536264000.0,40217000000.0,,86013000.0,3122522000.0,24906000000.0,,3122522000.0,86013000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,42150000.0,84573000.0,104102000.0,150372000.0,285569000.0,603660000.0,922232000.0,1432189000.0,2477000000.0,2835000000.0,2646000000.0,3145000000.0,4517000000.0,3946000000.0,4800000000.0,5150000000.0,,,42150000.0,104102000.0,285569000.0,922232000.0,2477000000.0,2646000000.0,4517000000.0,4800000000.0,,84573000.0,285569000.0,1432189000.0,2646000000.0,3946000000.0,,42150000.0,285569000.0,2477000000.0,4517000000.0,,84573000.0,922232000.0,3145000000.0,,922232000.0,84573000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,19282000.0,92996000.0,208981000.0,273978000.0,231976000.0,464700000.0,717900000.0,834408000.0,1378073000.0,1460000000.0,1343000000.0,1491000000.0,2593000000.0,3075000000.0,3969000000.0,4540000000.0,,,19282000.0,208981000.0,231976000.0,717900000.0,1378073000.0,1343000000.0,2593000000.0,3969000000.0,,92996000.0,231976000.0,834408000.0,1343000000.0,3075000000.0,,19282000.0,231976000.0,1378073000.0,2593000000.0,,92996000.0,717900000.0,1491000000.0,,717900000.0,92996000.0,,CommonMetricExtracted
OperatingMargin,,,,,-55714000.0,-154155000.0,-253922000.0,-396077000.0,-71426000.0,-284636000.0,-875624000.0,-746348000.0,-2209000000.0,-1005000000.0,-665000000.0,1154000000.0,6343000000.0,13719000000.0,9973000000.0,8990000000.0,,,-55714000.0,-253922000.0,-71426000.0,-875624000.0,-2209000000.0,-665000000.0,6343000000.0,9973000000.0,,-154155000.0,-71426000.0,-746348000.0,-665000000.0,13719000000.0,,-55714000.0,-71426000.0,-2209000000.0,6343000000.0,,-154155000.0,-875624000.0,1154000000.0,,-875624000.0,-154155000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,191000000.0,156000000.0,350000000.0,,,,,,,,,,156000000.0,,,,,,191000000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,26000.0,173000.0,489000.0,136000.0,2588000.0,9404000.0,13039000.0,26698000.0,32000000.0,58000000.0,110000000.0,292000000.0,699000000.0,1132000000.0,-5001000000.0,1837000000.0,,,26000.0,489000.0,2588000.0,13039000.0,32000000.0,110000000.0,699000000.0,-5001000000.0,,173000.0,2588000.0,26698000.0,110000000.0,1132000000.0,,26000.0,2588000.0,32000000.0,699000000.0,,173000.0,13039000.0,292000000.0,,13039000.0,173000.0,,CommonMetricExtracted
NetIncome,,,,,,,,,,,-888663000.0,-773046000.0,-2240578000.0,-1063000000.0,-775000000.0,862000000.0,5644000000.0,12587000000.0,14974000000.0,7153000000.0,,,,,,-888663000.0,-2240578000.0,-775000000.0,5644000000.0,14974000000.0,,,,-773046000.0,-775000000.0,12587000000.0,,,,-2240578000.0,5644000000.0,,,-888663000.0,862000000.0,,-888663000.0,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentReceivables,,,,,,,,,49109000.0,226604000.0,,499142000.0,515381000.0,949000000.0,1324000000.0,,,2952000000.0,3508000000.0,,,,,,226604000.0,499142000.0,949000000.0,,2952000000.0,,,,,949000000.0,,,,,499142000.0,,,,226604000.0,1324000000.0,,226604000.0,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,,328000000.0,6733000000.0,6666000000.0,,,,,,,,,328000000.0,6666000000.0,,,,,,6666000000.0,,,,,6666000000.0,,,,6666000000.0,,6666000000.0,6666000000.0,6666000000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,303969000.0,777946000.0,,3070369000.0,4121616000.0,5499000000.0,6676000000.0,,,23460000000.0,23511000000.0,,,,,,777946000.0,3070369000.0,5499000000.0,,23460000000.0,,,,,5499000000.0,,,,,3070369000.0,,,,777946000.0,6676000000.0,,777946000.0,,,,CommonMetricExtracted
CurrentLiability,,,,,,,,,675160000.0,2107166000.0,,5827005000.0,7674670000.0,10623000000.0,11830000000.0,,,28456000000.0,31612000000.0,,,,,,2107166000.0,5827005000.0,10623000000.0,,28456000000.0,,,,,10623000000.0,,,,,5827005000.0,,,,2107166000.0,11830000000.0,,2107166000.0,,,,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,58197000.0,173244000.0,,1891449000.0,2442970000.0,3701000000.0,3862000000.0,,,8134000000.0,11404000000.0,,,,,,173244000.0,1891449000.0,3701000000.0,,8134000000.0,,,,,3701000000.0,,,,,1891449000.0,,,,173244000.0,3862000000.0,,173244000.0,,,,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,,,,,5943000000.0,11497000000.0,14724000000.0,13256000000.0,14923000000.0,,,,,,,,,11497000000.0,13256000000.0,,,,,,14724000000.0,,,,,11497000000.0,,,,5943000000.0,,,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,,3157000000.0,6482000000.0,7158000000.0,8898000000.0,11339000000.0,,,,,,,,,6482000000.0,8898000000.0,,,,,,7158000000.0,,,,,6482000000.0,,,,3157000000.0,,,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,,,,,,,,,,-3132000000.0,-7868000000.0,-11973000000.0,-15584000000.0,-18787000000.0,,,,,,,,,-7868000000.0,-15584000000.0,,,,,,-11973000000.0,,,,,-7868000000.0,,,,-3132000000.0,,,,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,,,,,,,,,,,,9973000000.0,-5203000000.0,-3527000000.0,2589000000.0,3853000000.0,,,,,,,,,-5203000000.0,2589000000.0,,,,,,-3527000000.0,,,,,-5203000000.0,,,,9973000000.0,,,,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,,,,0.7472084424874125,0.74401561464241,0.8175110826366858,0.8213737332377931,,,,,,,,,0.7472084424874125,0.8175110826366858,,,,,,0.74401561464241,,,,,0.7472084424874125,,,,,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,,,,,13606000000.0,20853000000.0,17660000000.0,17450000000.0,,,,,,,,,13606000000.0,17660000000.0,,,,,,20853000000.0,,,,,13606000000.0,,,,,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,,,,,0.25279155751258753,0.25598438535759005,0.18248891736331416,0.17862626676220697,,,,,,,,,0.25279155751258753,0.18248891736331416,,,,,,0.25598438535759005,,,,,0.25279155751258753,,,,,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,,,,,0.08392322984597662,0.048439763325231394,0.04960061174087814,0.052717780734977994,,,,,,,,,0.08392322984597662,0.04960061174087814,,,,,,0.048439763325231394,,,,,0.08392322984597662,,,,,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,0.04817643015067908,0.03774766148633719,0.04101350583323861,0.04647353874500972,,,,,,,,,0.04817643015067908,0.04101350583323861,,,,,,0.03774766148633719,,,,,0.04817643015067908,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,,,,,,0.11784924660461141,0.16840981070928776,0.10305560435245369,0.09202579588494217,,,,,,,,,0.11784924660461141,0.10305560435245369,,,,,,0.16840981070928776,,,,,0.11784924660461141,,,,,,,,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,0.013922297543552738,0.015642234031886092,0.0389321468298109,,,,,,,,,,0.015642234031886092,,,,,,0.013922297543552738,,,,,,,,,,,,,,CommonMetricCalculated
TaxesPercentOfOperatingMargin,,,,,-0.00046666905984133253,-0.001122247088968895,-0.0019257882341821503,-0.000343367577516493,-0.03623330439895836,-0.033038688008544245,-0.014891094807817053,-0.03577151677233677,-0.014486192847442281,-0.05771144278606965,-0.16541353383458646,0.2530329289428076,0.11020022071574964,0.08251330271885705,-0.5014539255991176,0.20433815350389323,,,-0.00046666905984133253,-0.0019257882341821503,-0.03623330439895836,-0.014891094807817053,-0.014486192847442281,-0.16541353383458646,0.11020022071574964,-0.5014539255991176,,-0.001122247088968895,-0.03623330439895836,-0.03577151677233677,-0.16541353383458646,0.08251330271885705,,-0.00046666905984133253,-0.03623330439895836,-0.014486192847442281,0.11020022071574964,,-0.001122247088968895,-0.014891094807817053,0.2530329289428076,,-0.014891094807817053,-0.001122247088968895,,CommonMetricCalculated
NetIncomePercentOfRevenue,,,,,,,,,,,,,,,,,0.10486223361759843,0.15451376101740688,0.1547332417099811,0.07322141467908691,,,,,,,,,0.10486223361759843,0.1547332417099811,,,,,,0.15451376101740688,,,,,0.10486223361759843,,,,,,,,,CommonMetricCalculated
CashPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ReceivablesCurrentPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
PrepaidExpensesPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
InventoryPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
CurrentAssetsPercentOfTotaltAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
PropertyPlantEquipmentPercentOfTotaltAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GoodwillPercentOfTotaltAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
IntangibleAssetsPercentOfTotaltAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ShorttermDebtPercentOfCurrentLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
