,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,4327000.0,5059000.0,,,,,,,,,,5059000.0,,,,,,5059000.0,,,,,5059000.0,,,,5059000.0,,5059000.0,5059000.0,5059000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,0.0,3090000.0,3562000.0,,,,,,,,,0.0,3562000.0,,,,,,3562000.0,,,,,3562000.0,,,,3562000.0,,3562000.0,3562000.0,3562000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,2477715.0,1537407.0,,,,10834693.0,,7543397.0,,6034000.0,4035000.0,3638000.0,,,,,1537407.0,,10834693.0,7543397.0,6034000.0,3638000.0,,,,10834693.0,,3638000.0,,,,7543397.0,3638000.0,,1537407.0,,3638000.0,1537407.0,3638000.0,3638000.0,3638000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,1237274.0,4635047.0,59403346.0,56235344.0,,,,186779261.0,,128403969.0,,55351000.0,11796000.0,12259000.0,,,,4635047.0,56235344.0,,186779261.0,128403969.0,55351000.0,12259000.0,,4635047.0,,186779261.0,,12259000.0,,4635047.0,,128403969.0,12259000.0,,56235344.0,,12259000.0,56235344.0,12259000.0,12259000.0,12259000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,239555.0,665588.0,1228588.0,,,,4092679.0,,5247723.0,,6943000.0,6098000.0,4321000.0,,,,239555.0,1228588.0,,4092679.0,5247723.0,6943000.0,4321000.0,,239555.0,,4092679.0,,4321000.0,,239555.0,,5247723.0,4321000.0,,1228588.0,,4321000.0,1228588.0,4321000.0,4321000.0,4321000.0,CommonMetricExtracted
TotalAssets,,,,,,,1438721.0,5925879.0,62016393.0,59079488.0,,,,211983924.0,,181609653.0,,90458000.0,43309000.0,38822000.0,,,,5925879.0,59079488.0,,211983924.0,181609653.0,90458000.0,38822000.0,,5925879.0,,211983924.0,,38822000.0,,5925879.0,,181609653.0,38822000.0,,59079488.0,,38822000.0,59079488.0,38822000.0,38822000.0,38822000.0,CommonMetricExtracted
