,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,13370000000.0,14961000000.0,15784000000.0,14383000000.0,14461000000.0,18344000000.0,20028000000.0,17519000000.0,15641000000.0,,,,,,,14961000000.0,14383000000.0,18344000000.0,17519000000.0,,,,13370000000.0,14383000000.0,20028000000.0,,,,14961000000.0,18344000000.0,,,,14461000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,5113000000.0,5347000000.0,5507000000.0,5219000000.0,5192000000.0,5968000000.0,6257000000.0,6500000000.0,6547000000.0,,,,,,,5347000000.0,5219000000.0,5968000000.0,6500000000.0,,,,5113000000.0,5219000000.0,6257000000.0,,,,5347000000.0,5968000000.0,,,,5192000000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,1680000000.0,1614000000.0,1320000000.0,1519000000.0,1638000000.0,1804000000.0,1858000000.0,1843000000.0,1748000000.0,1767000000.0,1694000000.0,1684000000.0,1645000000.0,1623000000.0,1666000000.0,1704000000.0,1825000000.0,1794000000.0,,1680000000.0,1320000000.0,1638000000.0,1858000000.0,1748000000.0,1694000000.0,1645000000.0,1666000000.0,1825000000.0,1680000000.0,1519000000.0,1858000000.0,1767000000.0,1645000000.0,1704000000.0,,1320000000.0,1858000000.0,1694000000.0,1666000000.0,,1519000000.0,1748000000.0,1623000000.0,,1748000000.0,1519000000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,2140000000.0,1940000000.0,1476000000.0,1570000000.0,1715000000.0,1877000000.0,1522000000.0,1358000000.0,1280000000.0,1370000000.0,1508000000.0,1559000000.0,1544000000.0,1530000000.0,1554000000.0,1670000000.0,1863000000.0,1959000000.0,,2140000000.0,1476000000.0,1715000000.0,1522000000.0,1280000000.0,1508000000.0,1544000000.0,1554000000.0,1863000000.0,2140000000.0,1570000000.0,1522000000.0,1370000000.0,1544000000.0,1670000000.0,,1476000000.0,1522000000.0,1508000000.0,1554000000.0,,1570000000.0,1280000000.0,1530000000.0,,1280000000.0,1570000000.0,,CommonMetricExtracted
OperatingMargin,,,3497000000.0,2437000000.0,1991000000.0,4514000000.0,2992000000.0,1973000000.0,2832000000.0,3947000000.0,4322000000.0,4855000000.0,6083000000.0,6713000000.0,5723000000.0,5894000000.0,8960000000.0,10140000000.0,7331000000.0,5465000000.0,,3497000000.0,1991000000.0,2992000000.0,2832000000.0,4322000000.0,6083000000.0,5723000000.0,8960000000.0,7331000000.0,3497000000.0,4514000000.0,2832000000.0,4855000000.0,5723000000.0,10140000000.0,,1991000000.0,2832000000.0,6083000000.0,8960000000.0,,4514000000.0,4322000000.0,5894000000.0,,4322000000.0,4514000000.0,,CommonMetricExtracted
Interest,,,,,0.0,0.0,42000000.0,85000000.0,95000000.0,94000000.0,90000000.0,80000000.0,78000000.0,125000000.0,170000000.0,190000000.0,184000000.0,214000000.0,353000000.0,508000000.0,,,0.0,42000000.0,95000000.0,90000000.0,78000000.0,170000000.0,184000000.0,353000000.0,,0.0,95000000.0,80000000.0,170000000.0,214000000.0,,0.0,95000000.0,78000000.0,184000000.0,,0.0,90000000.0,190000000.0,,90000000.0,0.0,,CommonMetricExtracted
Taxes,,,1051000000.0,561000000.0,547000000.0,1323000000.0,719000000.0,176000000.0,592000000.0,1053000000.0,1230000000.0,1335000000.0,2398000000.0,1106000000.0,711000000.0,422000000.0,1150000000.0,1283000000.0,908000000.0,654000000.0,,1051000000.0,547000000.0,719000000.0,592000000.0,1230000000.0,2398000000.0,711000000.0,1150000000.0,908000000.0,1051000000.0,1323000000.0,592000000.0,1335000000.0,711000000.0,1283000000.0,,547000000.0,592000000.0,2398000000.0,1150000000.0,,1323000000.0,1230000000.0,422000000.0,,1230000000.0,1323000000.0,,CommonMetricExtracted
NetIncome,,,2657000000.0,1920000000.0,1470000000.0,3228000000.0,2236000000.0,1759000000.0,2162000000.0,2821000000.0,2986000000.0,3595000000.0,3682000000.0,5580000000.0,5017000000.0,5595000000.0,7769000000.0,8749000000.0,6510000000.0,4799000000.0,,2657000000.0,1470000000.0,2236000000.0,2162000000.0,2986000000.0,3682000000.0,5017000000.0,7769000000.0,6510000000.0,2657000000.0,3228000000.0,2162000000.0,3595000000.0,5017000000.0,8749000000.0,,1470000000.0,2162000000.0,3682000000.0,7769000000.0,,3228000000.0,2986000000.0,5595000000.0,,2986000000.0,3228000000.0,,CommonMetricExtracted
Cash,,1183000000.0,1328000000.0,1046000000.0,1182000000.0,1319000000.0,,1416000000.0,1627000000.0,1199000000.0,1000000000.0,1154000000.0,1656000000.0,2438000000.0,2437000000.0,3107000000.0,4631000000.0,3050000000.0,2964000000.0,3200000000.0,1183000000.0,1046000000.0,1319000000.0,1416000000.0,1199000000.0,1154000000.0,2438000000.0,3107000000.0,3050000000.0,3200000000.0,1182000000.0,1416000000.0,1000000000.0,2438000000.0,4631000000.0,3200000000.0,1046000000.0,1416000000.0,1154000000.0,3107000000.0,3200000000.0,1182000000.0,1199000000.0,2437000000.0,3200000000.0,1199000000.0,3200000000.0,3200000000.0,3200000000.0,CommonMetricExtracted
CurrentReceivables,,,,913000000.0,1277000000.0,1518000000.0,,1230000000.0,1203000000.0,1246000000.0,1165000000.0,1267000000.0,1278000000.0,1207000000.0,1074000000.0,1414000000.0,1701000000.0,1895000000.0,1787000000.0,1719000000.0,,913000000.0,1518000000.0,1230000000.0,1246000000.0,1267000000.0,1207000000.0,1414000000.0,1895000000.0,1719000000.0,1277000000.0,1230000000.0,1165000000.0,1207000000.0,1701000000.0,1719000000.0,913000000.0,1230000000.0,1267000000.0,1414000000.0,1719000000.0,1277000000.0,1246000000.0,1074000000.0,1719000000.0,1246000000.0,1719000000.0,1719000000.0,1719000000.0,CommonMetricExtracted
