,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,123443000000.0,122513000000.0,124280000000.0,126723000000.0,127434000000.0,128752000000.0,132447000000.0,146801000000.0,163786000000.0,160546000000.0,170756000000.0,181193000000.0,171760000000.0,168864000000.0,120741000000.0,122428000000.0,122336000000.0,,,122513000000.0,126723000000.0,128752000000.0,146801000000.0,160546000000.0,181193000000.0,168864000000.0,122428000000.0,,124280000000.0,128752000000.0,163786000000.0,181193000000.0,120741000000.0,,122513000000.0,128752000000.0,160546000000.0,168864000000.0,,124280000000.0,146801000000.0,171760000000.0,,146801000000.0,124280000000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,38582000000.0,37942000000.0,32906000000.0,34356000000.0,32909000000.0,31232000000.0,26839000000.0,26987000000.0,26972000000.0,,,,,,,37942000000.0,34356000000.0,31232000000.0,26987000000.0,,,,38582000000.0,34356000000.0,26839000000.0,,,,37942000000.0,31232000000.0,,,,32909000000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,48772000000.0,31427000000.0,34986000000.0,41382000000.0,41079000000.0,28414000000.0,39697000000.0,32919000000.0,36845000000.0,35465000000.0,36765000000.0,39422000000.0,38039000000.0,37944000000.0,28961000000.0,28874000000.0,28411000000.0,,,31427000000.0,41382000000.0,28414000000.0,32919000000.0,35465000000.0,39422000000.0,37944000000.0,28874000000.0,,34986000000.0,28414000000.0,36845000000.0,39422000000.0,28961000000.0,,31427000000.0,28414000000.0,35465000000.0,37944000000.0,,34986000000.0,32919000000.0,38039000000.0,,32919000000.0,34986000000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,-1690000000.0,21000000000.0,19573000000.0,9218000000.0,12997000000.0,30752000000.0,12212000000.0,24785000000.0,24347000000.0,20949000000.0,26096000000.0,27955000000.0,8372000000.0,25897000000.0,-4587000000.0,23461000000.0,19049000000.0,,,21000000000.0,9218000000.0,30752000000.0,24785000000.0,20949000000.0,27955000000.0,25897000000.0,23461000000.0,,19573000000.0,30752000000.0,24347000000.0,27955000000.0,-4587000000.0,,21000000000.0,30752000000.0,20949000000.0,25897000000.0,,19573000000.0,24785000000.0,8372000000.0,,24785000000.0,19573000000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,6108000000.0,6704000000.0,6759000000.0,,,,,,,,,,6704000000.0,,,,,,6108000000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,-2210000000.0,6091000000.0,-1162000000.0,2532000000.0,2900000000.0,9328000000.0,3619000000.0,7005000000.0,6479000000.0,-14708000000.0,4920000000.0,3493000000.0,1168000000.0,5468000000.0,3780000000.0,4225000000.0,4445000000.0,,,6091000000.0,2532000000.0,9328000000.0,7005000000.0,-14708000000.0,3493000000.0,5468000000.0,4225000000.0,,-1162000000.0,9328000000.0,6479000000.0,3493000000.0,3780000000.0,,6091000000.0,9328000000.0,-14708000000.0,5468000000.0,,-1162000000.0,7005000000.0,1168000000.0,,7005000000.0,-1162000000.0,,CommonMetricExtracted
NetIncome,,,,-2364000000.0,12447000000.0,20179000000.0,4184000000.0,7539000000.0,18722000000.0,6736000000.0,13687000000.0,13333000000.0,29847000000.0,19953000000.0,14975000000.0,-3821000000.0,21479000000.0,-7055000000.0,15623000000.0,12253000000.0,,,12447000000.0,4184000000.0,18722000000.0,13687000000.0,29847000000.0,14975000000.0,21479000000.0,15623000000.0,,20179000000.0,18722000000.0,13333000000.0,14975000000.0,-7055000000.0,,12447000000.0,18722000000.0,29847000000.0,21479000000.0,,20179000000.0,13687000000.0,-3821000000.0,,13687000000.0,20179000000.0,,CommonMetricExtracted
Cash,,,1905000000.0,1727000000.0,3741000000.0,1437000000.0,3185000000.0,4868000000.0,3339000000.0,8603000000.0,5121000000.0,5788000000.0,50498000000.0,5204000000.0,12130000000.0,9740000000.0,21169000000.0,3701000000.0,6722000000.0,3298000000.0,,1727000000.0,1437000000.0,4868000000.0,8603000000.0,5788000000.0,5204000000.0,9740000000.0,3701000000.0,3298000000.0,3741000000.0,4868000000.0,5121000000.0,5204000000.0,21169000000.0,3298000000.0,1727000000.0,4868000000.0,5788000000.0,9740000000.0,3298000000.0,3741000000.0,8603000000.0,12130000000.0,3298000000.0,8603000000.0,3298000000.0,3298000000.0,3298000000.0,CommonMetricExtracted
CurrentReceivables,,,,,14845000000.0,13610000000.0,13606000000.0,12657000000.0,12918000000.0,14527000000.0,16532000000.0,16794000000.0,16522000000.0,26472000000.0,22636000000.0,20215000000.0,17571000000.0,11466000000.0,10289000000.0,9638000000.0,,,13610000000.0,12657000000.0,14527000000.0,16794000000.0,26472000000.0,20215000000.0,11466000000.0,9638000000.0,14845000000.0,12657000000.0,16532000000.0,26472000000.0,17571000000.0,9638000000.0,,12657000000.0,16794000000.0,20215000000.0,9638000000.0,14845000000.0,14527000000.0,22636000000.0,9638000000.0,14527000000.0,9638000000.0,9638000000.0,9638000000.0,CommonMetricExtracted
